ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1978,1978-09-03,1,21.332,MIA,@,NYJ,L 20-33,1,43,43.00,0,0,0,,0,2,20,10.00,0,0,0
2,1978,1978-09-10,2,21.339,MIA,@,BAL,W 42-0,0,0,,0,0,0,,0,2,42,21.00,0,0,0
3,1978,1978-09-17,3,21.346,MIA,,BUF,W 31-24,0,0,,0,0,0,,0,3,-3,-1.00,0,0,0
4,1978,1978-09-24,4,21.353,MIA,@,PHI,L 3-17,0,0,,0,0,0,,0,2,27,13.50,0,0,0
5,1978,1978-10-01,5,21.360,MIA,,STL,W 24-10,,,,,,,,,,,,,,
6,1978,1978-10-09,6,22.003,MIA,,CIN,W 21-0,1,27,27.00,1,0,0,,0,2,33,16.50,0,1,6
7,1978,1978-10-15,7,22.009,MIA,@,SDG,W 28-21,0,0,,0,0,0,,0,1,16,16.00,0,0,0
8,1978,1978-10-22,8,22.016,MIA,@,NWE,L 24-33,0,0,,0,1,19,19.00,0,1,3,3.00,0,0,0
9,1978,1978-10-29,9,22.023,MIA,,BAL,W 26-8,0,0,,0,0,0,,0,4,12,3.00,0,0,0
10,1978,1978-11-05,10,22.030,MIA,,DAL,W 23-16,0,0,,0,0,0,,0,1,7,7.00,0,0,0
11,1978,1978-11-12,11,22.037,MIA,@,BUF,W 25-24,0,0,,0,0,0,,0,1,0,0.00,0,0,0
12,1978,1978-11-20,12,22.045,MIA,@,HOU,L 30-35,1,11,11.00,1,0,0,,0,3,33,11.00,0,1,6
13,1978,1978-11-26,13,22.051,MIA,,NYJ,L 13-24,1,21,21.00,0,0,0,,0,1,11,11.00,0,0,0
14,1978,1978-12-03,14,22.058,MIA,@,WAS,W 16-0,1,40,40.00,1,0,0,,0,1,5,5.00,0,1,6
15,1978,1978-12-10,15,22.065,MIA,,OAK,W 23-6,1,3,3.00,0,1,21,21.00,0,2,7,3.50,0,0,0
16,1978,1978-12-18,16,22.073,MIA,,NWE,W 23-3,0,0,,0,0,0,,0,2,19,9.50,0,0,0
17,1979,1979-09-02,1,22.331,MIA,@,BUF,W 9-7,1,17,17.00,0,0,0,,0,0,0,,0,0,0
18,1979,1979-09-09,2,22.338,MIA,,SEA,W 19-10,,,,,,,,,,,,,,
19,1979,1979-09-16,3,22.345,MIA,@,MIN,W 27-12,1,6,6.00,1,0,0,,0,0,0,,0,1,6
20,1979,1979-09-23,4,22.352,MIA,,CHI,W 31-16,2,24,12.00,0,0,0,,0,0,0,,0,0,0
21,1979,1979-09-30,5,22.359,MIA,@,NYJ,L 27-33,4,92,23.00,1,0,0,,0,0,0,,0,1,6
22,1979,1979-10-08,6,23.002,MIA,@,OAK,L 3-13,,,,,,,,,,,,,,
23,1979,1979-10-14,7,23.008,MIA,,BUF,W 17-7,,,,,,,,,,,,,,
24,1979,1979-10-21,8,23.015,MIA,@,NWE,L 13-28,,,,,,,,,,,,,,
25,1979,1979-10-28,9,23.022,MIA,,GNB,W 27-7,0,0,,0,0,0,,0,1,0,0.00,0,0,0
26,1979,1979-11-05,10,23.030,MIA,,HOU,L 6-9,0,0,,0,0,0,,0,1,10,10.00,0,0,0
27,1979,1979-11-11,11,23.036,MIA,,BAL,W 19-0,,,,,,,,,,,,,,
28,1979,1979-11-18,12,23.043,MIA,@,CLE,L 24-30,,,,,,,,,,,,,,
29,1979,1979-11-25,13,23.050,MIA,@,BAL,W 28-24,,,,,,,,,,,,,,
30,1979,1979-11-29,14,23.054,MIA,,NWE,W 39-24,2,53,26.50,0,0,0,,0,0,0,,0,0,0
31,1979,1979-12-09,15,23.064,MIA,@,DET,W 28-10,1,29,29.00,1,0,0,,0,0,0,,0,1,6
32,1979,1979-12-15,16,23.070,MIA,,NYJ,L 24-27,1,2,2.00,0,0,0,,0,0,0,,0,0,0
33,1980,1980-09-07,1,23.337,MIA,@,BUF,L 7-17,,,,,,,,,,,,,,
34,1980,1980-09-14,2,23.344,MIA,,CIN,W 17-16,,,,,,,,,,,,,,
35,1980,1980-09-21,3,23.351,MIA,@,ATL,W 20-17,,,,,,,,,,,,,,
36,1980,1980-09-28,4,23.358,MIA,,NOR,W 21-16,1,23,23.00,0,0,0,,0,0,0,,0,0,0
37,1980,1980-10-05,5,23.365,MIA,,BAL,L 17-30,,,,,,,,,,,,,,
38,1980,1980-10-12,6,24.006,MIA,@,NWE,L 0-34,,,,,,,,,,,,,,
39,1980,1980-10-19,7,24.013,MIA,,BUF,W 17-14,,,,,,,,,,,,,,
40,1980,1980-10-27,8,24.021,MIA,@,NYJ,L 14-17,1,12,12.00,0,0,0,,0,0,0,,0,0,0
41,1980,1980-11-02,9,24.027,MIA,@,OAK,L 10-16,,,,,,,,,,,,,,
42,1980,1980-11-09,10,24.034,MIA,@,RAM,W 35-14,1,5,5.00,0,0,0,,0,0,0,,0,0,0
43,1980,1980-11-16,11,24.041,MIA,,SFO,W 17-13,3,83,27.67,0,0,0,,0,0,0,,0,0,0
44,1980,1980-11-20,12,24.045,MIA,,SDG,L 24-27,3,33,11.00,0,0,0,,0,0,0,,0,0,0
45,1980,1980-11-30,13,24.055,MIA,@,PIT,L 10-23,,,,,,,,,,,,,,
46,1980,1980-12-08,14,24.063,MIA,,NWE,W 16-13,,,,,,,,,,,,,,
47,1980,1980-12-14,15,24.069,MIA,@,BAL,W 24-14,2,43,21.50,1,0,0,,0,0,0,,0,1,6
48,1980,1980-12-20,16,24.075,MIA,,NYJ,L 17-24,,,,,,,,,,,,,,
49,1981,1981-09-06,1,24.335,MIA,@,STL,W 20-7,3,90,30.00,2,0,0,,0,0,0,,0,2,12
50,1981,1981-09-10,2,24.339,MIA,,PIT,W 30-10,1,11,11.00,0,0,0,,0,0,0,,0,0,0
51,1981,1981-09-20,3,24.349,MIA,@,HOU,W 16-10,0,0,,0,,,,,,,,,,
52,1981,1981-09-27,4,24.356,MIA,@,BAL,W 31-28,4,64,16.00,0,0,0,,0,0,0,,0,0,0
53,1981,1981-10-04,5,24.363,MIA,,NYJ,T 28-28,0,0,,0,,,,,,,,,,
54,1981,1981-10-12,6,25.006,MIA,@,BUF,L 21-31,3,34,11.33,0,0,0,,0,0,0,,0,0,0
