ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result
1,1970,1970-09-20,1,30.179,PHI,,DAL,L 7-17
2,1970,1970-09-27,2,30.186,PHI,@,CHI,L 16-20
3,1970,1970-10-04,3,30.193,PHI,,WAS,L 21-33
4,1970,1970-10-11,4,30.200,PHI,@,NYG,L 23-30
5,1970,1970-10-18,5,30.207,PHI,,STL,L 20-35
6,1970,1970-10-25,6,30.214,PHI,@,GNB,L 17-30
7,1970,1970-11-01,7,30.221,PHI,@,DAL,L 17-21
8,1970,1970-11-08,8,30.228,PHI,,MIA,W 24-17
9,1970,1970-11-15,9,30.235,PHI,,ATL,T 13-13
10,1970,1970-11-23,10,30.243,PHI,,NYG,W 23-20
11,1970,1970-11-29,11,30.249,PHI,@,STL,L 14-23
12,1970,1970-12-06,12,30.256,PHI,@,BAL,L 10-29
13,1970,1970-12-13,13,30.263,PHI,@,WAS,L 6-24
14,1970,1970-12-20,14,30.270,PHI,,PIT,W 30-20
15,1971,1971-10-03,3,31.192,RAM,,CHI,W 17-3
16,1971,1971-10-10,4,31.199,RAM,@,SFO,W 20-13
17,1971,1971-10-17,5,31.206,RAM,@,ATL,W 24-16
18,1971,1971-10-24,6,31.213,RAM,,GNB,W 30-13
19,1971,1971-10-31,7,31.220,RAM,,MIA,L 14-20
20,1971,1971-11-08,8,31.228,RAM,@,BAL,L 17-24
21,1971,1971-11-14,9,31.234,RAM,@,DET,W 21-13
22,1971,1971-11-21,10,31.241,RAM,,SFO,W 17-6
23,1971,1971-11-25,11,31.245,RAM,@,DAL,L 21-28
24,1971,1971-12-05,12,31.255,RAM,,NOR,W 45-28
25,1971,1971-12-13,13,31.263,RAM,,WAS,L 24-38
26,1972,1972-12-09,13,32.259,CLE,@,CIN,W 27-24
27,1972,1972-12-17,14,32.267,CLE,@,NYJ,W 26-10
28,1973,1973-09-16,1,33.175,CLE,,BAL,W 24-14
29,1973,1973-09-23,2,33.182,CLE,@,PIT,L 6-33
30,1973,1973-09-30,3,33.189,CLE,,NYG,W 12-10
31,1973,1973-10-07,4,33.196,CLE,,CIN,W 17-10
32,1973,1973-10-15,5,33.204,CLE,,MIA,L 9-17
33,1973,1973-10-21,6,33.210,CLE,,HOU,W 42-13
34,1973,1973-10-28,7,33.217,CLE,,SDG,T 16-16
35,1973,1973-11-04,8,33.224,CLE,@,MIN,L 3-26
36,1973,1973-11-11,9,33.231,CLE,@,HOU,W 23-13
37,1973,1973-11-18,10,33.238,CLE,@,OAK,W 7-3
38,1973,1973-11-25,11,33.245,CLE,,PIT,W 21-16
39,1973,1973-12-02,12,33.252,CLE,@,KAN,T 20-20
