ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,2001,2001-12-16,13,25.048,IND,,ATL,W 41-27,,,,,,,0.0%,
2,2001,2001-12-23,14,25.055,IND,,NYJ,L 28-29,,,,,,,0.0%,
3,2001,2002-01-06,16,25.069,IND,,DEN,W 29-10,,,,,,,0.0%,
4,2002,2002-09-08,1,25.314,IND,@,JAX,W 28-25,*,,,,,,0.0%,
5,2002,2002-09-15,2,25.321,IND,,MIA,L 13-21,,1,,,,,0.0%,
6,2002,2002-09-22,3,25.328,IND,@,HOU,W 23-3,*,1,1,8,8.00,0,100.0%,8.00
7,2002,2002-10-06,4,25.342,IND,,CIN,W 28-21,*,1,1,10,10.00,0,100.0%,10.00
8,2002,2002-11-24,11,26.026,IND,@,DEN,W 23-20,,4,3,19,6.33,0,75.0%,4.75
9,2002,2002-12-01,12,26.033,IND,,HOU,W 19-3,*,1,1,4,4.00,0,100.0%,4.00
10,2002,2002-12-08,13,26.040,IND,@,TEN,L 17-27,,1,,,,,0.0%,
11,2002,2002-12-15,14,26.047,IND,@,CLE,W 28-23,*,3,1,22,22.00,0,33.3%,7.33
12,2002,2002-12-22,15,26.054,IND,,NYG,L 27-44,*,2,1,7,7.00,0,50.0%,3.50
13,2002,2002-12-29,16,26.061,IND,,JAX,W 20-13,*,1,,,,,0.0%,
14,2003,2003-09-07,1,26.313,IND,@,CLE,W 9-6,,1,1,7,7.00,0,100.0%,7.00
15,2003,2003-09-14,2,26.320,IND,,TEN,W 33-7,,,,,,,0.0%,
16,2003,2003-09-21,3,26.327,IND,,JAX,W 23-13,,,,,,,0.0%,
17,2003,2003-09-28,4,26.334,IND,@,NOR,W 55-21,,,,,,,0.0%,
18,2003,2003-10-06,5,26.342,IND,@,TAM,W 38-35,,,,,,,0.0%,
19,2003,2003-10-12,6,26.348,IND,,CAR,L 20-23,,,,,,,0.0%,
20,2003,2003-10-26,7,26.362,IND,,HOU,W 30-21,,,,,,,0.0%,
21,2003,2003-11-02,8,27.004,IND,@,MIA,W 23-17,,1,1,7,7.00,0,100.0%,7.00
22,2003,2003-11-09,9,27.011,IND,@,JAX,L 23-28,,,,,,,0.0%,
23,2003,2003-11-16,10,27.018,IND,,NYJ,W 38-31,*,3,1,9,9.00,0,33.3%,3.00
24,2003,2003-11-23,11,27.025,IND,@,BUF,W 17-14,*,2,,,,,0.0%,
25,2003,2003-11-30,12,27.032,IND,,NWE,L 34-38,,,,,,,0.0%,
26,2003,2003-12-07,13,27.039,IND,@,TEN,W 29-27,,,,,,,0.0%,
27,2003,2003-12-14,14,27.046,IND,,ATL,W 38-7,,1,,,,,0.0%,
28,2003,2003-12-21,15,27.053,IND,,DEN,L 17-31,,,,,,,0.0%,
29,2003,2003-12-28,16,27.060,IND,@,HOU,W 20-17,,,,,,,0.0%,
