ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result
1,1983,1983-09-04,1,23.141,RAM,@,NYG,W 16-6
2,1983,1983-09-11,2,23.148,RAM,,NOR,W 30-27
3,1983,1983-09-18,3,23.155,RAM,@,GNB,L 24-27
4,1983,1983-09-25,4,23.162,RAM,@,NYJ,L 24-27
5,1983,1983-10-02,5,23.169,RAM,,DET,W 21-10
6,1983,1983-10-09,6,23.176,RAM,@,SFO,W 10-7
7,1983,1983-10-16,7,23.183,RAM,,ATL,W 27-21
8,1983,1983-10-23,8,23.190,RAM,,SFO,L 35-45
9,1983,1983-10-30,9,23.197,RAM,@,MIA,L 14-30
10,1983,1983-11-06,10,23.204,RAM,,CHI,W 21-14
11,1983,1983-11-14,11,23.212,RAM,@,ATL,W 36-13
12,1983,1983-11-20,12,23.218,RAM,,WAS,L 20-42
13,1983,1983-11-27,13,23.225,RAM,,BUF,W 41-17
14,1983,1983-12-04,14,23.232,RAM,@,PHI,L 9-13
15,1983,1983-12-11,15,23.239,RAM,,NWE,L 7-21
16,1983,1983-12-18,16,23.246,RAM,@,NOR,W 26-24
17,1984,1984-09-03,1,24.140,RAM,,DAL,L 13-20
18,1984,1984-09-09,2,24.146,RAM,,CLE,W 20-17
19,1984,1984-09-16,3,24.153,RAM,@,PIT,L 14-24
20,1984,1984-09-23,4,24.160,RAM,@,CIN,W 24-14
21,1984,1984-09-30,5,24.167,RAM,,NYG,W 33-12
22,1984,1984-10-07,6,24.174,RAM,,ATL,L 28-30
23,1984,1984-10-14,7,24.181,RAM,@,NOR,W 28-10
24,1984,1984-10-22,8,24.189,RAM,@,ATL,W 24-10
25,1984,1984-11-04,10,24.202,RAM,@,STL,W 16-13
26,1984,1984-11-11,11,24.209,RAM,,CHI,W 29-13
27,1984,1984-11-18,12,24.216,RAM,@,GNB,L 6-31
28,1984,1984-11-25,13,24.223,RAM,@,TAM,W 34-33
29,1984,1984-12-02,14,24.230,RAM,,NOR,W 34-21
30,1984,1984-12-09,15,24.237,RAM,,HOU,W 27-16
31,1984,1984-12-14,16,24.242,RAM,@,SFO,L 16-19
32,1985,1985-09-29,4,25.166,TAM,@,DET,L 9-30
33,1985,1985-10-27,8,25.194,TAM,,NWE,L 14-32
34,1985,1985-11-03,9,25.201,TAM,@,NYG,L 20-22
35,1985,1985-11-10,10,25.208,TAM,,STL,W 16-0
36,1985,1985-11-17,11,25.215,TAM,@,NYJ,L 28-62
37,1985,1985-11-24,12,25.222,TAM,,DET,W 19-16
38,1985,1985-12-01,13,25.229,TAM,@,GNB,L 0-21
39,1985,1985-12-08,14,25.236,TAM,@,MIN,L 7-26
40,1985,1985-12-15,15,25.243,TAM,,IND,L 23-31
41,1985,1985-12-22,16,25.250,TAM,,GNB,L 17-20
42,1987,1987-09-13,1,27.150,DAL,@,STL,L 13-24
