ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,tackles_solo,tackles_assists
1,2013,2013-09-08,1,24.313,NWE,@,BUF,W 23-21,,0.0,1,1
2,2013,2013-09-12,2,24.317,NWE,,NYJ,W 13-10,,0.0,1,3
3,2013,2013-09-22,3,24.327,NWE,,TAM,W 23-3,,0.0,0,1
4,2013,2013-09-29,4,24.334,NWE,@,ATL,W 30-23,,1.0,2,1
5,2013,2013-10-06,5,24.341,NWE,@,CIN,L 6-13,*,0.0,1,2
6,2013,2013-10-13,6,24.348,NWE,,NOR,W 30-27,*,0.0,2,6
7,2013,2013-10-20,7,24.355,NWE,@,NYJ,L 27-30,*,0.0,2,5
8,2013,2013-10-27,8,24.362,NWE,,MIA,W 27-17,*,0.0,1,3
9,2013,2013-11-03,9,25.004,NWE,,PIT,W 55-31,*,0.0,0,1
10,2013,2013-11-18,10,25.019,NWE,@,CAR,L 20-24,*,0.0,2,2
11,2013,2013-11-24,11,25.025,NWE,,DEN,W 34-31,*,0.0,2,4
12,2013,2013-12-01,12,25.032,NWE,@,HOU,W 34-31,*,0.0,2,0
13,2013,2013-12-08,13,25.039,NWE,,CLE,W 27-26,,0.0,0,2
14,2013,2013-12-15,14,25.046,NWE,@,MIA,L 20-24,,1.0,1,0
15,2013,2013-12-22,15,25.053,NWE,@,BAL,W 41-7,,0.0,0,2
16,2013,2013-12-29,16,25.060,NWE,,BUF,W 34-20,,0.0,3,1
17,2014,2014-09-07,1,25.312,NWE,@,MIA,L 20-33,*,0.0,1,0
18,2014,2014-09-14,2,25.319,NWE,@,MIN,W 30-7,,,,
19,2014,2014-09-21,3,25.326,NWE,,OAK,W 16-9,,0.0,1,3
20,2014,2014-09-29,4,25.334,NWE,@,KAN,L 14-41,,1.0,1,0
21,2014,2014-10-05,5,25.340,NWE,,CIN,W 43-17,,,,
22,2017,2017-09-24,3,28.329,ATL,@,DET,W 30-26,,0.0,0,1
23,2017,2017-10-01,4,28.336,ATL,,BUF,L 17-23,,0.0,1,0
24,2017,2017-10-15,5,28.350,ATL,,MIA,L 17-20,,0.0,0,1
25,2017,2017-10-22,6,28.357,ATL,@,NWE,L 7-23,,0.0,0,1
