ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1973,1973-09-16,1,23.080,DEN,,CIN,W 28-10,,,,
2,1973,1973-09-23,2,23.087,DEN,,SFO,L 34-36,,,,
3,1973,1973-09-30,3,23.094,DEN,,CHI,L 14-33,,,,
4,1973,1973-10-07,4,23.101,DEN,@,KAN,L 14-16,,,,
5,1973,1973-10-14,5,23.108,DEN,@,HOU,W 48-20,,,,
6,1973,1973-10-28,7,23.122,DEN,@,NYJ,W 40-28,,,,
7,1973,1973-11-04,8,23.129,DEN,@,STL,T 17-17,,,,
8,1973,1973-11-11,9,23.136,DEN,,SDG,W 30-19,,,,
9,1973,1973-11-18,10,23.143,DEN,@,PIT,W 23-13,,,,
10,1973,1973-11-25,11,23.150,DEN,,KAN,W 14-10,,,,
11,1973,1973-12-02,12,23.157,DEN,,DAL,L 10-22,,,,
12,1973,1973-12-09,13,23.164,DEN,@,SDG,W 42-28,,,,
13,1973,1973-12-16,14,23.171,DEN,@,OAK,L 17-21,,,,
14,1974,1974-09-15,1,24.079,DEN,,RAM,L 10-17,,,,
15,1974,1974-09-22,2,24.086,DEN,,PIT,T 35-35,,,,
16,1974,1974-09-30,3,24.094,DEN,@,WAS,L 3-30,,,,
17,1974,1974-10-06,4,24.100,DEN,@,KAN,W 17-14,,,,
18,1974,1974-10-13,5,24.107,DEN,,NOR,W 33-17,,,,
19,1974,1974-10-20,6,24.114,DEN,,SDG,W 27-7,,,,
20,1974,1974-10-27,7,24.121,DEN,@,CLE,L 21-23,,,,
21,1974,1974-11-03,8,24.128,DEN,,OAK,L 17-28,,,,
22,1974,1974-11-10,9,24.135,DEN,@,BAL,W 17-6,,,,
23,1974,1974-11-18,10,24.143,DEN,,KAN,L 34-42,,,,
24,1974,1974-11-24,11,24.149,DEN,@,OAK,W 20-17,,,,
25,1974,1974-11-28,12,24.153,DEN,@,DET,W 31-27,,,,
26,1974,1974-12-08,13,24.163,DEN,,HOU,W 37-14,,,,
27,1975,1975-09-21,1,25.085,DEN,,KAN,W 37-33,,,,
28,1975,1975-09-29,2,25.093,DEN,,GNB,W 23-13,,,,
29,1975,1975-10-05,3,25.099,DEN,@,BUF,L 14-38,,,,
30,1975,1975-10-12,4,25.106,DEN,@,PIT,L 9-20,,,,
31,1975,1975-10-19,5,25.113,DEN,,CLE,W 16-15,,,,
32,1975,1975-10-26,6,25.120,DEN,@,KAN,L 13-26,,,,
33,1975,1975-11-02,7,25.127,DEN,,OAK,L 17-42,,,,
34,1975,1975-11-09,8,25.134,DEN,,CIN,L 16-17,,,,
35,1975,1975-11-16,9,25.141,DEN,@,SDG,W 27-17,,,,
36,1975,1975-11-23,10,25.148,DEN,@,ATL,L 21-35,,,,
37,1975,1975-11-30,11,25.155,DEN,,SDG,W 13-10,,,,
38,1975,1975-12-08,12,25.163,DEN,@,OAK,L 10-17,,,,
39,1975,1975-12-14,13,25.169,DEN,,PHI,W 25-10,,,,
40,1975,1975-12-20,14,25.175,DEN,@,MIA,L 13-14,,,,
41,1976,1976-09-12,1,26.076,DEN,@,CIN,L 7-17,,,,
42,1976,1976-09-19,2,26.083,DEN,,NYJ,W 46-3,,,,
43,1976,1976-09-26,3,26.090,DEN,,CLE,W 44-13,,,,
44,1976,1976-10-03,4,26.097,DEN,,SDG,W 26-0,,,,
45,1976,1976-10-10,5,26.104,DEN,@,HOU,L 3-17,,,,
46,1976,1976-10-17,6,26.111,DEN,,OAK,L 10-17,,,,
47,1976,1976-10-24,7,26.118,DEN,@,KAN,W 35-26,,,,
48,1976,1976-10-31,8,26.125,DEN,@,OAK,L 6-19,,,,
49,1976,1976-11-07,9,26.132,DEN,,TAM,W 48-13,,,,
50,1976,1976-11-14,10,26.139,DEN,@,SDG,W 17-0,,,,
51,1976,1976-11-21,11,26.146,DEN,,NYG,W 14-13,,,,
52,1976,1976-11-28,12,26.153,DEN,@,NWE,L 14-38,,,,
53,1976,1976-12-05,13,26.160,DEN,,KAN,W 17-16,,,,
54,1977,1977-09-18,1,27.082,DEN,,STL,W 7-0,,,,
55,1977,1977-09-25,2,27.089,DEN,,BUF,W 26-6,,,,
56,1977,1977-10-02,3,27.096,DEN,@,SEA,W 24-13,,,,
57,1977,1977-10-09,4,27.103,DEN,,KAN,W 23-7,,,,
58,1977,1977-10-16,5,27.110,DEN,@,OAK,W 30-7,,,,
59,1977,1977-10-23,6,27.117,DEN,@,CIN,W 24-13,,,,
60,1977,1977-10-30,7,27.124,DEN,,OAK,L 14-24,,,,
61,1977,1977-11-06,8,27.131,DEN,,PIT,W 21-7,,,,
62,1977,1977-11-13,9,27.138,DEN,@,SDG,W 17-14,,,,
63,1977,1977-11-20,10,27.145,DEN,@,KAN,W 14-7,,,,
64,1977,1977-11-27,11,27.152,DEN,,BAL,W 27-13,,,,
65,1977,1977-12-04,12,27.159,DEN,@,HOU,W 24-14,,,,
66,1977,1977-12-11,13,27.166,DEN,,SDG,W 17-9,1,8,8.00,0
67,1977,1977-12-18,14,27.173,DEN,@,DAL,L 6-14,,,,
68,1978,1978-09-03,1,28.067,DEN,,OAK,W 14-6,,,,
69,1978,1978-09-11,2,28.075,DEN,@,MIN,L 9-12,,,,
70,1978,1978-09-17,3,28.081,DEN,,SDG,W 27-14,,,,
