ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1990,1990-10-28,7,23.226,CHI,@,PHO,W 31-21,,,,,,,,
2,1990,1990-11-04,8,23.233,CHI,@,TAM,W 26-6,,,,,,,,
3,1990,1990-11-11,9,23.240,CHI,,ATL,W 30-24,,,,,,,,
4,1990,1990-11-18,10,23.247,CHI,@,DEN,W 16-13,,,,,,,,
5,1990,1990-11-25,11,23.254,CHI,@,MIN,L 13-41,,,,,,,,
6,1990,1990-12-02,12,23.261,CHI,,DET,W 23-17,,,,,,,,
7,1990,1990-12-09,13,23.268,CHI,@,WAS,L 9-10,,,,,,,,
8,1990,1990-12-16,14,23.275,CHI,@,DET,L 21-38,,,,,,,,
9,1990,1990-12-23,15,23.282,CHI,,TAM,W 27-14,,,,,,,,
10,1990,1990-12-29,16,23.288,CHI,,KAN,L 10-21,,,,,,,,
11,1991,1991-09-01,1,24.169,CHI,,MIN,W 10-6,,,,,,,,
12,1991,1991-09-08,2,24.176,CHI,@,TAM,W 21-20,,,,,,,,
13,1991,1991-09-15,3,24.183,CHI,,NYG,W 20-17,,,,,,,,
14,1991,1991-09-23,4,24.191,CHI,,NYJ,W 19-13,,,,,,,,
15,1991,1991-09-29,5,24.197,CHI,@,BUF,L 20-35,,,,,,,,
16,1991,1991-10-06,6,24.204,CHI,,WAS,L 7-20,,,,,,,,
17,1991,1991-10-17,7,24.215,CHI,@,GNB,W 10-0,0,0,,0,1.0,0,0,0
18,1991,1991-10-27,8,24.225,CHI,@,NOR,W 20-17,,,,,,,,
19,1991,1991-11-03,9,24.232,CHI,,DET,W 20-10,0,0,,0,0.0,1,5,0
20,1991,1991-11-11,10,24.240,CHI,@,MIN,W 34-17,,,,,,,,
21,1991,1991-11-17,11,24.246,CHI,@,IND,W 31-17,,,,,,,,
22,1991,1991-11-24,12,24.253,CHI,,MIA,L 13-16,,,,,,,,
23,1991,1991-11-28,13,24.257,CHI,@,DET,L 6-16,,,,,,,,
24,1991,1991-12-08,14,24.267,CHI,,GNB,W 27-13,,,,,,,,
25,1991,1991-12-14,15,24.273,CHI,,TAM,W 27-0,,,,,,,,
26,1991,1991-12-23,16,24.282,CHI,@,SFO,L 14-52,,,,,,,,
27,1992,1992-09-06,1,25.174,CHI,,DET,W 27-24,,,,,,,,
28,1992,1992-09-13,2,25.181,CHI,@,NOR,L 6-28,,,,,,,,
29,1992,1992-09-21,3,25.189,CHI,,NYG,L 14-27,,,,,,,,
30,1992,1992-09-27,4,25.195,CHI,,ATL,W 41-31,,,,,,,,
31,1992,1992-10-04,5,25.202,CHI,@,MIN,L 20-21,,,,,,,,
32,1993,1993-10-03,4,26.201,CHI,,ATL,W 6-0,0,0,,0,0.0,1,0,0
33,1993,1993-10-10,5,26.208,CHI,@,PHI,W 17-6,1,0,0.00,0,0.0,0,0,0
34,1993,1993-10-25,6,26.223,CHI,,MIN,L 12-19,0,0,,0,,,,
35,1993,1993-10-31,7,26.229,CHI,@,GNB,L 3-17,0,0,,0,,,,
36,1993,1993-11-07,8,26.236,CHI,,RAI,L 14-16,0,0,,0,,,,
37,1993,1993-11-14,9,26.243,CHI,@,SDG,W 16-13,0,0,,0,,,,
38,1993,1993-11-21,10,26.250,CHI,@,KAN,W 19-17,0,0,,0,,,,
39,1993,1993-11-25,11,26.254,CHI,@,DET,W 10-6,0,0,,0,,,,
40,1993,1993-12-05,12,26.264,CHI,,GNB,W 30-17,0,0,,0,,,,
41,1993,1993-12-12,13,26.271,CHI,@,TAM,L 10-13,0,0,,0,,,,
42,1993,1993-12-26,15,26.285,CHI,,DET,L 14-20,0,0,,0,,,,
43,1993,1994-01-02,16,26.292,CHI,@,RAM,L 6-20,0,0,,0,,,,
44,1994,1994-09-04,1,27.172,CHI,,TAM,W 21-9,,,,,,,,
45,1994,1994-09-12,2,27.180,CHI,@,PHI,L 22-30,,,,,,,,
46,1994,1994-09-18,3,27.186,CHI,,MIN,L 14-42,,,,,,,,
47,1994,1994-09-25,4,27.193,CHI,@,NYJ,W 19-7,,,,,,,,
48,1994,1994-10-02,5,27.200,CHI,,BUF,W 20-13,,,,,,,,
49,1994,1994-10-09,6,27.207,CHI,,NOR,W 17-7,,,,,,,,
50,1994,1994-10-23,7,27.221,CHI,@,DET,L 16-21,,,,,,,,
51,1994,1994-10-31,8,27.229,CHI,,GNB,L 6-33,,,,,,,,
52,1994,1994-11-06,9,27.235,CHI,@,TAM,W 20-6,,,,,,,,
53,1994,1994-11-13,10,27.242,CHI,@,MIA,W 17-14,,,,,,,,
54,1994,1994-11-20,11,27.249,CHI,,DET,W 20-10,,,,,,,,
55,1994,1994-11-27,12,27.256,CHI,@,ARI,W 19-16,0,0,,0,0.5,0,0,0
56,1994,1994-12-01,13,27.260,CHI,@,MIN,L 27-33,,,,,,,,
57,1994,1994-12-11,14,27.270,CHI,@,GNB,L 3-40,,,,,,,,
58,1994,1994-12-18,15,27.277,CHI,,RAM,W 27-13,,,,,,,,
59,1994,1994-12-24,16,27.283,CHI,,NWE,L 3-13,,,,,,,,
60,1995,1995-09-03,1,28.171,CHI,,MIN,W 31-14,,,,,,,,
61,1995,1995-10-08,5,28.206,CHI,,CAR,W 31-27,,,,,,,,
62,1995,1995-10-15,6,28.213,CHI,@,JAX,W 30-27,,,,,,,,
63,1995,1995-10-22,7,28.220,CHI,,HOU,W 35-32,,,,,,,,
64,1995,1995-10-30,8,28.228,CHI,@,MIN,W 14-6,0,0,,0,1.0,0,0,0
65,1995,1995-11-05,9,28.234,CHI,,PIT,L 34-37,,,,,,,,
66,1995,1995-11-12,10,28.241,CHI,@,GNB,L 28-35,,,,,,,,
67,1995,1995-11-19,11,28.248,CHI,,DET,L 17-24,,,,,,,,
68,1995,1995-12-10,14,28.269,CHI,@,CIN,L 10-16,,,,,,,,
69,1995,1995-12-17,15,28.276,CHI,,TAM,W 31-10,,,,,,,,
70,1995,1995-12-24,16,28.283,CHI,,PHI,W 20-14,0,0,,0,0.0,1,2,0
71,1996,1996-09-02,1,29.170,CHI,,DAL,W 22-6,,,,,,,,
72,1996,1996-09-08,2,29.176,CHI,@,WAS,L 3-10,,,,,,,,
73,1996,1996-09-15,3,29.183,CHI,,MIN,L 14-20,,,,,,,,
74,1996,1996-09-22,4,29.190,CHI,@,DET,L 16-35,0,0,,0,0.5,0,0,0
75,1996,1996-09-29,5,29.197,CHI,,OAK,W 19-17,,,,,,,,
76,1996,1996-10-06,6,29.204,CHI,,GNB,L 6-37,,,,,,,,
77,1996,1996-10-13,7,29.211,CHI,@,NOR,L 24-27,,,,,,,,
78,1996,1996-10-28,8,29.226,CHI,@,MIN,W 15-13,,,,,,,,
79,1996,1996-11-03,9,29.232,CHI,,TAM,W 13-10,,,,,,,,
80,1996,1996-11-10,10,29.239,CHI,@,DEN,L 12-17,,,,,,,,
81,1996,1996-11-17,11,29.246,CHI,@,KAN,L 10-14,,,,,,,,
82,1996,1996-11-24,12,29.253,CHI,,DET,W 31-14,0,0,,0,0.5,0,0,0
83,1996,1996-12-01,13,29.260,CHI,@,GNB,L 17-28,,,,,,,,
84,1996,1996-12-08,14,29.267,CHI,,STL,W 35-9,,,,,,,,
85,1996,1996-12-14,15,29.273,CHI,,SDG,W 27-14,,,,,,,,
86,1996,1996-12-22,16,29.281,CHI,@,TAM,L 19-34,,,,,,,,
87,1997,1997-09-01,1,30.169,CHI,@,GNB,L 24-38,,,,,,,,
88,1997,1997-09-07,2,30.175,CHI,,MIN,L 24-27,,,,,,,,
89,1997,1997-09-14,3,30.182,CHI,,DET,L 7-32,,,,,,,,
90,1997,1997-09-21,4,30.189,CHI,@,NWE,L 3-31,,,,,,,,
91,1997,1997-09-28,5,30.196,CHI,@,DAL,L 3-27,,,,,,,,
92,1997,1997-10-05,6,30.203,CHI,,NOR,L 17-20,0,0,,0,0.0,1,0,0
93,1997,1997-10-12,7,30.210,CHI,,GNB,L 23-24,,,,,,,,
94,1997,1997-10-27,8,30.225,CHI,@,MIA,W 36-33,,,,,,,,
95,1997,1997-11-02,9,30.231,CHI,,WAS,L 8-31,,,,,,,,
96,1997,1997-11-09,10,30.238,CHI,@,MIN,L 22-29,0,0,,0,0.0,1,4,0
97,1997,1997-11-16,11,30.245,CHI,,NYJ,L 15-23,,,,,,,,
98,1997,1997-11-23,12,30.252,CHI,,TAM,W 13-7,,,,,,,,
99,1997,1997-11-27,13,30.256,CHI,@,DET,L 20-55,,,,,,,,
100,1997,1997-12-07,14,30.266,CHI,,BUF,W 20-3,,,,,,,,
101,1997,1997-12-14,15,30.273,CHI,@,STL,W 13-10,,,,,,,,
102,1997,1997-12-21,16,30.280,CHI,@,TAM,L 15-31,0,0,,0,1.0,0,0,0
103,1998,1998-09-06,1,31.174,CHI,,JAX,L 23-24,,,,,,,,
104,1998,1998-09-13,2,31.181,CHI,@,PIT,L 12-17,,,,,,,,
105,1998,1998-09-20,3,31.188,CHI,@,TAM,L 15-27,,,,,,,,
