ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1975,1975-09-21,1,22.057,HOU,@,NWE,W 7-0,,,,,,,,,,,,,,
2,1975,1975-09-28,2,22.064,HOU,,SDG,W 33-17,3,46,15.33,1,0,0,,0,1,6,0,0,,0
3,1975,1975-10-05,3,22.071,HOU,,CIN,L 19-21,1,17,17.00,0,0,0,,0,0,0,0,0,,0
4,1975,1975-10-12,4,22.078,HOU,@,CLE,W 40-10,1,8,8.00,0,0,0,,0,0,0,0,0,,0
5,1975,1975-10-19,5,22.085,HOU,,WAS,W 13-10,,,,,,,,,,,,,,
6,1975,1975-10-26,6,22.092,HOU,,DET,W 24-8,1,22,22.00,0,0,0,,0,0,0,0,0,,0
7,1975,1975-11-02,7,22.099,HOU,@,KAN,W 17-13,,,,,,,,,,,,,,
8,1975,1975-11-09,8,22.106,HOU,@,PIT,L 17-24,1,51,51.00,0,0,0,,0,0,0,0,0,,0
9,1976,1976-09-12,1,23.048,HOU,,TAM,W 20-0,1,12,12.00,0,0,0,,0,0,0,0,0,,0
10,1976,1976-09-19,2,23.055,HOU,@,BUF,W 13-3,,,,,,,,,,,,,,
11,1976,1976-09-26,3,23.062,HOU,,OAK,L 13-14,2,40,20.00,0,0,0,,0,0,0,0,0,,0
12,1976,1976-10-03,4,23.069,HOU,@,NOR,W 31-26,,,,,,,,,,,,,,
13,1976,1976-10-10,5,23.076,HOU,,DEN,W 17-3,1,7,7.00,0,0,0,,0,0,0,0,0,,0
14,1976,1976-10-17,6,23.083,HOU,@,SDG,L 27-30,1,8,8.00,0,0,0,,0,0,0,0,0,,0
15,1976,1976-10-24,7,23.090,HOU,,CIN,L 7-27,1,11,11.00,0,0,0,,0,0,0,0,0,,0
16,1976,1976-11-01,8,23.098,HOU,@,BAL,L 14-38,2,63,31.50,0,0,0,,0,0,0,0,0,,0
17,1976,1976-11-07,9,23.104,HOU,,CLE,L 7-21,1,11,11.00,0,0,0,,0,0,0,1,32,32.00,0
18,1976,1976-11-14,10,23.111,HOU,@,CIN,L 27-31,3,27,9.00,0,0,0,,0,0,0,0,0,,0
19,1976,1976-11-21,11,23.118,HOU,@,PIT,L 16-32,1,2,2.00,1,0,0,,0,1,6,0,0,,0
20,1976,1976-11-28,12,23.125,HOU,,ATL,W 20-14,,,,,,,,,,,,,,
21,1976,1976-12-05,13,23.132,HOU,@,CLE,L 10-13,3,14,4.67,0,0,0,,0,0,0,0,0,,0
22,1976,1976-12-11,14,23.138,HOU,,PIT,L 0-21,2,13,6.50,0,0,0,,0,0,0,0,0,,0
23,1977,1977-09-18,1,24.054,SEA,,BAL,L 14-29,,,,,,,,,,,,,,
24,1977,1977-09-25,2,24.061,SEA,@,CIN,L 20-42,1,-1,-1.00,0,0,0,,0,0,0,0,0,,0
25,1977,1977-10-02,3,24.068,SEA,,DEN,L 13-24,,,,,,,,,,,,,,
26,1977,1977-10-09,4,24.075,SEA,@,NWE,L 0-31,,,,,,,,,,,,,,
27,1977,1977-10-16,5,24.082,SEA,,TAM,W 30-23,,,,,,,,,,,,,,
28,1977,1977-10-23,6,24.089,SEA,@,MIA,L 13-31,2,27,13.50,0,0,0,,0,0,0,0,0,,0
29,1977,1977-10-30,7,24.096,SEA,,BUF,W 56-17,1,-6,-6.00,0,0,0,,0,0,0,0,0,,0
30,1977,1977-11-06,8,24.103,SEA,@,OAK,L 7-44,1,7,7.00,0,0,0,,0,0,0,0,0,,0
31,1977,1977-11-13,9,24.110,SEA,@,NYJ,W 17-0,,,,,,,,,,,,,,
32,1977,1977-11-20,10,24.117,SEA,,HOU,L 10-22,,,,,,,,,,,,,,
33,1977,1977-11-27,11,24.124,SEA,,SDG,L 28-30,1,27,27.00,0,0,0,,0,0,0,0,0,,0
34,1977,1977-12-04,12,24.131,SEA,@,PIT,L 20-30,2,14,7.00,0,0,0,,0,0,0,0,0,,0
35,1977,1977-12-11,13,24.138,SEA,@,KAN,W 34-31,2,37,18.50,0,0,0,,0,0,0,0,0,,0
36,1977,1977-12-18,14,24.145,SEA,,CLE,W 20-19,,,,,,,,,,,,,,
37,1978,1978-09-03,1,25.039,SEA,,SDG,L 20-24,1,7,7.00,0,0,0,,0,0,0,0,0,,0
38,1978,1978-09-10,2,25.046,SEA,@,PIT,L 10-21,,,,,,,,,,,,,,
39,1978,1978-09-17,3,25.053,SEA,@,NYJ,W 24-17,,,,,,,,,,,,,,
40,1978,1978-09-24,4,25.060,SEA,,DET,W 28-16,1,18,18.00,0,0,0,,0,0,0,0,0,,0
41,1978,1978-10-01,5,25.067,SEA,@,DEN,L 7-28,,,,,,,,,,,,,,
42,1978,1978-11-12,11,25.109,SEA,,BAL,L 14-17,,,,,,,,,,,,,,
43,1978,1978-11-19,12,25.116,SEA,@,KAN,W 13-10,1,14,14.00,0,0,0,,0,0,0,0,0,,0
44,1978,1978-11-26,13,25.123,SEA,@,OAK,W 17-16,1,8,8.00,0,0,0,,0,0,0,0,0,,0
45,1978,1978-12-03,14,25.130,SEA,,CLE,W 47-24,2,32,16.00,0,0,0,,0,0,0,0,0,,0
46,1978,1978-12-10,15,25.137,SEA,@,SDG,L 10-37,,,,,,,,,,,,,,
47,1978,1978-12-17,16,25.144,SEA,,KAN,W 23-19,3,22,7.33,0,0,0,,0,0,0,0,0,,0
48,1980,1980-09-07,1,27.043,SEA,,SDG,L 13-34,2,19,9.50,0,0,0,,0,0,0,0,0,,0
49,1980,1980-09-14,2,27.050,SEA,@,KAN,W 17-16,,,,,,,,,,,,,,
50,1980,1980-09-21,3,27.057,SEA,,NWE,L 31-37,3,46,15.33,0,0,0,,0,0,0,0,0,,0
51,1980,1980-09-28,4,27.064,SEA,@,WAS,W 14-0,1,20,20.00,0,0,0,,0,0,0,0,0,,0
