ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1977,1977-09-18,1,26.075,SDG,@,OAK,L 0-24,0,0,,0,0,0,,0,2,17,8.50,0,3,5,1.67,0
2,1977,1977-09-25,2,26.082,SDG,@,KAN,W 23-7,1,7,7.00,0,1,4,4.00,0,1,33,33.00,0,7,130,18.57,0
3,1977,1977-10-02,3,26.089,SDG,,CIN,W 24-3,1,12,12.00,0,0,0,,0,0,0,,0,1,11,11.00,0
4,1977,1977-10-16,5,26.103,SDG,,NWE,L 20-24,1,19,19.00,0,0,0,,0,1,16,16.00,0,1,2,2.00,0
5,1977,1977-10-30,7,26.117,SDG,@,MIA,W 14-13,,,,,,,,,,,,,,,,
6,1977,1977-11-13,9,26.131,SDG,,DEN,L 14-17,3,76,25.33,0,1,33,33.00,0,0,0,,0,2,9,4.50,0
7,1977,1977-11-20,10,26.138,SDG,,OAK,W 12-7,,,,,,,,,,,,,,,,
8,1977,1977-11-27,11,26.145,SDG,@,SEA,W 30-28,1,14,14.00,0,0,0,,0,0,0,,0,1,1,1.00,0
9,1977,1977-12-04,12,26.152,SDG,,CLE,W 37-14,1,24,24.00,0,0,0,,0,0,0,,0,0,0,,0
10,1977,1977-12-11,13,26.159,SDG,@,DEN,L 9-17,4,35,8.75,0,1,7,7.00,0,0,0,,0,0,0,,0
11,1977,1977-12-18,14,26.166,SDG,,PIT,L 9-10,,,,,,,,,,,,,,,,
12,1978,1978-09-10,2,27.067,SDG,,OAK,L 20-21,2,18,9.00,0,0,0,,0,1,27,27.00,0,0,0,,0
13,1978,1978-09-17,3,27.074,SDG,@,DEN,L 14-27,0,0,,0,0,0,,0,1,34,34.00,0,3,23,7.67,0
14,1978,1978-09-24,4,27.081,SDG,,GNB,L 3-24,1,11,11.00,0,0,0,,0,1,25,25.00,0,4,21,5.25,0
15,1978,1978-10-01,5,27.088,SDG,@,NWE,L 23-28,1,12,12.00,0,1,5,5.00,0,4,108,27.00,0,3,31,10.33,0
16,1978,1978-10-08,6,27.095,SDG,,DEN,W 23-0,1,6,6.00,0,0,0,,0,0,0,,0,0,0,,0
17,1978,1978-10-15,7,27.102,SDG,,MIA,L 21-28,0,0,,0,0,0,,0,4,93,23.25,0,1,13,13.00,0
