ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring
1,1956,1956-10-06,2,23.152,BAL,,DET,L 14-31,,0,2,0.00,0,0,1,0.0,0,0,0.00,-22.50,1,21,21.00,0,0,0,,0,0,
2,1956,1956-10-21,4,23.167,BAL,@,CHI,L 27-58,,9,19,47.37,131,1,1,65.9,0,0,6.89,5.58,2,-4,-2.00,0,0,0,,0,0,
3,1956,1956-10-28,5,23.174,BAL,,GNB,W 28-21,*,8,16,50.00,128,2,1,90.6,0,0,8.00,7.69,3,8,2.67,0,0,0,,0,0,
4,1956,1956-11-11,6,23.188,BAL,@,CLE,W 21-7,*,5,14,35.71,21,0,0,44.3,0,0,1.50,1.50,4,40,10.00,0,0,0,,0,0,
5,1956,1956-11-18,7,23.195,BAL,@,DET,L 3-27,*,17,30,56.67,314,0,1,79.0,0,0,10.47,8.97,2,28,14.00,0,1,1,1.00,0,0,
6,1956,1956-11-25,8,23.202,BAL,,RAM,W 56-21,*,18,24,75.00,293,3,1,137.7,0,0,12.21,12.83,4,11,2.75,1,0,0,,0,1,
7,1956,1956-12-02,9,23.209,BAL,,SFO,L 17-20,*,18,30,60.00,179,0,2,49.2,0,0,5.97,2.97,2,21,10.50,0,0,0,,0,0,
8,1956,1956-12-09,10,23.216,BAL,@,RAM,L 7-31,*,14,29,48.28,147,1,1,60.6,0,0,5.07,4.21,4,16,4.00,0,0,0,,0,0,
9,1956,1956-12-16,11,23.223,BAL,@,SFO,L 17-30,*,11,16,68.75,124,1,1,86.5,0,0,7.75,6.19,5,26,5.20,0,0,0,,0,0,
10,1956,1956-12-23,12,23.230,BAL,,WAS,W 19-17,,10,18,55.56,161,1,1,81.0,0,0,8.94,7.56,1,-12,-12.00,0,0,0,,0,0,
11,1957,1957-09-29,1,24.145,BAL,,DET,W 34-14,*,14,23,60.87,241,4,3,96.5,0,0,10.48,8.09,4,2,0.50,0,0,0,,0,0,
12,1957,1957-10-05,2,24.151,BAL,,CHI,W 21-10,*,17,26,65.38,184,2,1,95.7,0,0,7.08,6.88,5,0,0.00,0,0,0,,0,0,
13,1957,1957-10-13,3,24.159,BAL,@,GNB,W 45-17,*,7,17,41.18,130,2,2,67.9,0,0,7.65,4.71,1,22,22.00,0,0,0,,0,0,
14,1957,1957-10-20,4,24.166,BAL,@,DET,L 27-31,*,16,21,76.19,239,4,1,132.7,0,0,11.38,13.05,1,-1,-1.00,0,0,0,,0,0,
15,1957,1957-10-27,5,24.173,BAL,,GNB,L 21-24,*,16,31,51.61,188,2,2,65.0,0,0,6.06,4.45,6,61,10.17,0,0,0,,0,0,
16,1957,1957-11-03,6,24.180,BAL,,PIT,L 13-19,*,3,9,33.33,56,1,3,53.2,0,0,6.22,-6.56,3,3,1.00,0,0,0,,0,0,
17,1957,1957-11-10,7,24.187,BAL,@,WAS,W 21-17,*,17,30,56.67,247,2,0,105.8,0,0,8.23,9.57,9,21,2.33,1,0,0,,0,1,
18,1957,1957-11-17,8,24.194,BAL,@,CHI,W 29-14,*,11,23,47.83,245,1,0,100.8,0,0,10.65,11.52,2,18,9.00,0,0,0,,0,0,
19,1957,1957-11-24,9,24.201,BAL,,SFO,W 27-21,*,16,25,64.00,230,1,0,107.1,0,0,9.20,10.00,2,6,3.00,0,0,0,,0,0,
20,1957,1957-12-01,10,24.208,BAL,,RAM,W 31-14,*,18,30,60.00,271,3,1,109.2,0,0,9.03,9.53,4,1,0.25,0,0,0,,0,0,
21,1957,1957-12-08,11,24.215,BAL,@,SFO,L 13-17,*,23,37,62.16,296,1,2,73.7,0,0,8.00,6.11,2,16,8.00,0,0,0,,0,0,
22,1957,1957-12-15,12,24.222,BAL,@,RAM,L 21-37,*,14,29,48.28,223,1,2,57.1,0,0,7.69,5.28,3,22,7.33,0,0,0,,0,0,
23,1958,1958-09-28,1,25.144,BAL,,DET,W 28-15,*,23,43,53.49,250,2,1,76.7,0,0,5.81,5.70,3,15,5.00,0,0,0,,0,0,
24,1958,1958-10-04,2,25.150,BAL,,CHI,W 51-38,*,10,23,43.48,198,4,1,95.7,0,0,8.61,10.13,4,11,2.75,0,0,0,,0,0,
25,1958,1958-10-12,3,25.158,BAL,@,GNB,W 24-17,*,16,35,45.71,238,1,1,66.1,0,0,6.80,6.09,5,27,5.40,1,0,0,,0,1,
26,1958,1958-10-19,4,25.165,BAL,@,DET,W 40-14,*,11,17,64.71,221,1,0,127.7,0,0,13.00,14.18,5,36,7.20,0,0,0,,0,0,
27,1958,1958-10-26,5,25.172,BAL,,WAS,W 35-10,*,8,15,53.33,183,2,0,136.9,0,0,12.20,14.87,1,2,2.00,0,0,0,,0,0,
28,1958,1958-11-02,6,25.179,BAL,,GNB,W 56-0,*,5,16,31.25,99,2,0,93.5,0,0,6.19,8.69,2,17,8.50,0,0,0,,0,0,
29,1958,1958-11-23,9,25.200,BAL,,RAM,W 34-7,*,12,18,66.67,218,2,0,145.1,0,0,12.11,14.33,4,3,0.75,1,0,0,,0,1,
30,1958,1958-11-30,10,25.207,BAL,,SFO,W 35-27,*,17,33,51.52,229,1,1,71.4,0,0,6.94,6.18,5,12,2.40,1,0,0,,0,1,
31,1958,1958-12-06,11,25.213,BAL,@,RAM,L 28-30,*,23,38,60.53,214,3,3,69.4,0,0,5.63,3.66,3,11,3.67,0,0,0,,0,0,
32,1958,1958-12-14,12,25.221,BAL,@,SFO,L 12-21,,11,25,44.00,157,1,0,78.2,0,0,6.28,7.08,1,5,5.00,0,0,0,,0,0,
33,1959,1959-09-27,1,26.143,BAL,,DET,W 21-9,*,13,30,43.33,230,2,0,92.4,0,0,7.67,9.00,1,16,16.00,0,0,0,,0,0,
34,1959,1959-10-03,2,26.149,BAL,,CHI,L 21-26,*,17,38,44.74,221,3,3,57.0,0,0,5.82,3.84,2,2,1.00,0,0,0,,0,0,
35,1959,1959-10-11,3,26.157,BAL,@,DET,W 31-24,*,13,25,52.00,257,3,2,94.5,0,0,10.28,9.08,4,10,2.50,0,0,0,,0,0,
36,1959,1959-10-18,4,26.164,BAL,@,CHI,W 21-7,*,16,30,53.33,233,2,2,73.3,0,0,7.77,6.10,4,22,5.50,0,0,0,,0,0,
37,1959,1959-10-25,5,26.171,BAL,,GNB,W 38-21,*,19,29,65.52,206,3,0,120.8,0,0,7.10,9.17,1,3,3.00,0,0,0,,0,0,
38,1959,1959-11-01,6,26.178,BAL,,CLE,L 31-38,*,23,41,56.10,397,4,3,91.2,0,0,9.68,8.34,2,11,5.50,0,0,0,,0,0,
39,1959,1959-11-08,7,26.185,BAL,@,WAS,L 24-27,*,15,35,42.86,265,2,2,64.6,0,0,7.57,6.14,2,-9,-4.50,0,0,0,,0,0,
40,1959,1959-11-15,8,26.192,BAL,@,GNB,W 28-24,*,19,33,57.58,324,3,0,121.3,0,0,9.82,11.64,1,3,3.00,0,0,0,,0,0,
41,1959,1959-11-22,9,26.199,BAL,,SFO,W 45-14,*,10,19,52.63,141,2,1,90.0,0,0,7.42,7.16,3,12,4.00,1,0,0,,0,1,
42,1959,1959-11-29,10,26.206,BAL,,RAM,W 35-21,*,14,24,58.33,242,2,1,103.1,0,0,10.08,9.88,2,26,13.00,0,0,0,,0,0,
43,1959,1959-12-05,11,26.212,BAL,@,SFO,W 34-14,*,21,36,58.33,273,3,0,110.1,0,0,7.58,9.25,3,16,5.33,1,0,0,,0,1,
44,1959,1959-12-12,12,26.219,BAL,@,RAM,W 45-26,*,13,27,48.15,110,3,0,96.2,0,0,4.07,6.30,4,33,8.25,0,0,0,,0,0,
45,1960,1960-09-25,1,27.141,BAL,,WAS,W 20-0,*,17,35,48.57,232,1,1,67.8,0,0,6.63,5.91,1,-3,-3.00,0,0,0,,0,0,0
46,1960,1960-10-02,2,27.148,BAL,,CHI,W 42-7,*,14,27,51.85,307,4,0,132.3,0,0,11.37,14.33,1,5,5.00,0,0,0,,0,0,0
47,1960,1960-10-09,3,27.155,BAL,@,GNB,L 21-35,*,16,31,51.61,216,1,4,45.3,0,0,6.97,1.81,6,85,14.17,0,0,0,,0,0,0
48,1960,1960-10-16,4,27.162,BAL,,RAM,W 31-17,*,12,23,52.17,176,1,2,55.7,0,0,7.65,4.61,2,11,5.50,0,0,0,,0,0,0
49,1960,1960-10-23,5,27.169,BAL,@,DET,L 17-30,*,20,40,50.00,253,2,2,65.9,0,0,6.33,5.08,4,20,5.00,0,0,0,,0,0,0
50,1960,1960-10-30,6,27.176,BAL,@,DAL,W 45-7,*,8,16,50.00,270,4,0,135.4,0,0,16.88,21.88,1,17,17.00,0,0,0,,0,0,0
51,1960,1960-11-06,7,27.183,BAL,,GNB,W 38-24,*,20,29,68.97,324,4,1,131.3,0,0,11.17,12.38,5,28,5.60,0,0,0,,0,0,0
52,1960,1960-11-13,8,27.190,BAL,@,CHI,W 24-20,*,16,33,48.48,266,2,2,71.0,0,0,8.06,6.55,6,6,1.00,0,0,0,,0,0,0
53,1960,1960-11-27,9,27.204,BAL,,SFO,L 22-30,*,16,30,53.33,356,3,5,89.7,0,0,11.87,6.37,3,3,1.00,0,0,0,,0,0,0
54,1960,1960-12-04,10,27.211,BAL,,DET,L 15-20,*,22,40,55.00,357,2,3,70.5,0,0,8.93,6.55,1,0,0.00,0,0,0,,0,0,0
55,1960,1960-12-11,11,27.218,BAL,@,RAM,L 3-10,*,17,38,44.74,182,0,1,48.4,0,0,4.79,3.61,3,11,3.67,0,0,0,,0,0,0
56,1960,1960-12-18,12,27.225,BAL,@,SFO,L 10-34,*,12,36,33.33,160,1,3,22.9,0,0,4.44,1.25,3,12,4.00,0,0,0,,0,0,0
57,1961,1961-09-17,1,28.133,BAL,,RAM,W 27-24,*,10,22,45.45,132,1,2,42.2,0,0,6.00,2.82,5,27,5.40,1,0,0,,0,1,6
58,1961,1961-09-24,2,28.140,BAL,,DET,L 15-16,*,10,16,62.50,105,1,1,76.3,0,0,6.56,5.00,2,7,3.50,0,0,0,,0,0,0
59,1961,1961-10-01,3,28.147,BAL,,MIN,W 34-33,*,13,27,48.15,284,2,1,95.3,0,0,10.52,10.33,2,26,13.00,0,0,0,,0,0,0
60,1961,1961-10-08,4,28.154,BAL,@,GNB,L 7-45,*,11,24,45.83,141,0,5,25.2,0,0,5.88,-3.50,3,12,4.00,0,0,0,,0,0,0
61,1961,1961-10-15,5,28.161,BAL,@,CHI,L 10-24,*,19,36,52.78,278,0,1,66.7,0,0,7.72,6.47,6,31,5.17,1,0,0,,0,1,6
62,1961,1961-10-22,6,28.168,BAL,@,DET,W 17-14,*,22,36,61.11,244,0,4,41.7,0,0,6.78,1.78,5,2,0.40,0,0,0,,0,0,0
63,1961,1961-10-29,7,28.175,BAL,,CHI,L 20-21,*,20,36,55.56,302,2,2,78.7,0,0,8.39,7.00,4,-3,-0.75,0,0,0,,0,0,0
64,1961,1961-11-05,8,28.182,BAL,,GNB,W 45-21,*,22,35,62.86,218,4,1,106.6,0,0,6.23,7.23,0,0,,0,0,0,,0,0,0
65,1961,1961-11-12,9,28.189,BAL,@,MIN,L 20-28,*,14,31,45.16,138,0,2,31.4,0,0,4.45,1.55,4,5,1.25,0,0,0,,0,0,0
66,1961,1961-11-19,10,28.196,BAL,,STL,W 16-0,*,21,36,58.33,246,1,0,88.4,0,0,6.83,7.39,8,36,4.50,0,0,0,,0,0,0
67,1961,1961-11-26,11,28.203,BAL,@,WAS,W 27-6,*,18,33,54.55,208,1,3,46.0,0,0,6.30,2.82,3,-13,-4.33,0,0,0,,0,0,0
68,1961,1961-12-03,12,28.210,BAL,,SFO,W 20-17,*,15,27,55.56,216,1,1,78.6,0,0,8.00,7.07,4,11,2.75,0,0,0,,0,0,0
69,1961,1961-12-09,13,28.216,BAL,@,RAM,L 17-34,*,15,27,55.56,164,0,1,58.3,0,0,6.07,4.41,3,23,7.67,0,0,0,,0,0,0
