ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2008,2008-09-07,1,21.170,CAR,@,SDG,W 26-24,,10,53,5.30,0,0,0,0,,0,0.0%,,4,84,21.00,0,0,0,0.0,0,0
2,2008,2008-09-14,2,21.177,CAR,,CHI,W 20-17,,14,77,5.50,2,0,0,0,,0,0.0%,,1,18,18.00,0,2,12,0.0,0,0
3,2008,2008-09-21,3,21.184,CAR,@,MIN,L 10-20,,7,15,2.14,1,0,0,0,,0,0.0%,,5,146,29.20,0,1,6,0.0,0,0
4,2008,2008-09-28,4,21.191,CAR,,ATL,W 24-9,,15,55,3.67,1,0,0,0,,0,0.0%,,3,62,20.67,0,1,6,0.0,0,0
5,2008,2008-10-05,5,21.198,CAR,,KAN,W 34-0,,19,72,3.79,0,1,1,8,8.00,0,100.0%,8.00,1,19,19.00,0,0,0,0.0,0,0
6,2008,2008-10-12,6,21.205,CAR,@,TAM,L 3-27,,6,12,2.00,0,5,1,1,1.00,0,20.0%,0.20,1,20,20.00,0,0,0,0.0,1,0
7,2008,2008-10-19,7,21.212,CAR,,NOR,W 30-7,,17,68,4.00,1,1,1,3,3.00,0,100.0%,3.00,0,0,,0,1,6,0.0,0,0
8,2008,2008-10-26,8,21.219,CAR,,ARI,W 27-23,,8,10,1.25,0,1,1,0,0.00,0,100.0%,0.00,0,0,,0,0,0,0.0,0,0
9,2008,2008-11-09,9,21.233,CAR,@,OAK,W 17-6,,7,21,3.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0
10,2008,2008-11-16,10,21.240,CAR,,DET,W 31-22,,15,130,8.67,1,1,1,4,4.00,0,100.0%,4.00,0,0,,0,1,6,0.0,0,0
11,2008,2008-11-23,11,21.247,CAR,@,ATL,L 28-45,,5,15,3.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
12,2008,2008-11-30,12,21.254,CAR,@,GNB,W 35-31,,4,56,14.00,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,0.0,0,0
13,2008,2008-12-08,13,21.262,CAR,,TAM,W 38-23,,15,115,7.67,2,2,0,0,,0,0.0%,0.00,0,0,,0,2,12,0.0,1,0
14,2008,2008-12-14,14,21.268,CAR,,DEN,W 30-10,,16,52,3.25,1,0,0,0,,0,0.0%,,0,0,,0,1,6,0.0,1,0
15,2008,2008-12-21,15,21.275,CAR,@,NYG,L 28-34,,9,29,3.22,0,3,2,28,14.00,0,66.7%,9.33,0,0,,0,0,0,0.0,0,0
16,2008,2008-12-28,16,21.282,CAR,@,NOR,W 33-31,,17,56,3.29,1,1,0,0,,0,0.0%,0.00,0,0,,0,1,6,0.0,0,0
17,2009,2009-09-13,1,22.176,CAR,,PHI,L 10-38,,11,35,3.18,0,3,2,32,16.00,0,66.7%,10.67,0,0,,0,0,0,0.0,1,0
18,2009,2009-09-20,2,22.183,CAR,@,ATL,L 20-28,,9,65,7.22,0,3,3,14,4.67,0,100.0%,4.67,0,0,,0,0,0,0.0,0,0
19,2009,2009-09-28,3,22.191,CAR,@,DAL,L 7-21,,3,-1,-0.33,0,2,2,17,8.50,0,100.0%,8.50,0,0,,0,0,0,0.0,0,0
20,2009,2009-10-11,4,22.204,CAR,,WAS,W 20-17,,10,39,3.90,1,1,1,6,6.00,0,100.0%,6.00,2,17,8.50,0,1,6,0.0,0,0
21,2009,2009-10-18,5,22.211,CAR,@,TAM,W 28-21,,17,110,6.47,1,0,0,0,,0,0.0%,,0,0,,0,1,6,0.0,0,0
22,2009,2009-10-25,6,22.218,CAR,,BUF,L 9-20,,7,25,3.57,0,5,4,20,5.00,0,80.0%,4.00,0,0,,0,0,0,0.0,0,0
23,2009,2009-11-01,7,22.225,CAR,@,ARI,W 34-21,,17,87,5.12,2,0,0,0,,0,0.0%,,0,0,,0,2,12,0.0,0,0
24,2009,2009-11-08,8,22.232,CAR,@,NOR,L 20-30,,13,24,1.85,0,1,1,14,14.00,0,100.0%,14.00,0,0,,0,0,0,0.0,1,0
25,2009,2009-11-15,9,22.239,CAR,,ATL,W 28-19,,11,82,7.45,2,2,0,0,,0,0.0%,0.00,0,0,,0,2,12,0.0,0,0
26,2009,2009-11-19,10,22.243,CAR,,MIA,L 17-24,,12,43,3.58,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
27,2009,2009-11-29,11,22.253,CAR,@,NYJ,L 6-17,,9,35,3.89,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0
28,2009,2009-12-06,12,22.260,CAR,,TAM,W 16-6,*,26,120,4.62,1,1,1,6,6.00,0,100.0%,6.00,0,0,,0,1,6,0.0,0,0
29,2009,2009-12-13,13,22.267,CAR,@,NWE,L 10-20,,7,29,4.14,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0
30,2009,2009-12-20,14,22.274,CAR,,MIN,W 26-7,,25,109,4.36,1,3,2,14,7.00,1,66.7%,4.67,0,0,,0,2,12,0.0,0,0
