ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs
1,2017,2017-11-19,10,23.271,DEN,,CIN,L 17-20,
2,2017,2017-11-26,11,23.278,DEN,@,OAK,L 14-21,
3,2017,2017-12-03,12,23.285,DEN,@,MIA,L 9-35,
4,2017,2017-12-10,13,23.292,DEN,,NYJ,W 23-0,
5,2017,2017-12-14,14,23.296,DEN,@,IND,W 25-13,
6,2017,2017-12-24,15,23.306,DEN,@,WAS,L 11-27,
7,2017,2017-12-31,16,23.313,DEN,,KAN,L 24-27,
8,2018,2018-09-09,1,24.200,DEN,,SEA,W 27-24,
9,2018,2018-09-16,2,24.207,DEN,,OAK,W 20-19,
10,2018,2018-09-23,3,24.214,DEN,@,BAL,L 14-27,
