ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2012,2012-09-09,1,21.245,MIN,,JAX,W 26-23,,0,0,,0,0.0,4,0,0,0,0
2,2012,2012-09-16,2,21.252,MIN,@,IND,L 20-23,,0,0,,0,0.0,2,0,0,0,0
3,2012,2012-09-23,3,21.259,MIN,,SFO,W 24-13,,0,0,,0,0.0,2,1,1,24,0
4,2012,2012-09-30,4,21.266,MIN,@,DET,W 20-13,*,0,0,,0,0.0,7,0,0,0,0
5,2012,2012-10-07,5,21.273,MIN,,TEN,W 30-7,*,0,0,,0,0.0,6,0,0,0,0
6,2012,2012-10-14,6,21.280,MIN,@,WAS,L 26-38,,0,0,,0,0.0,3,0,0,0,0
7,2012,2012-10-21,7,21.287,MIN,,ARI,W 21-14,,0,0,,0,0.0,3,0,0,0,0
8,2012,2012-10-25,8,21.291,MIN,,TAM,L 17-36,,0,0,,0,0.0,1,1,0,0,0
9,2012,2012-11-04,9,21.301,MIN,@,SEA,L 20-30,*,0,0,,0,0.0,2,0,0,0,0
10,2012,2012-11-11,10,21.308,MIN,,DET,W 34-24,,0,0,,0,0.0,3,1,0,0,0
11,2012,2012-11-25,11,21.322,MIN,@,CHI,L 10-28,,1,14,14.00,0,0.0,2,0,0,0,0
12,2012,2012-12-02,12,21.329,MIN,@,GNB,L 14-23,*,0,0,,0,0.0,3,0,0,0,0
13,2012,2012-12-09,13,21.336,MIN,,CHI,W 21-14,*,0,0,,0,0.0,5,0,1,44,0
14,2012,2012-12-16,14,21.343,MIN,@,STL,W 36-22,*,0,0,,0,0.0,6,0,0,0,0
15,2012,2012-12-23,15,21.350,MIN,@,HOU,W 23-6,,,,,,,,,,,
16,2012,2012-12-30,16,21.357,MIN,,GNB,W 37-34,,2,47,23.50,0,0.0,0,0,0,0,0
17,2013,2013-09-08,1,22.243,MIN,@,DET,L 24-34,*,0,0,,0,0.0,5,0,0,0,0
18,2013,2013-09-15,2,22.250,MIN,@,CHI,L 30-31,*,0,0,,0,0.0,5,1,0,0,0
19,2013,2013-09-22,3,22.257,MIN,,CLE,L 27-31,*,0,0,,0,0.0,6,0,0,0,0
20,2013,2013-09-29,4,22.264,MIN,,PIT,W 34-27,*,0,0,,0,0.0,12,0,0,0,0
21,2013,2013-10-13,5,22.278,MIN,,CAR,L 10-35,*,0,0,,0,0.0,3,0,0,0,0
22,2013,2013-10-21,6,22.286,MIN,@,NYG,L 7-23,*,0,0,,0,0.0,4,2,0,0,0
23,2013,2013-10-27,7,22.292,MIN,,GNB,L 31-44,*,0,0,,0,0.0,5,2,0,0,0
24,2013,2013-11-03,8,22.299,MIN,@,DAL,L 23-27,*,0,0,,0,0.0,3,1,0,0,0
25,2013,2013-11-07,9,22.303,MIN,,WAS,W 34-27,*,0,0,,0,0.0,3,4,0,0,0
26,2013,2013-11-17,10,22.313,MIN,@,SEA,L 20-41,*,0,0,,0,0.0,1,0,0,0,0
27,2014,2014-09-07,1,23.242,MIN,@,STL,W 34-6,,0,0,,0,0.0,1,0,1,0,0
28,2014,2014-09-14,2,23.249,MIN,,NWE,L 7-30,,,,,,,,,,,
29,2014,2014-09-21,3,23.256,MIN,@,NOR,L 9-20,*,0,0,,0,0.0,5,1,0,0,0
30,2014,2014-09-28,4,23.263,MIN,,ATL,W 41-28,,0,0,,0,0.0,2,0,1,-1,0
31,2014,2014-10-02,5,23.267,MIN,@,GNB,L 10-42,*,,,,,,,,,,
32,2014,2014-10-12,6,23.277,MIN,,DET,L 3-17,,0,0,,0,0.0,1,0,0,0,0
33,2014,2014-10-19,7,23.284,MIN,@,BUF,L 16-17,,0,0,,0,0.0,4,0,0,0,0
