ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,tackles_solo,tackles_assists
1,2002,2002-12-01,12,23.085,SFO,,SEA,W 31-24,,,,
2,2002,2002-12-21,15,23.105,SFO,@,ARI,W 17-14,,1.0,,
3,2002,2002-12-30,16,23.114,SFO,@,STL,L 20-31,,,,
4,2004,2004-11-21,10,25.075,MIA,@,SEA,L 17-24,,,,
5,2004,2004-11-28,11,25.082,MIA,@,SFO,W 24-17,,,,
6,2004,2004-12-05,12,25.089,MIA,,BUF,L 32-42,,,,
7,2004,2004-12-20,14,25.104,MIA,,NWE,W 29-28,,,,
8,2004,2004-12-26,15,25.110,MIA,,CLE,W 10-7,,,,
9,2007,2007-11-04,8,28.058,OAK,,HOU,L 17-24,,,,
10,2008,2008-09-14,2,29.007,DEN,,SDG,W 39-38,,,,
11,2008,2008-09-21,3,29.014,DEN,,NOR,W 34-32,,,,
12,2008,2008-11-16,10,29.070,DEN,@,ATL,W 24-20,,,,
13,2008,2008-11-23,11,29.077,DEN,,OAK,L 10-31,,0.0,1,1
14,2008,2008-11-30,12,29.084,DEN,@,NYJ,W 34-17,,,,
