ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,1998,1998-12-13,14,24.191,NOR,,ATL,L 17-27,,,,,,,0.0%,
2,1998,1998-12-20,15,24.198,NOR,@,ARI,L 17-19,,,,,,,0.0%,
3,1998,1998-12-27,16,24.205,NOR,,BUF,L 33-45,,1,1,10,10.00,0,100.0%,10.00
4,1999,1999-09-12,1,25.099,NOR,,CAR,W 19-10,,,,,,,0.0%,
5,1999,1999-10-24,6,25.141,NOR,@,NYG,L 3-31,,2,2,30,15.00,0,100.0%,15.00
6,1999,1999-10-31,7,25.148,NOR,,CLE,L 16-21,*,1,,,,,0.0%,
7,1999,1999-11-07,8,25.155,NOR,,TAM,L 16-31,*,,,,,,0.0%,
8,1999,1999-11-14,9,25.162,NOR,,SFO,W 24-6,,,,,,,0.0%,
9,1999,1999-11-21,10,25.169,NOR,@,JAX,L 23-41,*,1,1,3,3.00,0,100.0%,3.00
10,1999,1999-12-24,15,25.202,NOR,,DAL,W 31-24,,3,3,28,9.33,0,100.0%,9.33
11,1999,2000-01-02,16,25.211,NOR,@,CAR,L 13-45,*,0,,,,,0.0%,
