ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,tackles_solo,tackles_assists
1,2012,2012-09-09,1,27.051,IND,@,CHI,L 21-41,,0.0,0,0
2,2012,2012-09-16,2,27.058,IND,,MIN,W 23-20,,,,
3,2012,2012-09-23,3,27.065,IND,,JAX,L 17-22,,0.0,1,1
4,2012,2012-10-07,4,27.079,IND,,GNB,W 30-27,,0.0,1,0
5,2012,2012-10-14,5,27.086,IND,@,NYJ,L 9-35,,0.0,1,1
6,2012,2012-10-21,6,27.093,IND,,CLE,W 17-13,,0.0,1,0
7,2012,2012-10-28,7,27.100,IND,@,TEN,W 19-13,,0.0,0,1
8,2012,2012-11-04,8,27.107,IND,,MIA,W 23-20,,0.0,0,1
9,2012,2012-11-08,9,27.111,IND,@,JAX,W 27-10,,,,
10,2012,2012-11-18,10,27.121,IND,@,NWE,L 24-59,,0.0,0,1
11,2012,2012-11-25,11,27.128,IND,,BUF,W 20-13,,,,
12,2012,2012-12-02,12,27.135,IND,@,DET,W 35-33,,0.0,1,0
