ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,tackles_solo,tackles_assists
1,2016,2016-09-11,1,22.118,PHI,,CLE,W 29-10,,0.0,1,0
2,2016,2016-09-19,2,22.126,PHI,@,CHI,W 29-14,,0.0,0,0
3,2016,2016-09-25,3,22.132,PHI,,PIT,W 34-3,,0.0,0,0
4,2016,2016-10-09,4,22.146,PHI,@,DET,L 23-24,,0.0,0,0
5,2016,2016-10-16,5,22.153,PHI,@,WAS,L 20-27,,0.0,0,0
6,2016,2016-10-23,6,22.160,PHI,,MIN,W 21-10,,0.0,0,0
7,2016,2016-11-20,10,22.188,PHI,@,SEA,L 15-26,,0.0,0,0
8,2016,2016-11-28,11,22.196,PHI,,GNB,L 13-27,,0.0,0,0
9,2016,2016-12-04,12,22.202,PHI,@,CIN,L 14-32,,0.0,0,0
10,2016,2016-12-18,14,22.216,PHI,@,BAL,L 26-27,,0.0,0,0
11,2016,2016-12-22,15,22.220,PHI,,NYG,W 24-19,,0.0,0,0
12,2016,2017-01-01,16,22.230,PHI,,DAL,W 27-13,,0.0,0,0
13,2017,2017-09-10,1,23.117,PHI,@,WAS,W 30-17,,0.0,0,0
14,2017,2017-09-17,2,23.124,PHI,@,KAN,L 20-27,,0.0,0,0
15,2017,2017-09-24,3,23.131,PHI,,NYG,W 27-24,,0.0,0,0
16,2017,2017-10-01,4,23.138,PHI,@,LAC,W 26-24,,0.0,0,0
17,2017,2017-10-08,5,23.145,PHI,,ARI,W 34-7,,0.0,1,0
18,2017,2017-10-12,6,23.149,PHI,@,CAR,W 28-23,,0.0,0,0
19,2017,2017-10-23,7,23.160,PHI,,WAS,W 34-24,,0.0,0,0
20,2017,2017-10-29,8,23.166,PHI,,SFO,W 33-10,,0.0,0,0
21,2017,2017-11-05,9,23.173,PHI,,DEN,W 51-23,,0.0,1,0
22,2017,2017-11-19,10,23.187,PHI,@,DAL,W 37-9,,0.0,0,0
23,2017,2017-11-26,11,23.194,PHI,,CHI,W 31-3,,0.0,2,0
24,2017,2017-12-03,12,23.201,PHI,@,SEA,L 10-24,,0.0,0,0
25,2017,2017-12-10,13,23.208,PHI,@,LAR,W 43-35,,0.0,0,0
26,2017,2017-12-17,14,23.215,PHI,@,NYG,W 34-29,,0.0,1,0
27,2017,2017-12-25,15,23.223,PHI,,OAK,W 19-10,,0.0,0,0
28,2017,2017-12-31,16,23.229,PHI,,DAL,L 0-6,,0.0,3,1
29,2018,2018-09-06,1,24.113,PHI,,ATL,W 18-12,,0.0,2,1
30,2018,2018-09-16,2,24.123,PHI,@,TAM,L 21-27,*,0.0,1,1
31,2018,2018-09-23,3,24.130,PHI,,IND,W 20-16,*,0.0,0,0
