ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1989,1989-09-17,2,23.181,ATL,,DAL,W 27-21,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,0,,,,4,69,17.25,0,0,0
2,1989,1989-09-24,3,23.188,ATL,@,IND,L 9-13,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,0,,,,1,43,43.00,0,0,0
3,1989,1989-10-01,4,23.195,ATL,@,GNB,L 21-23,1,5,5.00,0,,2,26,13.00,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0
4,1989,1989-10-08,5,23.202,ATL,@,RAM,L 14-26,3,7,2.33,1,,4,61,15.25,0,,,0,0,,0,0,0,,0,,,,3,46,15.33,0,1,6
5,1989,1989-10-15,6,23.209,ATL,,NWE,W 16-15,4,6,1.50,1,,3,66,22.00,0,,,0,0,,0,0,0,,0,,,,3,77,25.67,0,1,6
6,1989,1989-10-22,7,23.216,ATL,@,PHO,L 20-34,5,22,4.40,1,,8,57,7.13,0,,,0,0,,0,0,0,,0,,,,1,22,22.00,0,1,6
7,1989,1989-10-29,8,23.223,ATL,@,NOR,L 13-20,6,23,3.83,0,,2,9,4.50,0,,,0,0,,0,0,0,,0,,,,0,0,,0,0,0
8,1989,1989-11-05,9,23.230,ATL,,BUF,W 30-28,11,32,2.91,2,,3,50,16.67,0,,,0,0,,0,0,0,,0,,,,1,23,23.00,0,2,12
9,1989,1989-11-12,10,23.237,ATL,@,SFO,L 3-45,4,12,3.00,0,,2,6,3.00,0,,,0,0,,0,0,0,,0,,,,2,31,15.50,0,0,0
10,1989,1989-11-26,12,23.251,ATL,@,NYJ,L 7-27,2,15,7.50,0,,1,1,1.00,0,,,0,0,,0,0,0,,0,,,,2,40,20.00,0,0,0
