ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1997,1997-08-31,1,23.038,NOR,@,STL,L 24-38,,,,,,,
2,1997,1997-09-07,2,23.045,NOR,,SDG,L 6-20,,,,,,,
3,1997,1997-09-14,3,23.052,NOR,@,SFO,L 7-33,,0,0,1.0,0,0,0
4,1997,1997-09-21,4,23.059,NOR,,DET,W 35-17,,,,,,,
5,1997,1997-09-28,5,23.066,NOR,@,NYG,L 9-14,,,,,,,
6,1997,1997-10-05,6,23.073,NOR,@,CHI,W 20-17,,0,0,1.0,0,0,0
7,1997,1997-10-12,7,23.080,NOR,,ATL,L 17-23,,0,0,1.0,0,0,0
8,1997,1997-10-19,8,23.087,NOR,,CAR,L 0-13,,,,,,,
9,1997,1997-10-26,9,23.094,NOR,,SFO,L 0-23,,,,,,,
10,1997,1997-11-09,10,23.108,NOR,@,OAK,W 13-10,,,,,,,
11,1997,1997-11-16,11,23.115,NOR,,SEA,W 20-17,,,,,,,
12,1997,1997-11-23,12,23.122,NOR,@,ATL,L 3-20,,,,,,,
13,1997,1997-11-30,13,23.129,NOR,@,CAR,W 16-13,,,,,,,
14,1997,1997-12-07,14,23.136,NOR,,STL,L 27-34,,0,0,1.0,0,0,0
15,1997,1997-12-14,15,23.143,NOR,,ARI,W 27-10,,,,,,,
16,1997,1997-12-21,16,23.150,NOR,@,KAN,L 13-25,,,,,,,
17,1998,1998-09-06,1,24.044,NOR,@,STL,W 24-17,,,,,,,
18,1998,1998-09-13,2,24.051,NOR,,CAR,W 19-14,,,,,,,
19,1998,1998-09-27,3,24.065,NOR,@,IND,W 19-13,,,,,,,
20,1998,1998-10-04,4,24.072,NOR,,NWE,L 27-30,,,,,,,
21,1998,1998-10-11,5,24.079,NOR,,SFO,L 0-31,,,,,,,
22,1998,1998-10-18,6,24.086,NOR,@,ATL,L 23-31,,0,0,0.5,0,0,0
23,1998,1998-10-25,7,24.093,NOR,,TAM,W 9-3,,,,,,,
24,1998,1998-11-01,8,24.100,NOR,@,CAR,L 17-31,,,,,,,
25,1998,1998-11-08,9,24.107,NOR,@,MIN,L 24-31,,,,,,,
26,1998,1998-11-15,10,24.114,NOR,,STL,W 24-3,,,,,,,
27,1998,1998-11-22,11,24.121,NOR,@,SFO,L 20-31,,,,,,,
28,1998,1998-11-29,12,24.128,NOR,@,MIA,L 10-30,,,,,,,
29,1998,1998-12-06,13,24.135,NOR,,DAL,W 22-3,,,,,,,
30,1998,1998-12-13,14,24.142,NOR,,ATL,L 17-27,,0,0,1.0,0,0,0
31,1998,1998-12-20,15,24.149,NOR,@,ARI,L 17-19,,,,,,,
32,1998,1998-12-27,16,24.156,NOR,,BUF,L 33-45,,0,0,1.0,0,0,0
33,1999,1999-09-12,1,25.050,NOR,,CAR,W 19-10,*,0,0,0.0,1,18,0
