ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2004,2004-09-19,2,24.183,DET,,HOU,W 28-16,,0,0,0.0,,,1,2,0
2,2004,2004-09-26,3,24.190,DET,,PHI,L 13-30,,,,,,,,,
3,2004,2004-10-10,4,24.204,DET,@,ATL,W 17-10,,,,,,,,,
4,2004,2004-10-17,5,24.211,DET,,GNB,L 10-38,,,,,,,,,
5,2004,2004-10-24,6,24.218,DET,@,NYG,W 28-13,,,,,,,,,
6,2004,2004-10-31,7,24.225,DET,@,DAL,L 21-31,,,,,,,,,
7,2004,2004-11-07,8,24.232,DET,,WAS,L 10-17,,,,,,,,,
8,2004,2004-11-14,9,24.239,DET,@,JAX,L 17-23,,,,,,,,,
9,2004,2004-11-21,10,24.246,DET,@,MIN,L 19-22,,,,,,,,,
10,2004,2004-11-25,11,24.250,DET,,IND,L 9-41,,,,,,,,,
11,2004,2004-12-05,12,24.260,DET,,ARI,W 26-12,*,,,,,,,,
12,2004,2004-12-12,13,24.267,DET,@,GNB,L 13-16,,,,,,,,,
13,2004,2004-12-19,14,24.274,DET,,MIN,L 27-28,*,,,,,,,,
14,2004,2004-12-26,15,24.281,DET,,CHI,W 19-13,,,,,,,,,
15,2004,2005-01-02,16,24.288,DET,@,TEN,L 19-24,,,,,,,,,
16,2005,2005-09-18,2,25.182,DET,@,CHI,L 6-38,,,,,,,,,
17,2005,2005-10-02,3,25.196,DET,@,TAM,L 13-17,,,,,,,,,
18,2005,2005-10-09,4,25.203,DET,,BAL,W 35-17,,,,,,,,,
19,2005,2005-10-16,5,25.210,DET,,CAR,L 20-21,,,,,,,,,
20,2005,2005-10-23,6,25.217,DET,@,CLE,W 13-10,,,,,,,,,
21,2005,2005-10-30,7,25.224,DET,,CHI,L 13-19,,,,,,,,,
22,2005,2005-11-06,8,25.231,DET,@,MIN,L 14-27,*,0,0,1.0,,,0,0,0
23,2005,2005-11-13,9,25.238,DET,,ARI,W 29-21,*,,,,,,,,
24,2005,2005-11-20,10,25.245,DET,@,DAL,L 7-20,,,,,,,,,
