ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2002,2002-09-08,1,24.179,WAS,,ARI,W 31-23,,1,5,5.00,0,4,3,22,7.33,0,75.0%,5.50,2,50,25.00,0,0,0,0.0,,
2,2002,2002-09-16,2,24.187,WAS,,PHI,L 7-37,,3,16,5.33,0,5,2,5,2.50,0,40.0%,1.00,3,72,24.00,0,0,0,0.0,,
3,2002,2002-09-22,3,24.193,WAS,@,SFO,L 10-20,,,,,,0,,,,,0.0%,,,,,,,,,,
4,2002,2002-10-06,4,24.207,WAS,@,TEN,W 31-14,,8,62,7.75,0,3,2,12,6.00,0,66.7%,4.00,0,0,,0,0,0,0.0,,
5,2002,2002-10-13,5,24.214,WAS,,NOR,L 27-43,,0,0,,0,5,4,74,18.50,1,80.0%,14.80,1,11,11.00,0,1,6,0.0,,
6,2002,2002-10-20,6,24.221,WAS,@,GNB,L 9-30,,2,1,0.50,0,0,0,0,,0,0.0%,,3,52,17.33,0,0,0,0.0,,
7,2002,2002-10-27,7,24.228,WAS,,IND,W 26-21,,15,67,4.47,0,0,0,0,,0,0.0%,,1,19,19.00,0,0,0,0.0,,
8,2002,2002-11-03,8,24.235,WAS,@,SEA,W 14-3,*,23,110,4.78,0,4,4,42,10.50,0,100.0%,10.50,0,0,,0,0,0,0.0,,
9,2002,2002-11-10,9,24.242,WAS,@,JAX,L 7-26,*,14,52,3.71,0,6,5,28,5.60,0,83.3%,4.67,0,0,,0,0,0,0.0,,
10,2002,2002-11-17,10,24.249,WAS,@,NYG,L 17-19,,1,-1,-1.00,0,3,2,17,8.50,0,66.7%,5.67,2,40,20.00,0,0,0,0.0,,
11,2002,2002-11-24,11,24.256,WAS,,STL,W 20-17,,5,29,5.80,0,2,2,12,6.00,0,100.0%,6.00,2,51,25.50,0,0,0,0.0,,
12,2002,2002-11-28,12,24.260,WAS,@,DAL,L 20-27,,1,4,4.00,0,4,2,14,7.00,0,50.0%,3.50,2,49,24.50,0,0,0,0.0,,
13,2002,2002-12-08,13,24.270,WAS,,NYG,L 21-27,,2,12,6.00,0,2,2,19,9.50,0,100.0%,9.50,3,62,20.67,0,0,0,0.0,,
14,2002,2002-12-15,14,24.277,WAS,@,PHI,L 21-34,,4,9,2.25,0,2,2,1,0.50,0,100.0%,0.50,4,90,22.50,0,0,0,0.0,,
15,2002,2002-12-22,15,24.284,WAS,,HOU,W 26-10,*,20,110,5.50,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,0.0,,
16,2002,2002-12-29,16,24.291,WAS,,DAL,W 20-14,*,17,58,3.41,1,2,1,5,5.00,0,50.0%,2.50,0,0,,0,1,6,0.0,,
17,2003,2003-10-05,5,25.206,CIN,@,BUF,L 16-22,,0,0,,0,0,0,0,,0,0.0%,,1,6,6.00,0,0,0,0.0,,
18,2003,2003-10-19,6,25.220,CIN,,BAL,W 34-26,,0,0,,0,0,0,0,,0,0.0%,,2,34,17.00,0,0,0,0.0,,
19,2003,2003-10-26,7,25.227,CIN,,SEA,W 27-24,,,,,,,,,,,0.0%,,,,,,,,,,
20,2003,2003-11-02,8,25.234,CIN,@,ARI,L 14-17,,0,0,,0,0,0,0,,0,0.0%,,2,27,13.50,0,0,0,0.0,,
21,2003,2003-11-09,9,25.241,CIN,,HOU,W 34-27,,,,,,0,,,,,0.0%,,,,,,,,,,
22,2003,2003-11-16,10,25.248,CIN,,KAN,W 24-19,,,,,,,,,,,0.0%,,,,,,,,,,
