ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,tackles_solo,tackles_assists
1,2011,2011-10-17,6,23.311,NYJ,,MIA,W 24-6,,0.0,2,1
2,2011,2011-10-23,7,23.317,NYJ,,SDG,W 27-21,*,0.0,0,1
3,2011,2011-11-17,10,23.342,NYJ,@,DEN,L 13-17,,0.0,1,0
4,2011,2011-12-04,12,23.359,NYJ,@,WAS,W 34-19,*,,,
5,2011,2012-01-01,16,24.022,NYJ,@,MIA,L 17-19,,0.0,2,0
6,2012,2012-09-09,1,24.274,NYJ,,BUF,W 48-28,*,0.0,1,0
7,2012,2012-09-16,2,24.281,NYJ,@,PIT,L 10-27,,0.0,0,2
8,2012,2012-09-23,3,24.288,NYJ,@,MIA,W 23-20,,0.0,1,0
9,2012,2012-09-30,4,24.295,NYJ,,SFO,L 0-34,,0.0,1,3
10,2012,2012-10-08,5,24.303,NYJ,,HOU,L 17-23,*,0.0,4,2
11,2012,2012-11-18,10,24.344,NYJ,@,STL,W 27-13,,0.0,1,0
12,2012,2012-11-22,11,24.348,NYJ,,NWE,L 19-49,,,,
13,2012,2012-12-02,12,24.358,NYJ,,ARI,W 7-6,,,,
14,2012,2012-12-09,13,24.365,NYJ,@,JAX,W 17-10,,0.0,1,0
15,2012,2012-12-17,14,25.007,NYJ,@,TEN,L 10-14,,,,
16,2012,2012-12-23,15,25.013,NYJ,,SDG,L 17-27,,,,
17,2012,2012-12-30,16,25.020,NYJ,@,BUF,L 9-28,,0.0,2,1
18,2013,2013-09-08,1,25.272,NYJ,,TAM,W 18-17,,0.0,1,1
19,2013,2013-09-12,2,25.276,NYJ,@,NWE,L 10-13,,0.0,1,0
20,2013,2013-09-22,3,25.286,NYJ,,BUF,W 27-20,,,,
21,2013,2013-09-29,4,25.293,NYJ,@,TEN,L 13-38,,0.0,1,1
22,2013,2013-10-07,5,25.301,NYJ,@,ATL,W 30-28,,0.0,1,0
23,2013,2013-10-13,6,25.307,NYJ,,PIT,L 6-19,*,0.0,1,1
24,2013,2013-10-20,7,25.314,NYJ,,NWE,W 30-27,,,,
25,2013,2013-10-27,8,25.321,NYJ,@,CIN,L 9-49,,0.0,0,1
26,2013,2013-11-03,9,25.328,NYJ,,NOR,W 26-20,,0.0,0,1
27,2013,2013-11-17,10,25.342,NYJ,@,BUF,L 14-37,,0.0,2,0
28,2013,2013-11-24,11,25.349,NYJ,@,BAL,L 3-19,,,,
29,2013,2013-12-01,12,25.356,NYJ,,MIA,L 3-23,,0.0,1,0
30,2013,2013-12-08,13,25.363,NYJ,,OAK,W 37-27,,0.0,1,0
31,2013,2013-12-15,14,26.005,NYJ,@,CAR,L 20-30,,,,
32,2013,2013-12-22,15,26.012,NYJ,,CLE,W 24-13,,0.0,1,0
33,2013,2013-12-29,16,26.019,NYJ,@,MIA,W 20-7,,0.0,1,0
34,2014,2014-09-07,1,26.271,NYJ,,OAK,W 19-14,,0.0,0,1
35,2014,2014-09-14,2,26.278,NYJ,@,GNB,L 24-31,,,,
36,2014,2014-09-22,3,26.286,NYJ,,CHI,L 19-27,,0.0,0,1
37,2014,2014-10-12,6,26.306,NYJ,,DEN,L 17-31,,,,
38,2014,2014-10-16,7,26.310,NYJ,@,NWE,L 25-27,,0.0,0,1
39,2014,2014-10-26,8,26.320,NYJ,,BUF,L 23-43,,,,
40,2014,2014-11-02,9,26.327,NYJ,@,KAN,L 10-24,,0.0,2,0
41,2014,2014-11-09,10,26.334,NYJ,,PIT,W 20-13,,0.0,0,1
42,2014,2014-11-24,11,26.349,NYJ,@,BUF,L 3-38,,0.0,0,1
43,2014,2014-12-01,12,26.356,NYJ,,MIA,L 13-16,,1.0,1,1
44,2014,2014-12-07,13,26.362,NYJ,@,MIN,L 24-30,,0.0,0,1
45,2014,2014-12-14,14,27.004,NYJ,@,TEN,W 16-11,,0.0,1,0
46,2014,2014-12-21,15,27.011,NYJ,,NWE,L 16-17,,0.0,0,1
47,2014,2014-12-28,16,27.018,NYJ,@,MIA,W 37-24,,,,
48,2015,2015-10-25,6,27.319,MIN,@,DET,W 28-19,,0.0,0,0
49,2015,2015-11-01,7,27.326,MIN,@,CHI,W 23-20,,0.0,0,0
50,2015,2015-11-08,8,27.333,MIN,,STL,W 21-18,,0.0,0,0
51,2015,2015-11-29,11,27.354,MIN,@,ATL,W 20-10,,0.0,0,0
52,2015,2015-12-06,12,27.361,MIN,,SEA,L 7-38,,0.0,0,0
53,2015,2015-12-10,13,28.000,MIN,@,ARI,L 20-23,,0.0,2,0
54,2015,2015-12-20,14,28.010,MIN,,CHI,W 38-17,,0.0,0,0
55,2015,2015-12-27,15,28.017,MIN,,NYG,W 49-17,,0.0,0,0
56,2015,2016-01-03,16,28.024,MIN,@,GNB,W 20-13,,0.0,1,2
