ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring
1,2016,2016-09-11,1,22.229,MIA,@,SEA,L 10-12,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0
2,2016,2016-09-18,2,22.236,MIA,@,NWE,L 24-31,,2,12,6.00,1,2,2,6,3.00,0,100.0%,3.00,1,15,15.00,0,,1,6
3,2016,2016-09-25,3,22.243,MIA,,CLE,W 30-24,*,9,37,4.11,0,2,2,11,5.50,0,100.0%,5.50,0,0,,0,,0,0
4,2016,2016-09-29,4,22.247,MIA,@,CIN,L 7-22,,2,15,7.50,0,0,0,0,,0,0.0%,,1,17,17.00,0,,0,0
5,2016,2016-10-09,5,22.257,MIA,,TEN,L 17-30,,2,4,2.00,0,3,2,16,8.00,0,66.7%,5.33,0,0,,0,,0,0
6,2016,2016-10-16,6,22.264,MIA,,PIT,W 30-15,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0
7,2016,2016-10-23,7,22.271,MIA,,BUF,W 28-25,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0
8,2016,2016-11-06,8,22.285,MIA,,NYJ,W 27-23,,0,0,,0,1,1,6,6.00,0,100.0%,6.00,2,123,61.50,1,,1,6
9,2016,2016-11-13,9,22.292,MIA,@,SDG,W 31-24,,1,9,9.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0
10,2016,2016-11-20,10,22.299,MIA,@,LAR,W 14-10,,1,2,2.00,0,0,0,0,,0,0.0%,,1,18,18.00,0,,0,0
11,2016,2016-11-27,11,22.306,MIA,,SFO,W 31-24,,1,9,9.00,0,0,0,0,,0,0.0%,,3,99,33.00,0,,0,0
12,2016,2016-12-04,12,22.313,MIA,@,BAL,L 6-38,,1,1,1.00,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,,0,0
13,2016,2016-12-11,13,22.320,MIA,,ARI,W 26-23,,1,8,8.00,0,1,1,3,3.00,0,100.0%,3.00,2,44,22.00,0,,0,0
14,2016,2016-12-17,14,22.326,MIA,@,NYJ,W 34-13,,5,16,3.20,0,0,0,0,,0,0.0%,,1,21,21.00,0,,0,0
15,2016,2016-12-24,15,22.333,MIA,@,BUF,W 34-31,,4,56,14.00,1,0,0,0,,0,0.0%,,1,39,39.00,0,,1,6
16,2016,2017-01-01,16,22.341,MIA,,NWE,L 14-35,,4,10,2.50,0,0,0,0,,0,0.0%,,1,21,21.00,0,,0,0
17,2017,2017-09-17,1,23.234,MIA,@,LAC,W 19-17,,1,-3,-3.00,0,0,0,0,,0,0.0%,,3,71,23.67,0,,0,0
18,2017,2017-09-24,2,23.241,MIA,@,NYJ,L 6-20,,1,0,0.00,0,2,1,2,2.00,0,50.0%,1.00,0,0,,0,,0,0
19,2017,2017-10-01,3,23.248,MIA,,NOR,L 0-20,,1,6,6.00,0,3,2,5,2.50,0,66.7%,1.67,0,0,,0,,0,0
20,2017,2017-10-08,4,23.255,MIA,,TEN,W 16-10,,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0
21,2017,2017-10-15,5,23.262,MIA,@,ATL,W 20-17,,0,0,,0,0,0,0,,0,0.0%,,2,35,17.50,0,,0,0
22,2017,2017-10-22,6,23.269,MIA,,NYJ,W 31-28,,0,0,,0,0,0,0,,0,0.0%,,1,26,26.00,0,,0,0
23,2017,2017-10-26,7,23.273,MIA,@,BAL,L 0-40,,6,22,3.67,0,1,0,0,,0,0.0%,0.00,1,15,15.00,0,,0,0
24,2017,2017-11-05,8,23.283,MIA,,OAK,L 24-27,,9,69,7.67,0,6,6,35,5.83,0,100.0%,5.83,0,0,,0,1,0,2
25,2017,2017-11-13,9,23.291,MIA,@,CAR,L 21-45,,7,82,11.71,1,2,2,10,5.00,0,100.0%,5.00,0,0,,0,,1,6
26,2017,2017-11-19,10,23.297,MIA,,TAM,L 20-30,,7,4,0.57,0,2,1,10,10.00,0,50.0%,5.00,0,0,,0,,0,0
27,2017,2017-11-26,11,23.304,MIA,@,NWE,L 17-35,*,9,20,2.22,0,4,3,27,9.00,1,75.0%,6.75,0,0,,0,,1,6
28,2017,2017-12-03,12,23.311,MIA,,DEN,W 35-9,*,23,120,5.22,1,5,3,21,7.00,0,60.0%,4.20,0,0,,0,,1,6
29,2017,2017-12-11,13,23.319,MIA,,NWE,W 27-20,*,25,114,4.56,0,6,5,79,15.80,0,83.3%,13.17,0,0,,0,,0,0
30,2017,2017-12-17,14,23.325,MIA,@,BUF,L 16-24,*,16,78,4.88,1,11,6,35,5.83,0,54.5%,3.18,0,0,,0,,1,6
31,2017,2017-12-24,15,23.332,MIA,@,KAN,L 13-29,*,13,57,4.38,0,3,0,0,,0,0.0%,0.00,0,0,,0,,0,0
32,2017,2017-12-31,16,23.339,MIA,,BUF,L 16-22,*,14,75,5.36,0,3,3,15,5.00,0,100.0%,5.00,0,0,,0,,0,0
33,2018,2018-09-09,1,24.226,MIA,,TEN,W 27-20,*,14,48,3.43,0,4,3,18,6.00,0,75.0%,4.50,0,0,,0,,0,0
34,2018,2018-09-16,2,24.233,MIA,@,NYJ,W 20-12,*,11,53,4.82,1,4,4,17,4.25,0,100.0%,4.25,0,0,,0,,1,6
35,2018,2018-09-23,3,24.240,MIA,,OAK,W 28-20,*,5,3,0.60,0,4,2,7,3.50,0,50.0%,1.75,0,0,,0,,0,0
