ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1997,1997-08-31,1,23.189,BAL,,JAX,L 27-28,0,0,,0,,,,,,
2,1997,1997-09-07,2,23.196,BAL,,CIN,W 23-10,0,0,,0,,,,,,
3,1997,1997-09-14,3,23.203,BAL,@,NYG,W 24-23,0,0,,0,,,,,,
4,1997,1997-09-21,4,23.210,BAL,@,TEN,W 36-10,0,0,,0,,,,,,
5,1997,1997-10-05,6,23.224,BAL,,PIT,L 34-42,0,0,,0,,,,,,
6,1997,1997-10-19,7,23.238,BAL,,MIA,L 13-24,0,0,,0,,,,,,
7,1997,1997-10-26,8,23.245,BAL,@,WAS,W 20-17,0,0,,0,,,,,,
8,1997,1997-11-02,9,23.252,BAL,@,NYJ,L 16-19,0,0,,0,,,,,,
9,1997,1997-11-09,10,23.259,BAL,@,PIT,L 0-37,0,0,,0,,,,,,
10,1997,1997-11-16,11,23.266,BAL,,PHI,T 10-10,0,0,,0,,,,,,
11,1997,1997-11-23,12,23.273,BAL,,ARI,L 13-16,0,0,,0,,,,,,
12,1997,1997-11-30,13,23.280,BAL,@,JAX,L 27-29,1,1,1.00,1,0,0,,0,1,6
13,1997,1997-12-07,14,23.287,BAL,,SEA,W 31-24,0,0,,0,,,,,,
14,1997,1997-12-14,15,23.294,BAL,,TEN,W 21-19,1,1,1.00,0,0,0,,0,0,0
15,1997,1997-12-21,16,23.301,BAL,@,CIN,L 14-16,0,0,,0,,,,,,
16,1998,1998-09-06,1,24.195,BAL,,PIT,L 13-20,,,,,,,,,,
17,1998,1998-09-13,2,24.202,BAL,@,NYJ,W 24-10,,,,,,,,,,
18,1998,1998-09-20,3,24.209,BAL,@,JAX,L 10-24,,,,,,,,,,
19,1998,1998-09-27,4,24.216,BAL,,CIN,W 31-24,0,0,,0,1,15,15.00,0,0,0
20,1998,1998-10-11,5,24.230,BAL,,TEN,L 8-12,,,,,,,,,,
21,1998,1998-10-18,6,24.237,BAL,@,PIT,L 6-16,,,,,,,,,,
22,1998,1998-10-25,7,24.244,BAL,@,GNB,L 10-28,1,1,1.00,0,1,18,18.00,0,0,0
23,1998,1998-11-01,8,24.251,BAL,,JAX,L 19-45,1,7,7.00,0,0,0,,0,0,0
24,1998,1998-11-08,9,24.258,BAL,,OAK,W 13-10,,,,,,,,,,
25,1998,1998-11-15,10,24.265,BAL,@,SDG,L 13-14,,,,,,,,,,
26,1998,1998-11-22,11,24.272,BAL,@,CIN,W 20-13,,,,,,,,,,
27,1998,1998-12-13,14,24.293,BAL,,MIN,L 28-38,,,,,,,,,,
