ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs
1,1998,1998-09-06,1,23.145,DET,@,GNB,L 19-38,
2,1998,1998-09-13,2,23.152,DET,,CIN,L 28-34,
3,1998,1998-09-20,3,23.159,DET,@,MIN,L 6-29,
4,1998,1998-09-28,4,23.167,DET,,TAM,W 27-6,
5,1998,1998-10-04,5,23.173,DET,@,CHI,L 27-31,
6,1998,1998-10-15,6,23.184,DET,,GNB,W 27-20,
7,1998,1998-11-22,11,23.222,DET,@,TAM,W 28-25,
8,1998,1998-12-06,13,23.236,DET,@,JAX,L 22-37,
9,1998,1998-12-14,14,23.244,DET,@,SFO,L 13-35,
10,1998,1998-12-20,15,23.250,DET,,ATL,L 17-24,
11,1999,1999-11-21,10,24.221,DET,@,GNB,L 17-26,
12,1999,1999-11-25,11,24.225,DET,,CHI,W 21-17,
13,1999,1999-12-12,13,24.242,DET,@,TAM,L 16-23,
14,1999,1999-12-25,15,24.255,DET,,DEN,L 7-17,
15,2000,2000-09-10,2,25.149,DET,,WAS,W 15-10,
16,2000,2000-09-17,3,25.156,DET,,TAM,L 10-31,
17,2000,2000-09-24,4,25.163,DET,@,CHI,W 21-14,
18,2000,2000-11-05,9,25.205,DET,,MIA,L 8-23,
19,2000,2000-11-12,10,25.212,DET,,ATL,W 13-10,
20,2000,2000-11-19,11,25.219,DET,@,NYG,W 31-21,
21,2000,2000-11-23,12,25.223,DET,,NWE,W 34-9,
22,2000,2000-11-30,13,25.230,DET,@,MIN,L 17-24,
23,2000,2000-12-10,14,25.240,DET,@,GNB,L 13-26,
24,2000,2000-12-17,15,25.247,DET,@,NYJ,W 10-7,
25,2000,2000-12-24,16,25.254,DET,,CHI,L 20-23,
