ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1984,1984-09-02,1,22.230,KAN,@,PIT,W 37-27,,,,,,,,,,
2,1984,1984-09-09,2,22.237,KAN,@,CIN,W 27-22,,,,,,,,,,
3,1984,1984-09-16,3,22.244,KAN,,RAI,L 20-22,0,0,,0,1,6,0.0,1,71,1
4,1984,1984-09-23,4,22.251,KAN,@,DEN,L 0-21,,,,,,,,,,
5,1984,1984-09-30,5,22.258,KAN,,CLE,W 10-6,0,0,,0,0,0,0.0,1,1,0
6,1984,1984-10-07,6,22.265,KAN,,NYJ,L 16-17,0,0,,0,0,0,0.0,1,0,0
7,1984,1984-10-14,7,22.272,KAN,,SDG,W 31-13,,,,,,,,,,
8,1984,1984-10-21,8,22.279,KAN,@,NYJ,L 7-28,,,,,,,,,,
9,1984,1984-10-28,9,22.286,KAN,,TAM,W 24-20,0,0,,0,0,0,0.0,1,21,0
10,1984,1984-11-04,10,22.293,KAN,@,SEA,L 0-45,,,,,,,,,,
11,1984,1984-11-11,11,22.300,KAN,,HOU,L 16-17,,,,,,,,,,
12,1984,1984-11-18,12,22.307,KAN,@,RAI,L 7-17,,,,,,,,,,
13,1984,1984-11-25,13,22.314,KAN,@,NYG,L 27-28,0,0,,0,0,0,0.0,1,31,0
14,1984,1984-12-02,14,22.321,KAN,,DEN,W 16-13,,,,,,,,,,
15,1984,1984-12-09,15,22.328,KAN,,SEA,W 34-7,0,0,,0,0,0,0.0,1,0,0
16,1984,1984-12-16,16,22.335,KAN,@,SDG,W 42-21,,,,,,,,,,
17,1985,1985-09-08,1,23.235,KAN,@,NOR,W 47-27,0,0,,0,0,0,0.0,2,47,0
18,1985,1985-09-12,2,23.239,KAN,,RAI,W 36-20,,,,,,,,,,
19,1985,1985-09-22,3,23.249,KAN,@,MIA,L 0-31,0,0,,0,0,0,0.0,1,0,0
20,1985,1985-09-29,4,23.256,KAN,,SEA,W 28-7,,,,,,,,,,
21,1985,1985-10-06,5,23.263,KAN,@,RAI,L 10-19,,,,,,,,,,
22,1985,1985-10-13,6,23.270,KAN,@,SDG,L 20-31,,,,,,,,,,
23,1985,1985-10-20,7,23.277,KAN,,RAM,L 0-16,,,,,,,,,,
24,1985,1985-10-27,8,23.284,KAN,,DEN,L 10-30,,,,,,,,,,
25,1985,1985-11-03,9,23.291,KAN,@,HOU,L 20-23,,,,,,,,,,
26,1985,1985-11-10,10,23.298,KAN,,PIT,L 28-36,,,,,,,,,,
27,1985,1985-11-17,11,23.305,KAN,@,SFO,L 3-31,,,,,,,,,,
28,1985,1985-11-24,12,23.312,KAN,,IND,W 20-7,,,,,,,,,,
29,1985,1985-12-01,13,23.319,KAN,@,SEA,L 6-24,,,,,,,,,,
30,1985,1985-12-08,14,23.326,KAN,,ATL,W 38-10,,,,,,,,,,
31,1985,1985-12-14,15,23.332,KAN,@,DEN,L 13-14,,,,,,,,,,
32,1985,1985-12-22,16,23.340,KAN,,SDG,W 38-34,,,,,,,,,,
