ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,tackles_solo,tackles_assists
1,2002,2002-09-08,1,22.190,ATL,@,GNB,L 34-37,,,,
2,2002,2002-12-01,12,22.274,ATL,@,MIN,W 30-24,,,,
3,2002,2002-12-08,13,22.281,ATL,@,TAM,L 10-34,,,,
4,2002,2002-12-15,14,22.288,ATL,,SEA,L 24-30,,,,
5,2002,2002-12-22,15,22.295,ATL,,DET,W 36-15,,,,
6,2002,2002-12-29,16,22.302,ATL,@,CLE,L 16-24,,,,
7,2003,2003-09-07,1,23.189,ATL,@,DAL,W 27-13,,,,
8,2003,2003-09-14,2,23.196,ATL,,WAS,L 31-33,,,,
9,2003,2003-09-21,3,23.203,ATL,,TAM,L 10-31,,,,
10,2003,2003-09-28,4,23.210,ATL,@,CAR,L 3-23,,,,
11,2003,2003-10-05,5,23.217,ATL,,MIN,L 26-39,,,,
12,2003,2003-10-13,6,23.225,ATL,@,STL,L 0-36,,,,
13,2003,2003-10-19,7,23.231,ATL,,NOR,L 17-45,,,,
14,2003,2003-11-02,8,23.245,ATL,,PHI,L 16-23,,,,
15,2003,2003-11-09,9,23.252,ATL,@,NYG,W 27-7,*,,,
16,2003,2003-11-16,10,23.259,ATL,@,NOR,L 20-23,*,,,
17,2003,2003-11-23,11,23.266,ATL,,TEN,L 31-38,*,,,
18,2003,2003-11-30,12,23.273,ATL,@,HOU,L 13-17,*,,,
19,2003,2003-12-07,13,23.280,ATL,,CAR,W 20-14,*,,,
20,2003,2003-12-14,14,23.287,ATL,@,IND,L 7-38,*,,,
21,2003,2003-12-20,15,23.293,ATL,@,TAM,W 30-28,*,,,
22,2003,2003-12-28,16,23.301,ATL,,JAX,W 21-14,*,,,
23,2004,2004-09-12,1,24.194,ATL,@,SFO,W 21-19,*,,,
24,2004,2004-09-26,3,24.208,ATL,,ARI,W 6-3,*,,,
25,2004,2004-10-03,4,24.215,ATL,@,CAR,W 27-10,*,,,
26,2004,2004-10-10,5,24.222,ATL,,DET,L 10-17,*,,,
27,2004,2004-10-17,6,24.229,ATL,,SDG,W 21-20,*,,,
28,2004,2004-10-24,7,24.236,ATL,@,KAN,L 10-56,*,,,
29,2004,2004-10-31,8,24.243,ATL,@,DEN,W 41-28,*,,,
30,2004,2004-11-14,9,24.257,ATL,,TAM,W 24-14,*,,,
31,2004,2004-11-21,10,24.264,ATL,@,NYG,W 14-10,*,,,
32,2004,2004-11-28,11,24.271,ATL,,NOR,W 24-21,*,,,
33,2004,2004-12-05,12,24.278,ATL,@,TAM,L 0-27,*,,,
34,2004,2004-12-12,13,24.285,ATL,,OAK,W 35-10,*,,,
35,2004,2004-12-18,14,24.291,ATL,,CAR,W 34-31,*,,,
36,2004,2004-12-26,15,24.299,ATL,@,NOR,L 13-26,*,,,
37,2004,2005-01-02,16,24.306,ATL,@,SEA,L 26-28,*,,,
38,2005,2005-09-12,1,25.194,ATL,,PHI,W 14-10,*,,,
39,2005,2005-09-18,2,25.200,ATL,@,SEA,L 18-21,*,,,
40,2005,2005-09-25,3,25.207,ATL,@,BUF,W 24-16,*,,,
41,2005,2005-10-02,4,25.214,ATL,,MIN,W 30-10,*,,,
42,2005,2005-10-09,5,25.221,ATL,,NWE,L 28-31,*,,,
43,2005,2005-10-16,6,25.228,ATL,@,NOR,W 34-31,*,,,
44,2005,2005-10-24,7,25.236,ATL,,NYJ,W 27-14,*,,,
45,2005,2005-11-06,8,25.249,ATL,@,MIA,W 17-10,*,,,
46,2005,2005-11-13,9,25.256,ATL,,GNB,L 25-33,*,,,
47,2005,2005-11-20,10,25.263,ATL,,TAM,L 27-30,*,,,
48,2005,2005-11-24,11,25.267,ATL,@,DET,W 27-7,*,,,
49,2005,2005-12-04,12,25.277,ATL,@,CAR,L 6-24,*,,,
50,2005,2005-12-12,13,25.285,ATL,,NOR,W 36-17,*,,,
51,2005,2005-12-18,14,25.291,ATL,@,CHI,L 3-16,*,,,
52,2005,2005-12-24,15,25.297,ATL,@,TAM,L 24-27,*,,,
53,2005,2006-01-01,16,25.305,ATL,,CAR,L 11-44,*,,,
54,2006,2006-09-10,1,26.192,CLE,,NOR,L 14-19,*,,,
55,2006,2006-09-17,2,26.199,CLE,@,CIN,L 17-34,*,,,
56,2006,2006-09-24,3,26.206,CLE,,BAL,L 14-15,*,,,
57,2006,2006-10-01,4,26.213,CLE,@,OAK,W 24-21,*,,,
58,2006,2006-10-08,5,26.220,CLE,@,CAR,L 12-20,*,,,
59,2006,2006-10-22,6,26.234,CLE,,DEN,L 7-17,*,,,
60,2006,2006-10-29,7,26.241,CLE,,NYJ,W 20-13,*,,,
61,2006,2006-11-05,8,26.248,CLE,@,SDG,L 25-32,*,,,
62,2006,2006-11-12,9,26.255,CLE,@,ATL,W 17-13,*,,,
63,2006,2006-11-19,10,26.262,CLE,,PIT,L 20-24,*,,,
64,2006,2006-11-26,11,26.269,CLE,,CIN,L 0-30,*,,,
65,2006,2006-12-03,12,26.276,CLE,,KAN,W 31-28,*,,,
66,2006,2006-12-07,13,26.280,CLE,@,PIT,L 7-27,*,,,
67,2006,2006-12-17,14,26.290,CLE,@,BAL,L 17-27,*,,,
68,2006,2006-12-24,15,26.297,CLE,,TAM,L 7-22,*,,,
69,2006,2006-12-31,16,26.304,CLE,@,HOU,L 6-14,*,,,
70,2007,2007-09-09,1,27.191,CLE,,PIT,L 7-34,*,,,
71,2007,2007-09-16,2,27.198,CLE,,CIN,W 51-45,*,,,
72,2007,2007-09-23,3,27.205,CLE,@,OAK,L 24-26,*,,,
73,2007,2007-09-30,4,27.212,CLE,,BAL,W 27-13,*,,,
74,2007,2007-10-07,5,27.219,CLE,@,NWE,L 17-34,*,,,
75,2007,2007-10-14,6,27.226,CLE,,MIA,W 41-31,*,,,
76,2007,2007-10-28,7,27.240,CLE,@,STL,W 27-20,*,,,
77,2007,2007-11-04,8,27.247,CLE,,SEA,W 33-30,*,,,
78,2007,2007-11-11,9,27.254,CLE,@,PIT,L 28-31,*,,,
79,2007,2007-11-18,10,27.261,CLE,@,BAL,W 33-30,*,,,
80,2007,2007-11-25,11,27.268,CLE,,HOU,W 27-17,*,,,
81,2007,2007-12-02,12,27.275,CLE,@,ARI,L 21-27,*,,,
82,2007,2007-12-09,13,27.282,CLE,@,NYJ,W 24-18,*,,,
83,2007,2007-12-16,14,27.289,CLE,,BUF,W 8-0,*,,,
84,2007,2007-12-23,15,27.296,CLE,@,CIN,L 14-19,*,,,
85,2007,2007-12-30,16,27.303,CLE,,SFO,W 20-7,*,,,
86,2008,2008-09-07,1,28.189,CLE,,DAL,L 10-28,*,,,
87,2008,2008-09-14,2,28.196,CLE,,PIT,L 6-10,*,,,
88,2008,2008-09-21,3,28.203,CLE,@,BAL,L 10-28,*,0.0,1,0
89,2008,2008-09-28,4,28.210,CLE,@,CIN,W 20-12,*,,,
90,2008,2008-10-19,6,28.231,CLE,@,WAS,L 11-14,*,,,
91,2008,2008-10-26,7,28.238,CLE,@,JAX,W 23-17,*,,,
92,2008,2008-11-02,8,28.245,CLE,,BAL,L 27-37,*,,,
93,2008,2008-11-06,9,28.249,CLE,,DEN,L 30-34,*,,,
94,2008,2008-11-17,10,28.260,CLE,@,BUF,W 29-27,*,,,
95,2008,2008-11-23,11,28.266,CLE,,HOU,L 6-16,*,,,
96,2008,2008-11-30,12,28.273,CLE,,IND,L 6-10,*,,,
97,2008,2008-12-07,13,28.280,CLE,@,TEN,L 9-28,*,,,
98,2008,2008-12-15,14,28.288,CLE,@,PHI,L 10-30,*,,,
99,2008,2008-12-21,15,28.294,CLE,,CIN,L 0-14,*,,,
100,2008,2008-12-28,16,28.301,CLE,@,PIT,L 0-31,*,,,
101,2009,2009-09-13,1,29.195,CHI,@,GNB,L 15-21,,,,
102,2009,2009-09-20,2,29.202,CHI,,PIT,W 17-14,,,,
103,2009,2009-09-27,3,29.209,CHI,@,SEA,W 25-19,,,,
104,2009,2009-10-04,4,29.216,CHI,,DET,W 48-24,,,,
105,2009,2009-10-18,5,29.230,CHI,@,ATL,L 14-21,,,,
106,2009,2009-10-25,6,29.237,CHI,@,CIN,L 10-45,,,,
107,2009,2009-11-01,7,29.244,CHI,,CLE,W 30-6,,,,
108,2009,2009-11-08,8,29.251,CHI,,ARI,L 21-41,,,,
109,2009,2009-11-12,9,29.255,CHI,@,SFO,L 6-10,,,,
110,2009,2009-11-22,10,29.265,CHI,,PHI,L 20-24,,,,
111,2009,2009-11-29,11,29.272,CHI,@,MIN,L 10-36,,,,
112,2009,2009-12-06,12,29.279,CHI,,STL,W 17-9,*,,,
113,2009,2009-12-13,13,29.286,CHI,,GNB,L 14-21,*,,,
114,2009,2009-12-20,14,29.293,CHI,@,BAL,L 7-31,*,,,
115,2009,2009-12-28,15,29.301,CHI,,MIN,W 36-30,*,,,
116,2009,2010-01-03,16,29.307,CHI,@,DET,W 37-23,*,,,
117,2010,2010-09-12,1,30.194,CHI,,DET,W 19-14,,,,
118,2010,2010-09-19,2,30.201,CHI,@,DAL,W 27-20,,,,
119,2010,2010-09-27,3,30.209,CHI,,GNB,W 20-17,*,,,
120,2010,2010-10-03,4,30.215,CHI,@,NYG,L 3-17,*,,,
121,2010,2010-10-10,5,30.222,CHI,@,CAR,W 23-6,,,,
122,2010,2010-10-17,6,30.229,CHI,,SEA,L 20-23,,,,
123,2010,2010-10-24,7,30.236,CHI,,WAS,L 14-17,,,,
124,2010,2010-11-07,8,30.250,CHI,@,BUF,W 22-19,,,,
125,2010,2010-11-14,9,30.257,CHI,,MIN,W 27-13,,,,
126,2010,2010-11-18,10,30.261,CHI,@,MIA,W 16-0,,,,
127,2010,2010-11-28,11,30.271,CHI,,PHI,W 31-26,,,,
128,2010,2010-12-05,12,30.278,CHI,@,DET,W 24-20,,,,
129,2010,2010-12-12,13,30.285,CHI,,NWE,L 7-36,,,,
130,2010,2010-12-20,14,30.293,CHI,@,MIN,W 40-14,,,,
131,2010,2010-12-26,15,30.299,CHI,,NYJ,W 38-34,,,,
132,2010,2011-01-02,16,30.306,CHI,@,GNB,L 3-10,,,,
