ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1986,1986-09-07,1,22.177,SDG,,MIA,W 50-28,0,0,,0,,,,
2,1986,1986-09-14,2,22.184,SDG,@,NYG,L 7-20,0,0,,0,,,,
3,1986,1986-09-21,3,22.191,SDG,,WAS,L 27-30,0,0,,0,,,,
4,1986,1986-09-28,4,22.198,SDG,@,RAI,L 13-17,0,0,,0,,,,
5,1986,1986-10-06,5,22.206,SDG,@,SEA,L 7-33,0,0,,0,,,,
6,1986,1986-10-12,6,22.212,SDG,,DEN,L 14-31,0,0,,0,,,,
7,1986,1986-10-19,7,22.219,SDG,@,KAN,L 41-42,0,0,,0,,,,
8,1986,1986-10-26,8,22.226,SDG,@,PHI,L 7-23,2,45,22.50,0,0,0,,0
9,1986,1986-11-02,9,22.233,SDG,,KAN,L 23-24,1,8,8.00,0,0,0,,0
10,1986,1986-11-09,10,22.240,SDG,@,DEN,W 9-3,1,9,9.00,0,0,0,,0
11,1986,1986-11-16,11,22.247,SDG,,DAL,L 21-24,1,12,12.00,0,0,0,,0
12,1986,1986-11-20,12,22.251,SDG,,RAI,L 31-37,0,0,,0,,,,
13,1986,1986-11-30,13,22.261,SDG,@,IND,W 17-3,0,0,,0,,,,
14,1986,1986-12-07,14,22.268,SDG,,HOU,W 27-0,0,0,,0,,,,
15,1986,1986-12-14,15,22.275,SDG,,SEA,L 24-34,0,0,,0,,,,
16,1986,1986-12-21,16,22.282,SDG,@,CLE,L 17-47,0,0,,0,,,,
17,1987,1987-10-04,3,23.204,KAN,@,RAI,L 17-35,4,100,25.00,0,1,0,0.00,0
18,1987,1987-10-11,4,23.211,KAN,@,MIA,L 0-42,1,21,21.00,0,1,4,4.00,0
