ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1981,1981-09-06,1,24.072,NYJ,@,BUF,L 0-31,0,0,,0,0,0,,0,4,73,18.25,0,1,10,10.00,0,0,0
2,1981,1981-09-13,2,24.079,NYJ,,CIN,L 30-31,0,0,,0,0,0,,0,5,99,19.80,0,4,39,9.75,0,0,0
3,1981,1981-09-20,3,24.086,NYJ,@,PIT,L 10-38,0,0,,0,0,0,,0,3,87,29.00,0,1,0,0.00,0,0,0
4,1981,1981-09-27,4,24.093,NYJ,,HOU,W 33-17,0,0,,0,0,0,,0,3,62,20.67,0,1,-3,-3.00,0,0,0
5,1981,1981-10-04,5,24.100,NYJ,@,MIA,T 28-28,0,0,,0,0,0,,0,3,54,18.00,0,1,0,0.00,0,0,0
6,1981,1981-10-11,6,24.107,NYJ,,NWE,W 28-24,0,0,,0,0,0,,0,2,31,15.50,0,2,0,0.00,0,0,0
7,1981,1981-10-18,7,24.114,NYJ,,BUF,W 33-14,0,0,,0,0,0,,0,3,72,24.00,0,2,20,10.00,0,0,0
8,1981,1981-10-25,8,24.121,NYJ,,SEA,L 3-19,0,0,,0,0,0,,0,0,0,,0,1,0,0.00,0,0,0
9,1981,1981-11-01,9,24.128,NYJ,@,NYG,W 26-7,,,,,,,,,0,0,,0,0,0,,0,,
10,1981,1981-11-08,10,24.135,NYJ,@,BAL,W 41-14,,,,,,,,,0,0,,0,0,0,,0,,
11,1981,1981-11-15,11,24.142,NYJ,@,NWE,W 17-6,0,0,,0,0,0,,0,1,13,13.00,0,0,0,,0,0,0
12,1981,1981-11-22,12,24.149,NYJ,,MIA,W 16-15,0,0,,0,0,0,,0,1,22,22.00,0,0,0,,0,0,0
13,1981,1981-11-29,13,24.156,NYJ,,BAL,W 25-0,,,,,,,,,0,0,,0,0,0,,0,,
14,1981,1981-12-06,14,24.163,NYJ,@,SEA,L 23-27,,,,,,,,,0,0,,0,0,0,,0,,
15,1981,1981-12-12,15,24.169,NYJ,@,CLE,W 14-13,0,0,,0,0,0,,0,1,15,15.00,0,0,0,,0,0,0
16,1981,1981-12-20,16,24.177,NYJ,,GNB,W 28-3,,,,,,,,,0,0,,0,0,0,,0,,
17,1982,1982-09-12,1,25.078,NYJ,,MIA,L 28-45,0,0,,0,0,0,,0,2,47,23.50,0,0,0,,0,0,0
18,1982,1982-09-19,2,25.085,NYJ,@,NWE,W 31-7,,,,,,,,,0,0,,0,,,,,,
19,1982,1982-11-21,3,25.148,NYJ,,BAL,W 37-0,,,,,,,,,0,0,,0,,,,,,
20,1982,1982-11-28,4,25.155,NYJ,,GNB,W 15-13,0,0,,0,0,0,,0,3,58,19.33,0,0,0,,0,0,0
21,1982,1982-12-06,5,25.163,NYJ,@,DET,W 28-13,0,0,,0,0,0,,0,3,51,17.00,0,0,0,,0,0,0
22,1982,1982-12-12,6,25.169,NYJ,,TAM,W 32-17,,,,,,,,,0,0,,0,,,,,,
23,1982,1982-12-18,7,25.175,NYJ,@,MIA,L 19-20,0,0,,0,0,0,,0,2,42,21.00,0,0,0,,0,0,0
24,1982,1982-12-26,8,25.183,NYJ,@,MIN,W 42-14,0,0,,0,0,0,,0,2,50,25.00,0,0,0,,0,0,0
25,1982,1983-01-02,9,25.190,NYJ,@,KAN,L 13-37,0,0,,0,0,0,,0,3,51,17.00,0,0,0,,0,0,0
26,1984,1984-09-02,1,27.068,NYJ,@,IND,W 23-14,0,0,,0,,,,,,,,,,,,,,
27,1984,1984-09-06,2,27.072,NYJ,,PIT,L 17-23,1,12,12.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
28,1984,1984-10-14,7,27.110,NYJ,@,CLE,W 24-20,0,0,,0,,,,,,,,,,,,,,
29,1984,1984-10-21,8,27.117,NYJ,,KAN,W 28-7,1,16,16.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
30,1984,1984-12-02,14,27.159,NYJ,,NYG,L 10-20,0,0,,0,,,,,,,,,,,,,,
31,1985,1985-09-08,1,28.074,NYJ,@,RAI,L 0-31,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,
32,1985,1985-09-15,2,28.081,NYJ,,BUF,W 42-3,6,56,9.33,1,0,0,,0,0,0,,0,0,0,,0,1,6
33,1985,1985-09-22,3,28.088,NYJ,@,GNB,W 24-3,3,15,5.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
34,1985,1985-09-29,4,28.095,NYJ,,IND,W 25-20,8,112,14.00,1,0,0,,0,0,0,,0,0,0,,0,1,6
35,1985,1985-10-06,5,28.102,NYJ,@,CIN,W 29-20,4,56,14.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
36,1985,1985-10-14,6,28.110,NYJ,,MIA,W 23-7,4,66,16.50,1,0,0,,0,0,0,,0,0,0,,0,1,6
37,1985,1985-10-20,7,28.116,NYJ,@,NWE,L 13-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,
38,1985,1985-10-27,8,28.123,NYJ,,SEA,W 17-14,2,39,19.50,0,0,0,,0,0,0,,0,0,0,,0,0,0
39,1985,1985-11-03,9,28.130,NYJ,@,IND,W 35-17,5,62,12.40,0,0,0,,0,0,0,,0,0,0,,0,0,0
40,1985,1985-11-17,11,28.144,NYJ,,TAM,W 62-28,2,37,18.50,0,1,12,12.00,0,0,0,,0,2,30,15.00,0,0,0
41,1985,1985-11-24,12,28.151,NYJ,,NWE,W 16-13,1,15,15.00,0,0,0,,0,3,7,2.33,0,4,50,12.50,0,0,0
42,1985,1985-11-28,13,28.155,NYJ,@,DET,L 20-31,1,9,9.00,0,0,0,,0,0,0,,0,3,29,9.67,0,0,0
43,1985,1985-12-08,14,28.165,NYJ,@,BUF,W 27-7,1,16,16.00,0,0,0,,0,0,0,,0,2,2,1.00,0,0,0
44,1985,1985-12-14,15,28.171,NYJ,,CHI,L 6-19,0,0,,0,0,0,,0,0,0,,0,2,17,8.50,0,0,0
45,1985,1985-12-22,16,28.179,NYJ,,CLE,W 37-10,2,51,25.50,1,0,0,,0,0,0,,0,3,21,7.00,0,1,6
46,1986,1986-09-07,1,29.073,NYJ,@,BUF,W 28-24,0,0,,0,0,0,,0,0,0,,0,2,16,8.00,0,0,0
47,1986,1986-09-11,2,29.077,NYJ,,NWE,L 6-20,1,22,22.00,0,1,-8,-8.00,0,3,63,21.00,0,2,14,7.00,0,0,0
48,1986,1986-09-21,3,29.087,NYJ,,MIA,W 51-45,1,14,14.00,0,0,0,,0,0,0,,0,2,30,15.00,0,0,0
49,1986,1986-09-28,4,29.094,NYJ,@,IND,W 26-7,2,26,13.00,1,0,0,,0,0,0,,0,4,31,7.75,0,1,6
50,1986,1986-10-05,5,29.101,NYJ,,BUF,W 14-13,0,0,,0,1,-3,-3.00,0,1,13,13.00,0,3,31,10.33,0,0,0
51,1986,1986-10-12,6,29.108,NYJ,@,NWE,W 31-24,0,0,,0,0,0,,0,3,48,16.00,0,2,14,7.00,0,0,0
52,1986,1986-10-20,7,29.116,NYJ,,DEN,W 22-10,0,0,,0,0,0,,0,0,0,,0,4,65,16.25,0,0,0
53,1986,1986-10-26,8,29.122,NYJ,,NOR,W 28-23,0,0,,0,0,0,,0,0,0,,0,3,14,4.67,0,0,0
54,1986,1986-11-02,9,29.129,NYJ,@,SEA,W 38-7,0,0,,0,0,0,,0,0,0,,0,3,22,7.33,0,0,0
55,1986,1986-11-16,11,29.143,NYJ,,IND,W 31-16,0,0,,0,0,0,,0,0,0,,0,3,19,6.33,0,0,0
56,1986,1986-11-24,12,29.151,NYJ,@,MIA,L 3-45,0,0,,0,0,0,,0,0,0,,0,1,13,13.00,0,0,0
57,1986,1986-11-30,13,29.157,NYJ,,RAM,L 3-17,0,0,,0,0,0,,0,0,0,,0,2,10,5.00,0,0,0
58,1986,1986-12-07,14,29.164,NYJ,@,SFO,L 10-24,1,11,11.00,0,0,0,,0,0,0,,0,2,0,0.00,0,0,0
59,1986,1986-12-13,15,29.170,NYJ,,PIT,L 24-45,2,51,25.50,1,0,0,,0,0,0,,0,1,5,5.00,0,1,6
60,1986,1986-12-21,16,29.178,NYJ,@,CIN,L 21-52,1,5,5.00,0,0,0,,0,0,0,,0,1,5,5.00,0,0,0
61,1987,1987-09-13,1,30.079,NYJ,@,BUF,W 31-28,1,-1,-1.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
62,1987,1987-09-21,2,30.087,NYJ,,NWE,W 43-24,0,0,,0,0,0,,0,1,16,16.00,0,0,0,,0,0,0
63,1987,1987-10-25,6,30.121,NYJ,@,WAS,L 16-17,1,15,15.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
64,1987,1987-11-01,7,30.128,NYJ,,IND,L 14-19,0,0,,0,,,,,0,0,,0,0,0,,0,,
65,1987,1987-11-09,8,30.136,NYJ,,SEA,W 30-14,3,31,10.33,0,0,0,,0,0,0,,0,0,0,,0,0,0
66,1987,1987-11-15,9,30.142,NYJ,@,KAN,W 16-9,2,34,17.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
67,1987,1987-11-22,10,30.149,NYJ,,BUF,L 14-17,2,35,17.50,1,0,0,,0,1,18,18.00,0,0,0,,0,1,6
68,1987,1987-11-29,11,30.156,NYJ,,CIN,W 27-20,1,6,6.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
69,1987,1987-12-07,12,30.164,NYJ,@,MIA,L 28-37,3,27,9.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
70,1987,1987-12-13,13,30.170,NYJ,@,NWE,L 20-42,4,42,10.50,0,0,0,,0,0,0,,0,0,0,,0,0,0
71,1987,1987-12-20,14,30.177,NYJ,,PHI,L 27-38,2,14,7.00,1,0,0,,0,0,0,,0,0,0,,0,1,6
72,1987,1987-12-27,15,30.184,NYJ,@,NYG,L 7-20,4,58,14.50,0,0,0,,0,1,13,13.00,0,1,6,6.00,0,0,0
73,1988,1988-09-04,1,31.070,NYJ,@,NWE,L 3-28,0,0,,0,,,,,0,0,,0,0,0,,0,,
74,1988,1988-09-11,2,31.077,NYJ,@,CLE,W 23-3,0,0,,0,0,0,,0,0,0,,0,1,2,2.00,0,0,0
75,1988,1988-09-18,3,31.084,NYJ,,HOU,W 45-3,2,13,6.50,1,0,0,,0,0,0,,0,0,0,,0,1,6
76,1988,1988-09-25,4,31.091,NYJ,@,DET,W 17-10,1,6,6.00,0,0,0,,0,1,19,19.00,0,0,0,,0,0,0
77,1988,1988-10-02,5,31.098,NYJ,,KAN,T 17-17,3,34,11.33,0,0,0,,0,2,38,19.00,0,0,0,,0,0,0
78,1988,1988-10-09,6,31.105,NYJ,@,CIN,L 19-36,0,0,,0,0,0,,0,2,38,19.00,0,0,0,,0,0,0
79,1988,1988-10-17,7,31.113,NYJ,,BUF,L 14-37,0,0,,0,0,0,,0,3,43,14.33,0,0,0,,0,0,0
80,1988,1988-10-23,8,31.119,NYJ,@,MIA,W 44-30,1,13,13.00,1,0,0,,0,1,21,21.00,0,0,0,,0,1,6
81,1988,1988-11-06,10,31.133,NYJ,@,IND,L 14-38,0,0,,0,,,,,0,0,,0,0,0,,0,,
82,1988,1988-11-13,11,31.140,NYJ,,NWE,L 13-14,0,0,,0,,,,,0,0,,0,0,0,,0,,
83,1988,1988-11-20,12,31.147,NYJ,@,BUF,L 6-9,0,0,,0,0,0,,0,0,0,,0,1,2,2.00,0,0,0
84,1988,1988-11-27,13,31.154,NYJ,,MIA,W 38-34,0,0,,0,,,,,0,0,,0,0,0,,0,,
85,1988,1988-12-04,14,31.161,NYJ,@,KAN,L 34-38,0,0,,0,,,,,0,0,,0,0,0,,0,,
86,1988,1988-12-10,15,31.167,NYJ,,IND,W 34-16,0,0,,0,0,0,,0,0,0,,0,1,5,5.00,0,0,0
87,1988,1988-12-18,16,31.175,NYJ,,NYG,W 27-21,0,0,,0,,,,,0,0,,0,0,0,,0,,
