ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2001,2001-09-09,1,22.302,NYJ,,IND,L 24-45,,3,17,5.67,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
2,2001,2001-09-23,2,22.316,NYJ,@,NWE,W 10-3,,,,,,,,,,,0.0%,,,,,,,,,0,,,,,,,,,,,,
3,2001,2001-10-01,3,22.324,NYJ,,SFO,L 17-19,,1,3,3.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
4,2001,2001-10-07,4,22.330,NYJ,@,BUF,W 42-36,,2,5,2.50,0,1,1,-1,-1.00,0,100.0%,-1.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
5,2001,2001-10-14,5,22.337,NYJ,,MIA,W 21-17,,,,,,,,,,,0.0%,,,,,,,,,0,,,,,,,,,,,,
6,2001,2001-10-21,6,22.344,NYJ,,STL,L 14-34,,4,34,8.50,0,6,5,20,4.00,0,83.3%,3.33,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
7,2001,2001-10-28,7,22.351,NYJ,@,CAR,W 13-12,,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
8,2001,2001-11-04,8,22.358,NYJ,@,NOR,W 16-9,,7,75,10.71,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
9,2001,2001-11-11,9,23.000,NYJ,,KAN,W 27-7,,10,40,4.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
10,2001,2001-11-18,10,23.007,NYJ,@,MIA,W 24-0,,3,29,9.67,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
11,2001,2001-12-02,11,23.021,NYJ,,NWE,L 16-17,,2,7,3.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
12,2001,2001-12-09,12,23.028,NYJ,@,PIT,L 7-18,,,,,,,,,,,0.0%,,,,,,,,,0,,,,,,,,,,,,
13,2001,2001-12-16,13,23.035,NYJ,,CIN,W 15-14,,2,17,8.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
14,2001,2001-12-23,14,23.042,NYJ,@,IND,W 29-28,,2,13,6.50,0,1,1,25,25.00,1,100.0%,25.00,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,23,23.00,0,1,6,0.0,,
15,2001,2001-12-30,15,23.049,NYJ,,BUF,L 9-14,,1,4,4.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,1,18,18.00,0,0,0,0.0,,
16,2001,2002-01-06,16,23.056,NYJ,@,OAK,W 24-22,,1,46,46.00,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,1,21,21.00,0,1,6,0.0,,
17,2002,2002-09-08,1,23.301,NYJ,@,BUF,W 37-31,,7,32,4.57,0,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,,,,,1,12,12.00,0,0,0,0.0,,
18,2002,2002-09-15,2,23.308,NYJ,,NWE,L 7-44,,1,3,3.00,0,2,2,17,8.50,0,100.0%,8.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
19,2002,2002-09-22,3,23.315,NYJ,@,MIA,L 3-30,,4,11,2.75,0,2,2,10,5.00,0,100.0%,5.00,0,0,,0,0,0,,,,,,1,33,33.00,0,0,0,0.0,,
20,2002,2002-09-29,4,23.322,NYJ,@,JAX,L 3-28,,12,34,2.83,0,4,3,42,14.00,0,75.0%,10.50,0,0,,0,0,0,,,,,,1,20,20.00,0,0,0,0.0,,
21,2002,2002-10-06,5,23.329,NYJ,,KAN,L 25-29,,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
22,2002,2002-10-20,6,23.343,NYJ,,MIN,W 20-7,,7,14,2.00,0,3,2,28,14.00,0,66.7%,9.33,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
23,2002,2002-10-27,7,23.350,NYJ,,CLE,L 21-24,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,2,47,23.50,0,0,0,0.0,,
24,2002,2002-11-03,8,23.357,NYJ,@,SDG,W 44-13,,13,107,8.23,1,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
25,2002,2002-11-10,9,23.364,NYJ,,MIA,W 13-10,,6,20,3.33,0,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
26,2002,2002-11-17,10,24.006,NYJ,@,DET,W 31-14,,11,63,5.73,0,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
27,2002,2002-11-24,11,24.013,NYJ,,BUF,W 31-13,,13,27,2.08,1,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
28,2002,2002-12-02,12,24.021,NYJ,@,OAK,L 20-26,,1,0,0.00,0,3,3,24,8.00,0,100.0%,8.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
29,2002,2002-12-22,15,24.041,NYJ,@,NWE,W 30-17,,2,2,1.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
30,2002,2002-12-29,16,24.048,NYJ,,GNB,W 42-17,,6,2,0.33,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
31,2003,2003-09-04,1,24.297,NYJ,@,WAS,L 13-16,,6,0,0.00,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,2,40,20.00,0,1,6,0.0,,
32,2003,2003-09-14,2,24.307,NYJ,,MIA,L 10-21,,0,0,,0,5,5,61,12.20,0,100.0%,12.20,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
33,2003,2003-09-21,3,24.314,NYJ,@,NWE,L 16-23,,1,5,5.00,0,1,1,14,14.00,0,100.0%,14.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
34,2003,2003-09-28,4,24.321,NYJ,,DAL,L 6-17,,3,-2,-0.67,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
35,2003,2003-10-12,5,24.335,NYJ,,BUF,W 30-3,,10,33,3.30,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
36,2003,2003-10-19,6,24.342,NYJ,@,HOU,W 19-14,,7,40,5.71,1,2,2,8,4.00,0,100.0%,4.00,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
37,2003,2003-10-26,7,24.349,NYJ,@,PHI,L 17-24,,3,6,2.00,1,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
