ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1980,1980-09-21,3,22.220,NYJ,,SFO,L 27-37,,,,,,
2,1980,1980-09-28,4,22.227,NYJ,@,BAL,L 21-35,,,,,,
3,1980,1980-10-05,5,22.234,NYJ,,NWE,L 11-21,,,,,,
4,1980,1980-10-12,6,22.241,NYJ,@,ATL,W 14-7,,,,,,
5,1980,1980-10-19,7,22.248,NYJ,,SEA,L 17-27,,,,,,
6,1980,1980-10-27,8,22.256,NYJ,,MIA,W 17-14,,,,,,
7,1980,1980-11-02,9,22.262,NYJ,@,NWE,L 21-34,,,,,,
8,1980,1980-11-09,10,22.269,NYJ,,BUF,L 24-31,,,,,,
9,1980,1980-11-16,11,22.276,NYJ,@,DEN,L 24-31,,,,,,
10,1980,1980-11-23,12,22.283,NYJ,,HOU,W 31-28,,,,,,
11,1980,1980-11-30,13,22.290,NYJ,@,RAM,L 13-38,,,,,,
12,1980,1980-12-07,14,22.297,NYJ,@,CLE,L 14-17,,,,,,
13,1980,1980-12-14,15,22.304,NYJ,,NOR,L 20-21,,,,,,
14,1980,1980-12-20,16,22.310,NYJ,@,MIA,W 24-17,,,,,,
15,1981,1981-09-06,1,23.204,NYJ,@,BUF,L 0-31,,,,,,
16,1981,1981-09-13,2,23.211,NYJ,,CIN,L 30-31,,,,,,
17,1981,1981-09-20,3,23.218,NYJ,@,PIT,L 10-38,,,,,,
18,1981,1981-09-27,4,23.225,NYJ,,HOU,W 33-17,0,0,0.0,1,7,0
19,1981,1981-10-04,5,23.232,NYJ,@,MIA,T 28-28,,,,,,
20,1981,1981-10-11,6,23.239,NYJ,,NWE,W 28-24,,,,,,
21,1981,1981-10-18,7,23.246,NYJ,,BUF,W 33-14,,,,,,
22,1981,1981-10-25,8,23.253,NYJ,,SEA,L 3-19,,,,,,
23,1981,1981-11-01,9,23.260,NYJ,@,NYG,W 26-7,,,,,,
24,1981,1981-11-08,10,23.267,NYJ,@,BAL,W 41-14,,,,,,
25,1981,1981-11-15,11,23.274,NYJ,@,NWE,W 17-6,,,,,,
26,1981,1981-11-22,12,23.281,NYJ,,MIA,W 16-15,,,,,,
27,1981,1981-11-29,13,23.288,NYJ,,BAL,W 25-0,,,,,,
28,1981,1981-12-06,14,23.295,NYJ,@,SEA,L 23-27,0,0,0.0,1,0,0
29,1981,1981-12-20,16,23.309,NYJ,,GNB,W 28-3,0,0,0.0,1,10,0
30,1982,1982-09-12,1,24.210,NYJ,,MIA,L 28-45,,,,,,
31,1982,1982-09-19,2,24.217,NYJ,@,NWE,W 31-7,0,0,0.0,1,0,0
32,1982,1982-11-21,3,24.280,NYJ,,BAL,W 37-0,,,,,,
33,1982,1982-11-28,4,24.287,NYJ,,GNB,W 15-13,,,,,,
34,1982,1982-12-06,5,24.295,NYJ,@,DET,W 28-13,,,,,,
35,1982,1982-12-12,6,24.301,NYJ,,TAM,W 32-17,,,,,,
36,1982,1982-12-18,7,24.307,NYJ,@,MIA,L 19-20,,,,,,
37,1982,1982-12-26,8,24.315,NYJ,@,MIN,W 42-14,0,0,0.0,1,38,0
38,1982,1983-01-02,9,24.322,NYJ,@,KAN,L 13-37,,,,,,
39,1983,1983-09-04,1,25.202,NYJ,@,SDG,W 41-29,0,0,0.0,1,13,0
40,1983,1983-09-11,2,25.209,NYJ,,SEA,L 10-17,,,,,,
41,1983,1983-09-18,3,25.216,NYJ,@,NWE,L 13-23,,,,,,
42,1983,1983-09-25,4,25.223,NYJ,,RAM,W 27-24,0,0,0.0,1,0,0
43,1983,1983-10-03,5,25.231,NYJ,@,BUF,W 34-10,,,,,,
44,1983,1983-10-09,6,25.237,NYJ,@,CLE,L 7-10,0,0,0.5,0,0,0
45,1983,1983-10-16,7,25.244,NYJ,,MIA,L 14-32,,,,,,
46,1983,1983-10-23,8,25.251,NYJ,,ATL,L 21-27,0,0,0.0,1,0,0
47,1983,1983-10-30,9,25.258,NYJ,@,SFO,W 27-13,0,0,0.0,1,3,0
48,1983,1983-11-06,10,25.265,NYJ,,BAL,L 14-17,,,,,,
49,1983,1983-11-13,11,25.272,NYJ,,BUF,L 17-24,0,0,0.5,0,0,0
50,1983,1983-11-21,12,25.280,NYJ,@,NOR,W 31-28,1,6,1.0,1,34,1
51,1983,1983-11-27,13,25.286,NYJ,,NWE,W 26-3,0,0,0.5,1,5,0
