ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,1966,1966-09-03,1,23.037,HOU,,DEN,W 45-7,1,13,13.00,0,0,0,,0,0,0
2,1966,1966-09-18,3,23.052,HOU,@,NYJ,L 13-52,1,5,5.00,0,0,0,,0,0,0
3,1966,1966-10-30,8,23.094,HOU,@,KAN,L 23-48,2,22,11.00,0,0,0,,0,0,0
4,1966,1966-11-06,9,23.101,HOU,@,OAK,L 23-38,1,32,32.00,1,0,0,,0,1,6
5,1966,1966-11-13,10,23.108,HOU,@,BOS,L 21-27,6,67,11.17,1,0,0,,0,1,6
6,1966,1966-11-20,11,23.115,HOU,,BUF,L 20-42,2,69,34.50,0,0,0,,0,0,0
7,1966,1966-12-04,12,23.129,HOU,,SDG,L 22-28,4,36,9.00,0,0,0,,0,0,0
8,1966,1966-12-11,13,23.136,HOU,,BOS,L 14-38,3,28,9.33,0,0,0,,0,0,0
9,1966,1966-12-18,14,23.143,HOU,@,MIA,L 28-29,1,11,11.00,1,0,0,,0,1,6
10,1967,1967-09-09,1,24.043,HOU,,KAN,L 20-25,1,7,7.00,0,0,0,,0,0,0
11,1967,1967-09-17,2,24.051,HOU,@,BUF,W 20-3,0,0,,0,1,14,14.00,0,0,0
12,1967,1967-09-24,3,24.058,HOU,@,SDG,L 3-13,2,25,12.50,0,0,0,,0,0,0
13,1967,1967-10-01,4,24.065,HOU,,DEN,W 10-6,0,0,,0,1,5,5.00,0,0,0
