ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1972,1972-12-10,13,23.130,GNB,@,MIN,W 23-7,,,,,,,
2,1972,1972-12-17,14,23.137,GNB,@,NOR,W 30-20,,,,,,,
3,1973,1973-09-17,1,24.046,GNB,,NYJ,W 23-7,,,,,,,
4,1973,1973-09-23,2,24.052,GNB,,DET,T 13-13,,,,,,,
5,1973,1973-09-30,3,24.059,GNB,@,MIN,L 3-11,,,,,,,
6,1973,1973-10-07,4,24.066,GNB,@,NYG,W 16-14,,,,,,,
7,1973,1973-10-14,5,24.073,GNB,,KAN,T 10-10,,,,,,,
8,1973,1973-10-21,6,24.080,GNB,@,RAM,L 7-24,,,,,,,
9,1973,1973-10-28,7,24.087,GNB,@,DET,L 0-34,,,,,,,
10,1973,1973-11-04,8,24.094,GNB,,CHI,L 17-31,,,,,,,
11,1973,1973-11-11,9,24.101,GNB,,STL,W 25-21,,,,,,,
12,1973,1973-11-18,10,24.108,GNB,@,NWE,L 24-33,,,,,,,
13,1973,1973-11-26,11,24.116,GNB,@,SFO,L 6-20,,,,,,,
14,1973,1973-12-02,12,24.122,GNB,,NOR,W 30-10,0,0,,0,1,3,0
15,1973,1973-12-08,13,24.128,GNB,,MIN,L 7-31,,,,,,,
16,1973,1973-12-16,14,24.136,GNB,@,CHI,W 21-0,,,,,,,
17,1974,1974-09-15,1,25.044,GNB,,MIN,L 17-32,,,,,,,
18,1974,1974-09-22,2,25.051,GNB,@,BAL,W 20-13,,,,,,,
19,1974,1974-09-29,3,25.058,GNB,,DET,W 21-19,,,,,,,
20,1974,1974-10-06,4,25.065,GNB,,BUF,L 7-27,,,,,,,
21,1974,1974-10-13,5,25.072,GNB,,RAM,W 17-6,,,,,,,
22,1974,1974-10-21,6,25.080,GNB,@,CHI,L 9-10,1,0,0.00,0,0,0,0
23,1974,1974-10-27,7,25.086,GNB,@,DET,L 17-19,,,,,,,
24,1974,1974-11-03,8,25.093,GNB,,WAS,L 6-17,,,,,,,
25,1974,1974-11-10,9,25.100,GNB,,CHI,W 20-3,,,,,,,
26,1974,1974-11-17,10,25.107,GNB,@,MIN,W 19-7,,,,,,,
27,1974,1974-11-24,11,25.114,GNB,,SDG,W 34-0,,,,,,,
28,1974,1974-12-01,12,25.121,GNB,@,PHI,L 14-36,,,,,,,
29,1974,1974-12-08,13,25.128,GNB,@,SFO,L 6-7,,,,,,,
30,1974,1974-12-15,14,25.135,GNB,@,ATL,L 3-10,,,,,,,
31,1975,1975-09-21,1,26.050,GNB,,DET,L 16-30,,,,,,,
32,1975,1975-09-29,2,26.058,GNB,@,DEN,L 13-23,,,,,,,
33,1975,1975-10-05,3,26.064,GNB,,MIA,L 7-31,,,,,,,
34,1975,1975-10-12,4,26.071,GNB,@,NOR,L 19-20,,,,,,,
