ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1983,1983-09-04,1,24.085,CIN,,RAI,L 10-20,0,0,,0,0,0,,0,,,,,0,
2,1983,1983-09-11,2,24.092,CIN,,BUF,L 6-10,0,0,,0,0,0,,0,,,,,0,
3,1983,1983-09-15,3,24.096,CIN,@,CLE,L 7-17,4,19,4.75,1,2,4,2.00,0,0,0,,0,1,6
4,1983,1983-09-25,4,24.106,CIN,@,TAM,W 23-17,0,0,,0,0,0,,0,,,,,0,
5,1983,1983-10-02,5,24.113,CIN,,BAL,L 31-34,6,21,3.50,0,0,0,,0,0,0,,0,0,0
6,1983,1983-10-10,6,24.121,CIN,,PIT,L 14-24,0,0,,0,0,0,,0,,,,,0,
7,1983,1983-10-16,7,24.127,CIN,@,DEN,L 17-24,0,0,,0,0,0,,0,,,,,0,
8,1983,1983-10-23,8,24.134,CIN,,CLE,W 28-21,0,0,,0,0,0,,0,,,,,0,
9,1983,1983-10-30,9,24.141,CIN,,GNB,W 34-14,0,0,,0,0,0,,0,,,,,0,
10,1983,1983-11-06,10,24.148,CIN,@,HOU,W 55-14,10,33,3.30,1,0,0,,0,0,0,,0,1,6
11,1983,1983-11-13,11,24.155,CIN,@,KAN,L 15-20,0,0,,0,0,0,,0,,,,,0,
12,1983,1983-11-20,12,24.162,CIN,,HOU,W 38-10,6,19,3.17,0,0,0,,0,0,0,,0,0,0
13,1983,1983-11-28,13,24.170,CIN,@,MIA,L 14-38,0,0,,0,0,0,,0,,,,,0,
14,1983,1983-12-04,14,24.176,CIN,@,PIT,W 23-10,0,0,,0,0,0,,0,,,,,0,
15,1983,1983-12-11,15,24.183,CIN,,DET,W 17-9,2,5,2.50,0,0,0,,0,0,0,,0,0,0
16,1983,1983-12-17,16,24.189,CIN,@,MIN,L 14-20,11,59,5.36,1,0,0,,0,0,0,,0,1,6
17,1984,1984-09-02,1,25.083,CIN,@,DEN,L 17-20,8,12,1.50,1,1,4,4.00,0,0,0,,0,1,6
18,1984,1984-09-09,2,25.090,CIN,,KAN,L 22-27,3,15,5.00,0,1,4,4.00,0,0,0,,0,0,0
19,1984,1984-09-16,3,25.097,CIN,@,NYJ,L 23-43,6,55,9.17,0,4,31,7.75,0,0,0,,0,0,0
20,1984,1984-09-23,4,25.104,CIN,,RAM,L 14-24,6,21,3.50,1,0,0,,0,0,0,,0,1,6
21,1984,1984-10-01,5,25.112,CIN,@,PIT,L 17-38,1,0,0.00,0,1,9,9.00,0,0,0,,0,0,0
22,1984,1984-10-07,6,25.118,CIN,,HOU,W 13-3,12,59,4.92,0,0,0,,0,0,0,,0,0,0
23,1984,1984-10-14,7,25.125,CIN,@,NWE,L 14-20,13,34,2.62,0,0,0,,0,0,0,,0,0,0
24,1984,1984-10-21,8,25.132,CIN,,CLE,W 12-9,1,1,1.00,0,0,0,,0,0,0,,0,0,0
25,1984,1984-10-28,9,25.139,CIN,@,HOU,W 31-13,19,80,4.21,3,2,23,11.50,1,0,0,,0,4,24
26,1984,1984-11-04,10,25.146,CIN,@,SFO,L 17-23,11,41,3.73,1,2,33,16.50,0,0,0,,0,1,6
27,1984,1984-11-11,11,25.153,CIN,,PIT,W 22-20,13,60,4.62,1,2,10,5.00,0,0,0,,0,1,6
28,1984,1984-11-18,12,25.160,CIN,,SEA,L 6-26,22,119,5.41,0,1,15,15.00,0,1,7,7.00,0,0,0
29,1984,1984-11-25,13,25.167,CIN,,ATL,W 35-14,16,44,2.75,1,2,14,7.00,0,0,0,,0,1,6
30,1984,1984-12-02,14,25.174,CIN,@,CLE,W 20-17,5,7,1.40,0,2,10,5.00,0,0,0,,0,0,0
31,1984,1984-12-09,15,25.181,CIN,@,NOR,W 24-21,4,10,2.50,0,0,0,,0,0,0,,0,0,0
32,1984,1984-12-16,16,25.188,CIN,,BUF,W 52-21,14,65,4.64,1,1,6,6.00,0,0,0,,0,1,6
33,1985,1985-09-08,1,26.089,CIN,,SEA,L 24-28,18,101,5.61,1,1,5,5.00,0,0,0,,0,1,6
34,1985,1985-09-15,2,26.096,CIN,@,STL,L 27-41,13,65,5.00,0,6,63,10.50,1,0,0,,0,1,6
35,1985,1985-09-22,3,26.103,CIN,,SDG,L 41-44,7,29,4.14,2,2,13,6.50,0,0,0,,0,2,12
36,1985,1985-10-27,8,26.138,CIN,,PIT,W 26-21,15,59,3.93,0,5,44,8.80,0,0,0,,0,0,0
37,1985,1985-11-03,9,26.145,CIN,@,BUF,W 23-17,30,128,4.27,1,0,0,,0,0,0,,0,1,6
38,1985,1985-11-10,10,26.152,CIN,,CLE,W 27-10,17,65,3.82,1,1,19,19.00,0,0,0,,0,1,6
39,1985,1985-11-17,11,26.159,CIN,@,RAI,L 6-13,16,63,3.94,0,1,4,4.00,0,0,0,,0,0,0
40,1985,1985-11-24,12,26.166,CIN,@,CLE,L 6-24,4,6,1.50,0,0,0,,0,0,0,,0,0,0
41,1985,1985-12-01,13,26.173,CIN,,HOU,W 45-27,17,75,4.41,3,2,9,4.50,0,0,0,,0,3,18
42,1985,1985-12-08,14,26.180,CIN,,DAL,W 50-24,13,71,5.46,1,1,8,8.00,0,0,0,,0,1,6
43,1985,1985-12-15,15,26.187,CIN,@,WAS,L 24-27,8,15,1.88,0,2,17,8.50,0,0,0,,0,0,0
44,1985,1985-12-22,16,26.194,CIN,@,NWE,L 23-34,12,37,3.08,0,1,5,5.00,0,0,0,,0,0,0
45,1986,1986-09-07,1,27.088,CIN,@,KAN,L 14-24,6,20,3.33,0,4,42,10.50,0,0,0,,0,0,0
46,1986,1986-09-14,2,27.095,CIN,,BUF,W 36-33,13,69,5.31,1,1,3,3.00,0,0,0,,0,1,6
47,1986,1986-09-18,3,27.099,CIN,@,CLE,W 30-13,25,94,3.76,3,0,0,,0,0,0,,0,3,18
48,1986,1986-09-28,4,27.109,CIN,,CHI,L 7-44,2,4,2.00,0,0,0,,0,0,0,,0,0,0
49,1986,1986-10-05,5,27.116,CIN,@,GNB,W 34-28,3,8,2.67,0,0,0,,0,0,0,,0,0,0
50,1986,1986-10-13,6,27.124,CIN,,PIT,W 24-22,9,26,2.89,0,0,0,,0,0,0,,0,0,0
51,1986,1986-10-19,7,27.130,CIN,,HOU,W 31-28,14,79,5.64,0,1,5,5.00,0,0,0,,0,0,0
52,1986,1986-10-26,8,27.137,CIN,@,PIT,L 9-30,7,25,3.57,0,1,-4,-4.00,0,0,0,,0,0,0
53,1986,1986-11-02,9,27.144,CIN,@,DET,W 24-17,16,72,4.50,1,0,0,,0,0,0,,0,1,6
54,1986,1986-11-09,10,27.151,CIN,@,HOU,L 28-32,6,18,3.00,0,2,43,21.50,1,0,0,,0,1,6
55,1986,1986-11-16,11,27.158,CIN,,SEA,W 34-7,10,19,1.90,0,1,3,3.00,0,0,0,,0,0,0
56,1986,1986-11-23,12,27.165,CIN,,MIN,W 24-20,0,0,,0,0,0,,0,,,,,0,
57,1986,1986-11-30,13,27.172,CIN,@,DEN,L 28-34,1,5,5.00,1,0,0,,0,0,0,,0,1,6
58,1986,1986-12-07,14,27.179,CIN,@,NWE,W 31-7,4,6,1.50,1,0,0,,0,0,0,,0,1,6
59,1986,1986-12-14,15,27.186,CIN,,CLE,L 3-34,5,35,7.00,0,0,0,,0,0,0,,0,0,0
60,1986,1986-12-21,16,27.193,CIN,,NYJ,W 52-21,10,39,3.90,1,3,44,14.67,0,0,0,,0,1,6
61,1987,1987-09-13,1,28.094,CIN,@,IND,W 23-21,12,57,4.75,0,2,31,15.50,0,0,0,,0,0,0
62,1987,1987-09-20,2,28.101,CIN,,SFO,L 26-27,22,84,3.82,1,1,5,5.00,0,0,0,,0,1,6
63,1987,1987-10-25,6,28.136,CIN,@,PIT,L 20-23,11,85,7.73,1,0,0,,0,0,0,,0,1,6
64,1987,1987-11-01,7,28.143,CIN,,HOU,L 29-31,13,49,3.77,0,1,9,9.00,0,0,0,,0,0,0
65,1987,1987-11-08,8,28.150,CIN,,MIA,L 14-20,5,19,3.80,0,0,0,,0,0,0,,0,0,0
66,1987,1987-11-15,9,28.157,CIN,@,ATL,W 16-10,27,100,3.70,1,0,0,,0,0,0,,0,1,6
67,1987,1987-11-22,10,28.164,CIN,,PIT,L 16-30,1,2,2.00,1,1,4,4.00,0,0,0,,0,1,6
68,1987,1987-11-29,11,28.171,CIN,@,NYJ,L 20-27,8,28,3.50,0,1,25,25.00,0,0,0,,0,0,0
69,1987,1987-12-06,12,28.178,CIN,,KAN,W 30-27,20,67,3.35,1,1,9,9.00,0,0,0,,0,1,6
70,1987,1987-12-13,13,28.185,CIN,@,CLE,L 24-38,16,44,2.75,2,1,19,19.00,0,0,0,,0,2,12
71,1987,1987-12-20,14,28.192,CIN,,NOR,L 24-41,10,35,3.50,1,1,12,12.00,0,0,0,,0,1,6
72,1989,1989-09-10,1,30.091,BUF,@,MIA,W 27-24,4,10,2.50,1,0,0,,0,0,0,,0,1,6
73,1989,1989-09-18,2,30.099,BUF,,DEN,L 14-28,2,0,0.00,1,1,14,14.00,0,0,0,,0,1,6
