ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result
1,1973,1973-11-18,10,22.009,GNB,@,NWE,L 24-33
2,1973,1973-11-26,11,22.017,GNB,@,SFO,L 6-20
3,1973,1973-12-02,12,22.023,GNB,,NOR,W 30-10
4,1973,1973-12-08,13,22.029,GNB,,MIN,L 7-31
5,1973,1973-12-16,14,22.037,GNB,@,CHI,W 21-0
6,1974,1974-09-15,1,22.310,GNB,,MIN,L 17-32
7,1974,1974-09-22,2,22.317,GNB,@,BAL,W 20-13
8,1974,1974-09-29,3,22.324,GNB,,DET,W 21-19
9,1974,1974-10-06,4,22.331,GNB,,BUF,L 7-27
10,1974,1974-10-13,5,22.338,GNB,,RAM,W 17-6
11,1974,1974-10-21,6,22.346,GNB,@,CHI,L 9-10
12,1974,1974-10-27,7,22.352,GNB,@,DET,L 17-19
13,1974,1974-11-03,8,22.359,GNB,,WAS,L 6-17
14,1974,1974-11-10,9,23.001,GNB,,CHI,W 20-3
15,1974,1974-11-17,10,23.008,GNB,@,MIN,W 19-7
16,1974,1974-11-24,11,23.015,GNB,,SDG,W 34-0
17,1974,1974-12-01,12,23.022,GNB,@,PHI,L 14-36
18,1974,1974-12-08,13,23.029,GNB,@,SFO,L 6-7
19,1974,1974-12-15,14,23.036,GNB,@,ATL,L 3-10
20,1975,1975-09-21,1,23.316,GNB,,DET,L 16-30
21,1975,1975-09-29,2,23.324,GNB,@,DEN,L 13-23
22,1975,1975-10-05,3,23.330,GNB,,MIA,L 7-31
23,1975,1975-10-12,4,23.337,GNB,@,NOR,L 19-20
24,1975,1975-10-19,5,23.344,GNB,@,DAL,W 19-17
25,1975,1975-10-26,6,23.351,GNB,,PIT,L 13-16
26,1975,1975-11-02,7,23.358,GNB,,MIN,L 17-28
27,1975,1975-11-09,8,24.000,GNB,@,CHI,L 14-27
28,1975,1975-11-16,9,24.007,GNB,@,DET,L 10-13
29,1975,1975-11-23,10,24.014,GNB,,NYG,W 40-14
30,1975,1975-11-30,11,24.021,GNB,,CHI,W 28-7
31,1975,1975-12-07,12,24.028,GNB,@,MIN,L 3-24
32,1975,1975-12-14,13,24.035,GNB,@,RAM,L 5-22
33,1975,1975-12-21,14,24.042,GNB,,ATL,W 22-13
34,1976,1976-09-12,1,24.308,GNB,,SFO,L 14-26
35,1976,1976-09-19,2,24.315,GNB,@,STL,L 0-29
36,1976,1976-09-26,3,24.322,GNB,@,CIN,L 7-28
37,1976,1976-10-03,4,24.329,GNB,,DET,W 24-14
38,1976,1976-10-10,5,24.336,GNB,,SEA,W 27-20
39,1976,1976-10-17,6,24.343,GNB,,PHI,W 28-13
40,1976,1976-10-24,7,24.350,GNB,@,OAK,L 14-18
41,1976,1976-10-31,8,24.357,GNB,@,DET,L 6-27
42,1976,1976-11-07,9,24.364,GNB,,NOR,W 32-27
43,1976,1976-11-14,10,25.005,GNB,@,CHI,L 13-24
44,1976,1976-11-21,11,25.012,GNB,,MIN,L 10-17
45,1976,1976-11-28,12,25.019,GNB,,CHI,L 10-16
46,1976,1976-12-05,13,25.026,GNB,@,MIN,L 9-20
47,1976,1976-12-12,14,25.033,GNB,@,ATL,W 24-20
48,1977,1977-09-18,1,25.313,GNB,@,NOR,W 24-20
49,1977,1977-09-25,2,25.320,GNB,,HOU,L 10-16
50,1977,1977-10-02,3,25.327,GNB,@,MIN,L 7-19
51,1977,1977-10-09,4,25.334,GNB,,CIN,L 7-17
52,1977,1977-10-16,5,25.341,GNB,@,DET,L 6-10
53,1977,1977-10-23,6,25.348,GNB,@,TAM,W 13-0
54,1977,1977-10-30,7,25.355,GNB,,CHI,L 0-26
55,1977,1977-11-06,8,25.362,GNB,@,KAN,L 10-20
56,1977,1977-11-13,9,26.004,GNB,,RAM,L 6-24
57,1977,1977-11-21,10,26.012,GNB,@,WAS,L 9-10
58,1977,1977-11-27,11,26.018,GNB,,MIN,L 6-13
59,1977,1977-12-04,12,26.025,GNB,,DET,W 10-9
60,1977,1977-12-11,13,26.032,GNB,@,CHI,L 10-21
61,1977,1977-12-18,14,26.039,GNB,,SFO,W 16-14
62,1978,1978-09-03,1,26.298,GNB,@,DET,W 13-7
63,1978,1978-09-10,2,26.305,GNB,,NOR,W 28-17
64,1978,1978-09-17,3,26.312,GNB,,OAK,L 3-28
65,1978,1978-09-24,4,26.319,GNB,@,SDG,W 24-3
66,1978,1978-10-01,5,26.326,GNB,,DET,W 35-14
67,1978,1978-10-08,6,26.333,GNB,,CHI,W 24-14
68,1978,1978-10-15,7,26.340,GNB,,SEA,W 45-28
69,1978,1978-10-22,8,26.347,GNB,@,MIN,L 7-21
70,1978,1978-10-29,9,26.354,GNB,,TAM,W 9-7
71,1978,1978-11-05,10,26.361,GNB,@,PHI,L 3-10
72,1978,1978-11-12,11,27.003,GNB,,DAL,L 14-42
73,1978,1978-11-19,12,27.010,GNB,@,DEN,L 3-16
74,1978,1978-11-26,13,27.017,GNB,,MIN,T 10-10
75,1978,1978-12-03,14,27.024,GNB,@,TAM,W 17-7
76,1978,1978-12-10,15,27.031,GNB,@,CHI,L 0-14
77,1978,1978-12-17,16,27.038,GNB,@,RAM,L 14-31
78,1979,1979-09-02,1,27.297,GNB,@,CHI,L 3-6
79,1979,1979-09-09,2,27.304,GNB,,NOR,W 28-19
80,1979,1979-09-16,3,27.311,GNB,,TAM,L 10-21
81,1979,1979-09-23,4,27.318,GNB,@,MIN,L 21-27
82,1979,1979-10-01,5,27.326,GNB,,NWE,W 27-14
83,1979,1979-10-07,6,27.332,GNB,@,ATL,L 7-25
84,1979,1979-10-14,7,27.339,GNB,,DET,W 24-16
85,1979,1979-10-21,8,27.346,GNB,@,TAM,L 3-21
86,1979,1979-10-28,9,27.353,GNB,@,MIA,L 7-27
87,1979,1979-11-04,10,27.360,GNB,,NYJ,L 22-27
88,1979,1979-11-11,11,28.002,GNB,,MIN,W 19-7
89,1979,1979-11-18,12,28.009,GNB,@,BUF,L 12-19
90,1979,1979-11-25,13,28.016,GNB,,PHI,L 10-21
91,1979,1979-12-02,14,28.023,GNB,@,WAS,L 21-38
92,1979,1979-12-09,15,28.030,GNB,,CHI,L 14-15
93,1979,1979-12-15,16,28.036,GNB,@,DET,W 18-13
94,1980,1980-09-07,1,28.303,GNB,,CHI,W 12-6
95,1980,1980-09-14,2,28.310,GNB,,DET,L 7-29
96,1980,1980-09-21,3,28.317,GNB,@,RAM,L 21-51
97,1980,1980-09-28,4,28.324,GNB,,DAL,L 7-28
98,1980,1980-10-05,5,28.331,GNB,,CIN,W 14-9
99,1980,1980-10-12,6,28.338,GNB,@,TAM,T 14-14
100,1980,1980-10-19,7,28.345,GNB,@,CLE,L 21-26
101,1980,1980-10-26,8,28.352,GNB,,MIN,W 16-3
102,1980,1980-11-02,9,28.359,GNB,@,PIT,L 20-22
103,1980,1980-11-09,10,29.000,GNB,,SFO,W 23-16
104,1980,1980-11-16,11,29.007,GNB,@,NYG,L 21-27
105,1980,1980-11-23,12,29.014,GNB,@,MIN,W 25-13
106,1980,1980-11-30,13,29.021,GNB,,TAM,L 17-20
107,1980,1980-12-07,14,29.028,GNB,@,CHI,L 7-61
108,1980,1980-12-14,15,29.035,GNB,,HOU,L 3-22
109,1980,1980-12-21,16,29.042,GNB,@,DET,L 3-24
110,1981,1981-09-06,1,29.301,GNB,@,CHI,W 16-9
111,1981,1981-09-13,2,29.308,GNB,,ATL,L 17-31
112,1981,1981-09-20,3,29.315,GNB,@,RAM,L 23-35
113,1981,1981-09-27,4,29.322,GNB,,MIN,L 13-30
114,1981,1981-10-04,5,29.329,GNB,@,NYG,W 27-14
115,1981,1981-10-11,6,29.336,GNB,,TAM,L 10-21
116,1981,1981-10-18,7,29.343,GNB,,SFO,L 3-13
117,1981,1981-10-25,8,29.350,GNB,@,DET,L 27-31
118,1981,1981-11-01,9,29.357,GNB,,SEA,W 34-24
119,1981,1981-11-08,10,29.364,GNB,,NYG,W 26-24
120,1981,1981-11-15,11,30.006,GNB,,CHI,W 21-17
121,1981,1981-11-22,12,30.013,GNB,@,TAM,L 3-37
122,1981,1981-11-29,13,30.020,GNB,@,MIN,W 35-23
123,1981,1981-12-06,14,30.027,GNB,,DET,W 31-17
124,1981,1981-12-13,15,30.034,GNB,@,NOR,W 35-7
125,1981,1981-12-20,16,30.041,GNB,@,NYJ,L 3-28
126,1982,1982-09-12,1,30.307,GNB,,RAM,W 35-23
127,1982,1982-09-20,2,30.315,GNB,@,NYG,W 27-19
128,1982,1982-11-21,3,31.012,GNB,,MIN,W 26-7
129,1982,1982-11-28,4,31.019,GNB,@,NYJ,L 13-15
130,1982,1982-12-05,5,31.026,GNB,,BUF,W 33-21
131,1982,1982-12-12,6,31.033,GNB,,DET,L 10-30
