ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td
1,1972,1972-09-17,1,22.125,ATL,@,CHI,W 37-21,,,,
2,1972,1972-09-24,2,22.132,ATL,@,NWE,L 20-21,,,,
3,1972,1972-10-01,3,22.139,ATL,,RAM,W 31-3,,,,
4,1972,1972-10-08,4,22.146,ATL,,DET,L 23-26,,,,
5,1972,1972-10-15,5,22.153,ATL,@,NOR,W 21-14,,,,
6,1972,1972-10-22,6,22.160,ATL,@,GNB,W 10-9,,,,
7,1972,1972-10-29,7,22.167,ATL,,SFO,L 14-49,,,,
8,1972,1972-11-05,8,22.174,ATL,@,RAM,L 7-20,,,,
9,1972,1972-11-12,9,22.181,ATL,,NOR,W 36-20,,,,
10,1972,1972-11-20,10,22.189,ATL,@,WAS,L 13-24,,,,
11,1972,1972-11-26,11,22.195,ATL,,DEN,W 23-20,,,,
12,1972,1972-12-03,12,22.202,ATL,,HOU,W 20-10,,,,
13,1972,1972-12-10,13,22.209,ATL,@,SFO,L 0-20,,,,
14,1972,1972-12-17,14,22.216,ATL,,KAN,L 14-17,,,,
15,1973,1973-09-16,1,23.124,ATL,@,NOR,W 62-7,,,,
16,1973,1973-09-23,2,23.131,ATL,@,RAM,L 0-31,,,,
17,1973,1973-10-01,3,23.139,ATL,@,DET,L 6-31,,,,
18,1973,1973-10-07,4,23.145,ATL,,SFO,L 9-13,,,,
19,1973,1973-10-14,5,23.152,ATL,,CHI,W 46-6,,,,
20,1973,1973-10-21,6,23.159,ATL,@,SDG,W 41-0,,,,
21,1973,1973-10-28,7,23.166,ATL,@,SFO,W 17-3,,,,
22,1973,1973-11-04,8,23.173,ATL,,RAM,W 15-13,,,,
23,1973,1973-11-11,9,23.180,ATL,@,PHI,W 44-27,1,17,17.00,0
24,1973,1973-11-19,10,23.188,ATL,,MIN,W 20-14,,,,
25,1973,1973-11-25,11,23.194,ATL,@,NYJ,W 28-20,,,,
26,1973,1973-12-02,12,23.201,ATL,,BUF,L 6-17,,,,
27,1973,1973-12-09,13,23.208,ATL,,STL,L 10-32,,,,
28,1973,1973-12-16,14,23.215,ATL,,NOR,W 14-10,1,13,13.00,0
29,1974,1974-09-15,1,24.123,ATL,,DAL,L 0-24,,,,
30,1974,1974-09-22,2,24.130,ATL,,SFO,L 10-16,,,,
31,1974,1974-09-29,3,24.137,ATL,@,NOR,L 13-14,,,,
32,1974,1974-10-06,4,24.144,ATL,@,NYG,W 14-7,,,,
33,1974,1974-10-13,5,24.151,ATL,,CHI,W 13-10,,,,
34,1974,1974-10-20,6,24.158,ATL,,NOR,L 3-13,,,,
35,1974,1974-10-28,7,24.166,ATL,@,PIT,L 17-24,,,,
36,1974,1974-11-03,8,24.172,ATL,@,MIA,L 7-42,,,,
37,1974,1974-11-10,9,24.179,ATL,@,RAM,L 0-21,,,,
38,1974,1974-11-17,10,24.186,ATL,,BAL,L 7-17,,,,
39,1974,1974-11-24,11,24.193,ATL,@,SFO,L 0-27,,,,
40,1974,1974-12-01,12,24.200,ATL,,RAM,L 7-30,,,,
41,1974,1974-12-07,13,24.206,ATL,@,MIN,L 10-23,,,,
42,1974,1974-12-15,14,24.214,ATL,,GNB,W 10-3,,,,
43,1976,1976-10-31,8,26.169,SDG,@,PIT,L 0-23,,,,
44,1976,1976-11-07,9,26.176,SDG,,BAL,L 21-37,,,,
45,1976,1976-11-14,10,26.183,SDG,,DEN,L 0-17,,,,
46,1976,1976-11-21,11,26.190,SDG,@,BUF,W 34-13,,,,
47,1976,1976-11-28,12,26.197,SDG,,KAN,L 20-23,,,,
48,1976,1976-12-05,13,26.204,SDG,,SFO,W 13-7,,,,
49,1976,1976-12-12,14,26.211,SDG,@,OAK,L 0-24,,,,
