ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs
1,2004,2004-09-26,3,22.202,STL,,NOR,L 25-28,
2,2004,2004-10-03,4,22.209,STL,@,SFO,W 24-14,
3,2004,2004-10-10,5,22.216,STL,@,SEA,W 33-27,
4,2004,2004-10-18,6,22.224,STL,,TAM,W 28-21,
5,2004,2004-10-24,7,22.230,STL,@,MIA,L 14-31,
6,2004,2004-11-07,8,22.244,STL,,NWE,L 22-40,
7,2004,2004-11-14,9,22.251,STL,,SEA,W 23-12,
8,2004,2004-11-21,10,22.258,STL,@,BUF,L 17-37,
9,2004,2004-11-29,11,22.266,STL,@,GNB,L 17-45,
10,2004,2004-12-05,12,22.272,STL,,SFO,W 16-6,
11,2004,2004-12-12,13,22.279,STL,@,CAR,L 7-20,
12,2004,2004-12-19,14,22.286,STL,@,ARI,L 7-31,*
13,2004,2004-12-27,15,22.294,STL,,PHI,W 20-7,
14,2004,2005-01-02,16,22.300,STL,,NYJ,W 32-29,
15,2005,2005-11-27,11,23.264,STL,@,HOU,W 33-27,
16,2005,2005-12-04,12,23.271,STL,,WAS,L 9-24,
17,2005,2005-12-11,13,23.278,STL,@,MIN,L 13-27,
18,2005,2005-12-18,14,23.285,STL,,PHI,L 16-17,
19,2005,2005-12-24,15,23.291,STL,,SFO,L 20-24,
20,2005,2006-01-01,16,23.299,STL,@,DAL,W 20-10,
21,2006,2006-09-10,1,24.186,STL,,DEN,W 18-10,
