ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2006,2006-09-10,1,23.125,CLE,,NOR,L 14-19,,0,0,0,,0,0.0%,,2,0,0.00,0,0,0,,0,0,0,0.0,,
2,2006,2006-09-17,2,23.132,CLE,@,CIN,L 17-34,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
3,2006,2006-09-24,3,23.139,CLE,,BAL,L 14-15,,1,1,29,29.00,0,100.0%,29.00,0,0,,0,0,0,,0,0,0,0.0,,
4,2006,2006-10-01,4,23.146,CLE,@,OAK,W 24-21,,0,0,0,,0,0.0%,,0,0,,0,1,16,16.00,0,0,0,0.0,,
5,2006,2006-10-08,5,23.153,CLE,@,CAR,L 12-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
6,2006,2006-10-22,6,23.167,CLE,,DEN,L 7-17,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
7,2006,2006-10-29,7,23.174,CLE,,NYJ,W 20-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
8,2006,2006-11-05,8,23.181,CLE,@,SDG,L 25-32,,0,0,0,,0,0.0%,,0,0,,0,1,22,22.00,0,0,0,0.0,,
9,2006,2006-11-12,9,23.188,CLE,@,ATL,W 17-13,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
10,2006,2006-11-19,10,23.195,CLE,,PIT,L 20-24,,1,1,12,12.00,0,100.0%,12.00,0,0,,0,1,12,12.00,0,0,0,0.0,,
11,2006,2006-11-26,11,23.202,CLE,,CIN,L 0-30,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
12,2006,2006-12-03,12,23.209,CLE,,KAN,W 31-28,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,,
13,2006,2006-12-07,13,23.213,CLE,@,PIT,L 7-27,,1,1,4,4.00,0,100.0%,4.00,1,2,2.00,0,1,19,19.00,0,0,0,0.0,,
14,2006,2006-12-17,14,23.223,CLE,@,BAL,L 17-27,*,2,2,9,4.50,0,100.0%,4.50,0,0,,0,1,15,15.00,0,0,0,0.0,,
15,2006,2006-12-24,15,23.230,CLE,,TAM,L 7-22,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
16,2006,2006-12-31,16,23.237,CLE,@,HOU,L 6-14,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,0,0.0,,
17,2007,2007-09-09,1,24.124,CLE,,PIT,L 7-34,*,2,2,7,3.50,1,100.0%,3.50,2,8,4.00,0,0,0,,0,1,6,0.0,,
18,2007,2007-09-16,2,24.131,CLE,,CIN,W 51-45,*,3,1,11,11.00,0,33.3%,3.67,1,0,0.00,0,0,0,,0,0,0,0.0,,
19,2007,2007-09-23,3,24.138,CLE,@,OAK,L 24-26,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,,
20,2007,2007-09-30,4,24.145,CLE,,BAL,W 27-13,*,2,0,0,,0,0.0%,0.00,1,6,6.00,0,0,0,,0,0,0,0.0,,
21,2007,2007-10-07,5,24.152,CLE,@,NWE,L 17-34,*,2,2,8,4.00,0,100.0%,4.00,1,4,4.00,0,0,0,,0,0,0,0.0,,
22,2007,2007-10-14,6,24.159,CLE,,MIA,W 41-31,*,1,1,6,6.00,0,100.0%,6.00,1,7,7.00,0,0,0,,0,0,0,0.0,,
23,2007,2007-10-28,7,24.173,CLE,@,STL,W 27-20,*,0,0,0,,0,0.0%,,1,3,3.00,0,0,0,,0,0,0,0.0,,
24,2007,2007-11-04,8,24.180,CLE,,SEA,W 33-30,*,3,3,17,5.67,0,100.0%,5.67,0,0,,0,0,0,,0,0,0,0.0,,
25,2007,2007-11-11,9,24.187,CLE,@,PIT,L 28-31,*,1,1,2,2.00,1,100.0%,2.00,0,0,,0,0,0,,0,1,6,0.0,,
26,2007,2007-11-18,10,24.194,CLE,@,BAL,W 33-30,*,0,0,0,,0,0.0%,,3,4,1.33,0,0,0,,0,0,0,0.0,,
27,2007,2007-11-25,11,24.201,CLE,,HOU,W 27-17,,2,0,0,,0,0.0%,0.00,1,0,0.00,0,0,0,,0,0,0,0.0,,
28,2007,2007-12-02,12,24.208,CLE,@,ARI,L 21-27,*,2,2,30,15.00,0,100.0%,15.00,1,2,2.00,0,0,0,,0,0,0,0.0,,
29,2007,2007-12-09,13,24.215,CLE,@,NYJ,W 24-18,*,1,1,10,10.00,0,100.0%,10.00,2,6,3.00,0,0,0,,0,0,0,0.0,,
30,2007,2007-12-16,14,24.222,CLE,,BUF,W 8-0,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,,
31,2007,2007-12-23,15,24.229,CLE,@,CIN,L 14-19,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,,
32,2007,2007-12-30,16,24.236,CLE,,SFO,W 20-7,,2,0,0,,0,0.0%,0.00,1,3,3.00,0,0,0,,0,0,0,0.0,,
33,2008,2008-09-07,1,25.122,CLE,,DAL,L 10-28,,,,,,,0.0%,,,,,,,,,,,,,,
34,2008,2008-09-14,2,25.129,CLE,,PIT,L 6-10,*,1,1,3,3.00,0,100.0%,3.00,1,2,2.00,0,0,0,,0,0,0,0.0,0,0
35,2008,2008-09-21,3,25.136,CLE,@,BAL,L 10-28,,3,2,21,10.50,0,66.7%,7.00,1,4,4.00,0,0,0,,0,0,0,0.0,0,0
36,2008,2008-09-28,4,25.143,CLE,@,CIN,W 20-12,*,1,1,8,8.00,0,100.0%,8.00,1,6,6.00,0,0,0,,0,0,0,0.0,0,0
37,2008,2008-10-13,5,25.158,CLE,,NYG,W 35-14,*,0,0,0,,0,0.0%,,1,2,2.00,0,0,0,,0,0,0,0.0,0,0
38,2008,2008-10-19,6,25.164,CLE,@,WAS,L 11-14,*,1,1,6,6.00,0,100.0%,6.00,1,2,2.00,0,0,0,,0,0,0,0.0,0,0
39,2008,2008-10-26,7,25.171,CLE,@,JAX,W 23-17,,2,1,13,13.00,0,50.0%,6.50,2,10,5.00,0,0,0,,0,0,0,0.0,0,0
40,2008,2008-11-23,11,25.199,CLE,,HOU,L 6-16,*,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,0,0.0,0,0
41,2008,2008-11-30,12,25.206,CLE,,IND,L 6-10,,1,1,3,3.00,0,100.0%,3.00,1,2,2.00,0,0,0,,0,0,0,0.0,0,0
42,2008,2008-12-07,13,25.213,CLE,@,TEN,L 9-28,*,1,1,-1,-1.00,0,100.0%,-1.00,1,1,1.00,0,0,0,,0,0,0,0.0,0,0
43,2008,2008-12-15,14,25.221,CLE,@,PHI,L 10-30,*,4,1,21,21.00,0,25.0%,5.25,0,0,,0,0,0,,0,0,0,0.0,0,0
44,2008,2008-12-28,16,25.234,CLE,@,PIT,L 0-31,*,0,0,0,,0,0.0%,,1,2,2.00,0,0,0,,0,0,0,0.0,0,1
45,2009,2009-09-13,1,26.128,CLE,,MIN,L 20-34,,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,0,0,0.0,0,0
46,2009,2009-09-20,2,26.135,CLE,@,DEN,L 6-27,,1,,,,,0.0%,,,,,,,,,,,,,,
47,2009,2009-09-27,3,26.142,CLE,@,BAL,L 3-34,,1,1,-5,-5.00,0,100.0%,-5.00,0,0,,0,1,0,0.00,0,0,0,0.0,0,0
48,2009,2009-10-04,4,26.149,CLE,,CIN,L 20-23,,,,,,,0.0%,,,,,,,,,,,,,,
49,2009,2009-10-11,5,26.156,CLE,@,BUF,W 6-3,*,1,,,,,0.0%,,,,,,,,,,,,,,
50,2009,2009-10-18,6,26.163,CLE,@,PIT,L 14-27,*,1,1,1,1.00,1,100.0%,1.00,0,0,,0,0,0,,0,1,6,0.0,0,0
51,2009,2009-10-25,7,26.170,CLE,,GNB,L 3-31,*,4,1,10,10.00,0,25.0%,2.50,0,0,,0,0,0,,0,0,0,0.0,0,0
52,2009,2009-11-01,8,26.177,CLE,@,CHI,L 6-30,*,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0,0,,0,0,0,0.0,0,0
53,2009,2009-11-16,9,26.192,CLE,,BAL,L 0-16,*,2,1,-2,-2.00,0,50.0%,-1.00,0,0,,0,0,0,,0,0,0,0.0,0,0
54,2009,2009-11-22,10,26.198,CLE,@,DET,L 37-38,,0,,,,,0.0%,,,,,,,,,,,,,,
55,2009,2009-11-29,11,26.205,CLE,@,CIN,L 7-16,*,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,0,0,0.0,0,0
56,2009,2009-12-06,12,26.212,CLE,,SDG,L 23-30,,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,,0,0,0,0.0,0,0
57,2009,2009-12-10,13,26.216,CLE,,PIT,W 13-6,,1,,,,,0.0%,,,,,,,,,,,,,,
58,2009,2009-12-20,14,26.226,CLE,@,KAN,W 41-34,*,,,,,,0.0%,,,,,,,,,,,,,,
59,2009,2009-12-27,15,26.233,CLE,,OAK,W 23-9,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,1,0
60,2009,2010-01-03,16,26.240,CLE,,JAX,W 23-17,*,,,,,,0.0%,,,,,,,,,,,,,,
61,2010,2010-09-12,1,27.127,CLE,@,TAM,L 14-17,*,,,,,,0.0%,,,,,,,,,,,,,,
62,2010,2010-09-19,2,27.134,CLE,,KAN,L 14-16,,0,0,0,,0,0.0%,,0,0,,0,1,3,3.00,0,0,0,0.0,0,0
63,2010,2010-09-26,3,27.141,CLE,@,BAL,L 17-24,,1,1,0,0.00,0,100.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0
64,2010,2010-10-03,4,27.148,CLE,,CIN,W 23-20,,,,,,,0.0%,,,,,,,,,,,,,,
65,2010,2010-10-10,5,27.155,CLE,,ATL,L 10-20,,1,1,10,10.00,0,100.0%,10.00,1,3,3.00,0,0,0,,0,0,0,0.0,0,0
66,2010,2010-10-17,6,27.162,CLE,@,PIT,L 10-28,,1,1,1,1.00,0,100.0%,1.00,0,0,,0,1,10,10.00,0,0,0,0.0,0,0
67,2010,2010-10-24,7,27.169,CLE,@,NOR,W 30-17,,3,1,4,4.00,0,33.3%,1.33,0,0,,0,0,0,,0,0,0,0.0,0,0
68,2010,2010-11-07,8,27.183,CLE,,NWE,W 34-14,*,0,0,0,,0,0.0%,,3,6,2.00,0,0,0,,0,0,0,0.0,0,0
69,2010,2010-11-14,9,27.190,CLE,,NYJ,L 20-26,,1,,,,,0.0%,,,,,,,,,,,,,,
70,2010,2010-11-21,10,27.197,CLE,@,JAX,L 20-24,,,,,,,0.0%,,,,,,,,,,,,,,
71,2010,2010-11-28,11,27.204,CLE,,CAR,W 24-23,,2,,,,,0.0%,,,,,,,,,,,,,,
72,2010,2010-12-05,12,27.211,CLE,@,MIA,W 13-10,,,,,,,0.0%,,,,,,,,,,,,,,
73,2010,2010-12-12,13,27.218,CLE,@,BUF,L 6-13,*,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0
74,2010,2010-12-19,14,27.225,CLE,@,CIN,L 17-19,*,,,,,,0.0%,,,,,,,,,,,,,,
75,2010,2010-12-26,15,27.232,CLE,,BAL,L 10-20,,0,0,0,,0,0.0%,,1,2,2.00,0,0,0,,0,0,0,0.0,0,0
76,2010,2011-01-02,16,27.239,CLE,,PIT,L 9-41,,,,,,,0.0%,,,,,,,,,,,,,,
77,2011,2011-09-11,1,28.126,HOU,,IND,W 34-7,,,,,,,0.0%,,,,,,,,,,,,,,
78,2011,2011-09-18,2,28.133,HOU,@,MIA,W 23-13,,,,,,,0.0%,,,,,,,,,,,,,,
