ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2013,2013-09-29,4,21.223,PIT,@,MIN,L 27-34,*,16,57,3.56,2,5,4,27,6.75,0,80.0%,5.40,0,0,,0,0,0,,0,0,,,,2,12,0.0,0,0
2,2013,2013-10-13,5,21.237,PIT,@,NYJ,W 19-6,*,16,34,2.13,0,3,3,22,7.33,0,100.0%,7.33,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
3,2013,2013-10-20,6,21.244,PIT,,BAL,W 19-16,*,19,93,4.89,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
4,2013,2013-10-27,7,21.251,PIT,@,OAK,L 18-21,*,13,24,1.85,1,7,5,27,5.40,0,71.4%,3.86,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
5,2013,2013-11-03,8,21.258,PIT,@,NWE,L 31-55,*,16,74,4.63,0,10,4,65,16.25,0,40.0%,6.50,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
6,2013,2013-11-10,9,21.265,PIT,,BUF,W 23-10,*,22,57,2.59,1,3,3,39,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
7,2013,2013-11-17,10,21.272,PIT,,DET,W 37-27,*,18,36,2.00,0,5,4,52,13.00,0,80.0%,10.40,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
8,2013,2013-11-24,11,21.279,PIT,@,CLE,W 27-11,*,23,80,3.48,0,5,2,18,9.00,0,40.0%,3.60,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
9,2013,2013-11-28,12,21.283,PIT,@,BAL,L 20-22,*,16,73,4.56,1,9,7,63,9.00,0,77.8%,7.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
10,2013,2013-12-08,13,21.293,PIT,,MIA,L 28-34,*,15,61,4.07,0,9,5,19,3.80,0,55.6%,2.11,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
11,2013,2013-12-15,14,21.300,PIT,,CIN,W 30-20,*,24,57,2.38,1,5,5,50,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
12,2013,2013-12-22,15,21.307,PIT,@,GNB,W 38-31,*,26,124,4.77,1,3,1,5,5.00,0,33.3%,1.67,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
13,2013,2013-12-29,16,21.314,PIT,,CLE,W 20-7,*,20,90,4.50,1,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
14,2014,2014-09-07,1,22.201,PIT,,CLE,W 30-27,*,21,109,5.19,1,7,6,88,14.67,0,85.7%,12.57,0,0,,0,0,0,,0,0,,,,1,6,0.0,1,0
15,2014,2014-09-11,2,22.205,PIT,@,BAL,L 6-26,*,11,59,5.36,0,5,5,48,9.60,0,100.0%,9.60,0,0,,0,0,0,,0,0,,,,0,0,0.0,1,0
16,2014,2014-09-21,3,22.215,PIT,@,CAR,W 37-19,*,21,147,7.00,0,4,2,10,5.00,0,50.0%,2.50,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
17,2014,2014-09-28,4,22.222,PIT,,TAM,L 24-27,*,19,63,3.32,0,7,6,46,7.67,0,85.7%,6.57,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
18,2014,2014-10-05,5,22.229,PIT,@,JAX,W 17-9,*,15,82,5.47,0,6,5,36,7.20,0,83.3%,6.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
19,2014,2014-10-12,6,22.236,PIT,@,CLE,L 10-31,*,18,82,4.56,0,6,4,23,5.75,0,66.7%,3.83,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
20,2014,2014-10-20,7,22.244,PIT,,HOU,W 30-23,*,12,57,4.75,0,8,8,88,11.00,1,100.0%,11.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
21,2014,2014-10-26,8,22.250,PIT,,IND,W 51-34,*,24,92,3.83,0,7,6,56,9.33,0,85.7%,8.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
22,2014,2014-11-02,9,22.257,PIT,,BAL,W 43-23,*,10,20,2.00,0,6,5,38,7.60,1,83.3%,6.33,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
23,2014,2014-11-09,10,22.264,PIT,@,NYJ,L 13-20,*,11,36,3.27,0,10,8,33,4.13,0,80.0%,3.30,0,0,,0,0,0,,0,0,,,,0,0,0.0,1,0
24,2014,2014-11-17,11,22.272,PIT,@,TEN,W 27-24,*,33,204,6.18,1,4,2,18,9.00,0,50.0%,4.50,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
25,2014,2014-11-30,12,22.285,PIT,,NOR,L 32-35,*,21,95,4.52,1,11,8,159,19.88,0,72.7%,14.45,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
26,2014,2014-12-07,13,22.292,PIT,@,CIN,W 42-21,*,26,185,7.12,2,9,6,50,8.33,1,66.7%,5.56,0,0,,0,0,0,,0,0,,,,3,18,0.0,0,0
27,2014,2014-12-14,14,22.299,PIT,@,ATL,W 27-20,*,20,47,2.35,2,7,5,72,14.40,0,71.4%,10.29,0,0,,0,0,0,,0,0,,,,2,12,0.0,0,0
28,2014,2014-12-21,15,22.306,PIT,,KAN,W 20-12,*,20,63,3.15,1,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
29,2014,2014-12-28,16,22.313,PIT,,CIN,W 27-17,*,8,20,2.50,0,6,6,80,13.33,0,100.0%,13.33,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
30,2015,2015-09-27,3,23.221,PIT,@,STL,W 12-6,*,19,62,3.26,1,8,7,70,10.00,0,87.5%,8.75,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
31,2015,2015-10-01,4,23.225,PIT,,BAL,L 20-23,*,22,129,5.86,1,7,7,21,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
32,2015,2015-10-12,5,23.236,PIT,@,SDG,W 24-20,*,21,111,5.29,1,5,4,16,4.00,0,80.0%,3.20,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0
33,2015,2015-10-18,6,23.242,PIT,,ARI,W 25-13,*,24,88,3.67,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
34,2015,2015-10-25,7,23.249,PIT,@,KAN,L 13-23,*,17,121,7.12,0,4,4,16,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
35,2015,2015-11-01,8,23.256,PIT,,CIN,L 10-16,*,10,45,4.50,0,2,2,13,6.50,0,100.0%,6.50,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0
