ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result
1,1974,1974-09-15,1,22.320,GNB,,MIN,L 17-32
2,1974,1974-09-22,2,22.327,GNB,@,BAL,W 20-13
3,1974,1974-09-29,3,22.334,GNB,,DET,W 21-19
4,1974,1974-10-06,4,22.341,GNB,,BUF,L 7-27
5,1974,1974-10-13,5,22.348,GNB,,RAM,W 17-6
6,1974,1974-10-21,6,22.356,GNB,@,CHI,L 9-10
7,1974,1974-10-27,7,22.362,GNB,@,DET,L 17-19
8,1974,1974-11-03,8,23.004,GNB,,WAS,L 6-17
9,1974,1974-11-10,9,23.011,GNB,,CHI,W 20-3
10,1974,1974-11-17,10,23.018,GNB,@,MIN,W 19-7
11,1974,1974-11-24,11,23.025,GNB,,SDG,W 34-0
12,1974,1974-12-01,12,23.032,GNB,@,PHI,L 14-36
13,1974,1974-12-15,14,23.046,GNB,@,ATL,L 3-10
