ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1977,1977-09-18,1,23.005,CHI,,DET,W 30-20,,,,,,,,,,,,,
2,1977,1977-09-25,2,23.012,CHI,@,STL,L 13-16,,,,,,,,,,,,,
3,1977,1977-10-02,3,23.019,CHI,,NOR,L 24-42,1,0,0.00,0,0,0,,0,0,0,0,0,0
4,1977,1977-10-10,4,23.027,CHI,,RAM,W 24-23,,,,,,,,,,,,,
5,1977,1977-10-16,5,23.033,CHI,@,MIN,L 16-22,,,,,,,,,,,,,
6,1977,1977-10-23,6,23.040,CHI,,ATL,L 10-16,,,,,,,,,,,,,
7,1977,1977-10-30,7,23.047,CHI,@,GNB,W 26-0,0,0,,0,1,14,14.00,0,0,0,0,0,0
8,1977,1977-11-06,8,23.054,CHI,@,HOU,L 0-47,,,,,,,,,,,,,
9,1977,1977-11-13,9,23.061,CHI,,KAN,W 28-27,,,,,,,,,,,,,
10,1977,1977-11-20,10,23.068,CHI,,MIN,W 10-7,,,,,,,,,,,,,
11,1977,1977-11-24,11,23.072,CHI,@,DET,W 31-14,,,,,,,,,,,,,
12,1977,1977-12-04,12,23.082,CHI,@,TAM,W 10-0,,,,,,,,,,,,,
13,1977,1977-12-11,13,23.089,CHI,,GNB,W 21-10,1,22,22.00,0,2,18,9.00,0,0,0,0,0,0
14,1977,1977-12-18,14,23.096,CHI,@,NYG,W 12-9,1,37,37.00,0,3,27,9.00,0,0,0,0,0,0
15,1978,1978-09-03,1,23.355,CHI,,STL,W 17-10,0,0,,0,1,11,11.00,0,0,0,0,0,0
16,1978,1978-09-10,2,23.362,CHI,@,SFO,W 16-13,,,,,,,,,,,,,
17,1978,1978-09-17,3,24.004,CHI,@,DET,W 19-0,,,,,,,,,,,,,
18,1978,1978-09-25,4,24.012,CHI,,MIN,L 20-24,2,49,24.50,0,0,0,,0,0,0,0,0,0
19,1978,1978-10-01,5,24.018,CHI,,OAK,L 19-25,2,114,57.00,0,0,0,,0,0,0,0,0,0
20,1978,1978-10-08,6,24.025,CHI,@,GNB,L 14-24,2,39,19.50,0,1,7,7.00,0,0,0,0,0,0
21,1978,1978-10-16,7,24.033,CHI,@,DEN,L 7-16,2,50,25.00,0,0,0,,0,0,0,0,0,0
22,1978,1978-10-22,8,24.039,CHI,@,TAM,L 19-33,2,52,26.00,0,1,6,6.00,0,0,0,0,0,0
23,1978,1978-11-12,11,24.060,CHI,@,MIN,L 14-17,,,,,,,,,,,,,
24,1978,1978-11-19,12,24.067,CHI,,ATL,W 13-7,0,0,,0,0,0,,0,0,0,1,0,0
25,1978,1978-11-26,13,24.074,CHI,,TAM,W 14-3,,,,,,,,,,,,,
26,1978,1978-12-04,14,24.082,CHI,@,SDG,L 7-40,,,,,,,,,,,,,
27,1978,1978-12-10,15,24.088,CHI,,GNB,W 14-0,1,31,31.00,0,0,0,,0,0,0,0,0,0
28,1978,1978-12-16,16,24.094,CHI,@,WAS,W 14-10,,,,,,,,,,,,,
29,1979,1979-09-02,1,24.354,CHI,,GNB,W 6-3,0,0,,0,5,34,6.80,0,0,0,0,0,0
30,1979,1979-09-09,2,24.361,CHI,,MIN,W 26-7,,,,,,,,,,,,,
31,1979,1979-09-16,3,25.003,CHI,@,DAL,L 20-24,,,,,,,,,,,,,
32,1979,1979-09-23,4,25.010,CHI,@,MIA,L 16-31,,,,,,,,,,,,,
33,1979,1979-09-30,5,25.017,CHI,,TAM,L 13-17,2,35,17.50,0,0,0,,0,0,0,0,0,0
34,1979,1979-10-07,6,25.024,CHI,@,BUF,W 7-0,0,0,,0,0,0,,0,0,0,1,15,0
