ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2005,2005-09-11,1,22.353,SEA,@,JAX,L 14-26,,,,,,,,,,,0.0%,,,,,,,,,,
2,2005,2005-09-18,2,22.360,SEA,,ATL,W 21-18,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
3,2005,2005-09-25,3,23.002,SEA,,ARI,W 37-12,,2,8,4.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
4,2005,2005-10-02,4,23.009,SEA,@,WAS,L 17-20,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
5,2005,2005-10-09,5,23.016,SEA,@,STL,W 37-31,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
6,2005,2005-10-16,6,23.023,SEA,,HOU,W 42-10,,5,21,4.20,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
7,2005,2005-10-23,7,23.030,SEA,,DAL,W 13-10,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
8,2005,2005-11-06,8,23.044,SEA,@,ARI,W 33-19,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
9,2005,2005-11-13,9,23.051,SEA,,STL,W 31-16,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
10,2005,2005-11-20,10,23.058,SEA,@,SFO,W 27-25,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
11,2005,2005-11-27,11,23.065,SEA,,NYG,W 24-21,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
12,2005,2005-12-05,12,23.073,SEA,@,PHI,W 42-0,,5,10,2.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,,
13,2005,2005-12-11,13,23.079,SEA,,SFO,W 41-3,,5,41,8.20,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
14,2005,2005-12-18,14,23.086,SEA,@,TEN,W 28-24,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
15,2005,2005-12-24,15,23.092,SEA,,IND,W 28-13,,0,0,,0,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0,0,0.0,,
16,2005,2006-01-01,16,23.100,SEA,@,GNB,L 17-23,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
17,2007,2007-09-09,1,24.351,SEA,,TAM,W 20-6,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
18,2007,2007-09-16,2,24.358,SEA,@,ARI,L 20-23,,1,6,6.00,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,0.0,,
19,2007,2007-09-23,3,25.000,SEA,,CIN,W 24-21,,1,3,3.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,,
20,2007,2007-09-30,4,25.007,SEA,@,SFO,W 23-3,*,3,6,2.00,0,4,4,26,6.50,0,100.0%,6.50,0,0,,0,0,0,0.0,,
21,2007,2007-10-07,5,25.014,SEA,@,PIT,L 0-21,,1,2,2.00,0,3,2,3,1.50,0,66.7%,1.00,0,0,,0,0,0,0.0,,
22,2007,2007-10-14,6,25.021,SEA,,NOR,L 17-28,,3,40,13.33,0,5,4,53,13.25,0,80.0%,10.60,0,0,,0,0,0,0.0,,
23,2007,2007-10-21,7,25.028,SEA,,STL,W 33-6,*,3,11,3.67,0,3,3,37,12.33,0,100.0%,12.33,0,0,,0,0,0,0.0,,
24,2007,2007-11-04,8,25.042,SEA,@,CLE,L 30-33,,1,1,1.00,0,3,2,11,5.50,0,66.7%,3.67,0,0,,0,0,0,0.0,,
25,2007,2007-11-12,9,25.050,SEA,,SFO,W 24-0,,2,3,1.50,0,5,2,22,11.00,0,40.0%,4.40,0,0,,0,0,0,0.0,,
26,2007,2007-11-18,10,25.056,SEA,,CHI,W 30-23,,2,11,5.50,0,5,4,23,5.75,0,80.0%,4.60,0,0,,0,0,0,0.0,,
27,2007,2007-11-25,11,25.063,SEA,@,STL,W 24-19,,1,5,5.00,1,1,0,0,,0,0.0%,0.00,0,0,,0,1,6,0.0,,
28,2007,2007-12-02,12,25.070,SEA,@,PHI,W 28-24,*,2,7,3.50,0,4,3,5,1.67,0,75.0%,1.25,0,0,,0,0,0,0.0,,
29,2007,2007-12-09,13,25.077,SEA,,ARI,W 42-21,,1,3,3.00,0,5,4,56,14.00,0,80.0%,11.20,0,0,,0,0,0,0.0,,
