ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs
1,2007,2007-11-19,10,23.166,TEN,@,DEN,L 20-34,
2,2007,2007-11-25,11,23.172,TEN,@,CIN,L 6-35,
3,2007,2007-12-02,12,23.179,TEN,,HOU,W 28-20,
4,2007,2007-12-23,15,23.200,TEN,,NYJ,W 10-6,
5,2007,2007-12-30,16,23.207,TEN,@,IND,W 16-10,
6,2008,2008-09-07,1,24.093,TEN,,JAX,W 17-10,
7,2008,2008-09-14,2,24.100,TEN,@,CIN,W 24-7,
8,2008,2008-09-21,3,24.107,TEN,,HOU,W 31-12,
9,2008,2008-09-28,4,24.114,TEN,,MIN,W 30-17,
10,2008,2008-10-05,5,24.121,TEN,@,BAL,W 13-10,
11,2008,2008-10-19,6,24.135,TEN,@,KAN,W 34-10,
12,2008,2008-10-27,7,24.143,TEN,,IND,W 31-21,
13,2008,2008-11-02,8,24.149,TEN,,GNB,W 19-16,
14,2008,2008-11-09,9,24.156,TEN,@,CHI,W 21-14,
15,2008,2008-11-16,10,24.163,TEN,@,JAX,W 24-14,
16,2008,2008-11-23,11,24.170,TEN,,NYJ,L 13-34,
17,2008,2008-11-27,12,24.174,TEN,@,DET,W 47-10,
18,2008,2008-12-07,13,24.184,TEN,,CLE,W 28-9,
19,2008,2008-12-14,14,24.191,TEN,@,HOU,L 12-13,
20,2008,2008-12-21,15,24.198,TEN,,PIT,W 31-14,
21,2008,2008-12-28,16,24.205,TEN,@,IND,L 0-23,*
22,2009,2009-09-10,1,25.096,TEN,@,PIT,L 10-13,
23,2009,2009-09-20,2,25.106,TEN,,HOU,L 31-34,
24,2009,2009-09-27,3,25.113,TEN,@,NYJ,L 17-24,*
25,2009,2009-10-04,4,25.120,TEN,@,JAX,L 17-37,
26,2009,2009-10-11,5,25.127,TEN,,IND,L 9-31,
27,2009,2009-11-01,7,25.148,TEN,,JAX,W 30-13,
28,2009,2009-11-08,8,25.155,TEN,@,SFO,W 34-27,*
29,2009,2009-11-15,9,25.162,TEN,,BUF,W 41-17,
30,2009,2009-11-23,10,25.170,TEN,@,HOU,W 20-17,
31,2009,2009-11-29,11,25.176,TEN,,ARI,W 20-17,
32,2009,2009-12-06,12,25.183,TEN,@,IND,L 17-27,
33,2009,2009-12-13,13,25.190,TEN,,STL,W 47-7,
34,2009,2009-12-20,14,25.197,TEN,,MIA,W 27-24,
35,2009,2009-12-25,15,25.202,TEN,,SDG,L 17-42,
36,2009,2010-01-03,16,25.211,TEN,@,SEA,W 17-13,
37,2010,2010-09-12,1,26.098,TEN,,OAK,W 38-13,*
38,2010,2010-09-19,2,26.105,TEN,,PIT,L 11-19,*
39,2010,2010-09-26,3,26.112,TEN,@,NYG,W 29-10,*
40,2010,2010-10-03,4,26.119,TEN,,DEN,L 20-26,*
41,2010,2010-10-18,6,26.134,TEN,@,JAX,W 30-3,*
42,2010,2010-10-24,7,26.140,TEN,,PHI,W 37-19,*
43,2010,2010-10-31,8,26.147,TEN,@,SDG,L 25-33,*
44,2010,2010-11-14,9,26.161,TEN,@,MIA,L 17-29,*
45,2010,2010-11-21,10,26.168,TEN,,WAS,L 16-19,*
46,2010,2010-11-28,11,26.175,TEN,@,HOU,L 0-20,*
47,2010,2010-12-05,12,26.182,TEN,,JAX,L 6-17,*
48,2010,2010-12-09,13,26.186,TEN,,IND,L 28-30,*
49,2010,2010-12-19,14,26.196,TEN,,HOU,W 31-17,*
50,2010,2010-12-26,15,26.203,TEN,@,KAN,L 14-34,*
51,2010,2011-01-02,16,26.210,TEN,@,IND,L 20-23,*
52,2011,2011-09-11,1,27.097,TEN,@,JAX,L 14-16,*
53,2011,2011-09-18,2,27.104,TEN,,BAL,W 26-13,*
54,2011,2011-09-25,3,27.111,TEN,,DEN,W 17-14,*
55,2011,2011-10-02,4,27.118,TEN,@,CLE,W 31-13,*
56,2011,2011-10-09,5,27.125,TEN,@,PIT,L 17-38,*
57,2011,2011-10-23,6,27.139,TEN,,HOU,L 7-41,*
58,2011,2011-10-30,7,27.146,TEN,,IND,W 27-10,*
59,2011,2011-11-06,8,27.153,TEN,,CIN,L 17-24,*
60,2011,2011-11-13,9,27.160,TEN,@,CAR,W 30-3,*
61,2011,2011-11-20,10,27.167,TEN,@,ATL,L 17-23,*
62,2011,2011-11-27,11,27.174,TEN,,TAM,W 23-17,*
63,2011,2011-12-04,12,27.181,TEN,@,BUF,W 23-17,*
64,2011,2011-12-11,13,27.188,TEN,,NOR,L 17-22,*
65,2011,2011-12-18,14,27.195,TEN,@,IND,L 13-27,*
66,2011,2011-12-24,15,27.201,TEN,,JAX,W 23-17,*
67,2011,2012-01-01,16,27.209,TEN,@,HOU,W 23-22,*
68,2012,2012-09-09,1,28.095,TEN,,NWE,L 13-34,*
69,2012,2012-09-16,2,28.102,TEN,@,SDG,L 10-38,*
70,2012,2012-09-23,3,28.109,TEN,,DET,W 44-41,*
71,2012,2012-09-30,4,28.116,TEN,@,HOU,L 14-38,*
72,2012,2012-10-07,5,28.123,TEN,@,MIN,L 7-30,*
73,2012,2012-10-11,6,28.127,TEN,,PIT,W 26-23,*
74,2012,2012-10-21,7,28.137,TEN,@,BUF,W 35-34,*
75,2012,2012-10-28,8,28.144,TEN,,IND,L 13-19,*
76,2013,2013-12-29,16,29.206,DET,@,MIN,L 13-14,
