ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1980,1980-09-07,1,23.234,RAM,,DET,L 20-41,,,,,,,,,
2,1980,1980-09-11,2,23.238,RAM,@,TAM,L 9-10,,,,,,,,,
3,1980,1980-09-21,3,23.248,RAM,,GNB,W 51-21,,,,,,,,,
4,1980,1980-09-28,4,23.255,RAM,@,NYG,W 28-7,,,,,,,,,
5,1980,1980-10-05,5,23.262,RAM,,SFO,W 48-26,,,,,,,,,
6,1980,1980-10-12,6,23.269,RAM,@,STL,W 21-13,,,,,,,,,
7,1980,1980-10-19,7,23.276,RAM,@,SFO,W 31-17,,,,,,,,,
8,1980,1980-10-26,8,23.283,RAM,@,ATL,L 10-13,,,,,,,,,
9,1980,1980-11-02,9,23.290,RAM,,NOR,W 45-31,,,,,,,,,
10,1980,1980-11-09,10,23.297,RAM,,MIA,L 14-35,,,,,,,,,
11,1980,1980-11-16,11,23.304,RAM,@,NWE,W 17-14,,,,,,,,,
12,1980,1980-11-24,12,23.312,RAM,@,NOR,W 27-7,,,,,,,,,
13,1980,1980-11-30,13,23.318,RAM,,NYJ,W 38-13,,,,,,,,,
14,1980,1980-12-07,14,23.325,RAM,@,BUF,L 7-10,,,,,,,,,
15,1980,1980-12-15,15,23.333,RAM,,DAL,W 38-14,,,,,,,,,
16,1980,1980-12-21,16,23.339,RAM,,ATL,W 20-17,,,,,,,,,
17,1981,1981-09-06,1,24.232,RAM,,HOU,L 20-27,,,,,,,,,
18,1981,1981-09-13,2,24.239,RAM,@,NOR,L 17-23,,,,,,,,,
19,1981,1981-09-20,3,24.246,RAM,,GNB,W 35-23,,,,,,,,,
20,1981,1981-09-28,4,24.254,RAM,@,CHI,W 24-7,,,,,,,,,
21,1981,1981-10-04,5,24.260,RAM,,CLE,W 27-16,,,,,,,,,
22,1981,1981-10-11,6,24.267,RAM,@,ATL,W 37-35,,,,,,,,,
23,1981,1981-10-18,7,24.274,RAM,@,DAL,L 17-29,,,,,,,,,
