ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,sacks,def_int,def_int_yds,def_int_td
1,1978,1978-09-03,1,22.201,BUF,,PIT,L 17-28,,,,
2,1978,1978-09-10,2,22.208,BUF,,NYJ,L 20-21,,,,
3,1978,1978-09-17,3,22.215,BUF,@,MIA,L 24-31,,,,
4,1978,1978-09-24,4,22.222,BUF,,BAL,W 24-17,,,,
5,1978,1978-10-01,5,22.229,BUF,,KAN,W 28-13,,,,
6,1978,1978-10-08,6,22.236,BUF,@,NYJ,L 14-45,,,,
7,1978,1978-10-15,7,22.243,BUF,@,HOU,L 10-17,,,,
8,1978,1978-10-22,8,22.250,BUF,,CIN,W 5-0,,,,
9,1978,1978-10-29,9,22.257,BUF,@,CLE,L 20-41,,,,
10,1978,1978-11-05,10,22.264,BUF,,NWE,L 10-14,,,,
11,1978,1978-11-12,11,22.271,BUF,,MIA,L 24-25,,,,
12,1978,1978-11-19,12,22.278,BUF,@,TAM,L 10-31,,,,
13,1978,1978-11-26,13,22.285,BUF,,NYG,W 41-17,0.0,1,41,0
14,1978,1978-12-03,14,22.292,BUF,@,KAN,L 10-14,,,,
15,1978,1978-12-10,15,22.299,BUF,@,NWE,L 24-26,,,,
16,1978,1978-12-17,16,22.306,BUF,@,BAL,W 21-14,,,,
17,1979,1979-09-02,1,23.200,BUF,,MIA,L 7-9,0.0,1,19,0
18,1979,1979-09-09,2,23.207,BUF,,CIN,W 51-24,0.0,1,25,0
19,1979,1979-09-16,3,23.214,BUF,@,SDG,L 19-27,,,,
20,1979,1979-09-23,4,23.221,BUF,,NYJ,W 46-31,,,,
21,1979,1979-09-30,5,23.228,BUF,@,BAL,W 31-13,,,,
22,1979,1979-10-07,6,23.235,BUF,,CHI,L 0-7,,,,
23,1979,1979-10-14,7,23.242,BUF,@,MIA,L 7-17,,,,
24,1979,1979-10-21,8,23.249,BUF,,BAL,L 13-14,,,,
25,1979,1979-10-28,9,23.256,BUF,@,DET,W 20-17,,,,
26,1979,1979-11-04,10,23.263,BUF,,NWE,L 6-26,,,,
27,1979,1979-11-11,11,23.270,BUF,@,NYJ,W 14-12,,,,
28,1979,1979-11-18,12,23.277,BUF,,GNB,W 19-12,,,,
29,1979,1979-11-25,13,23.284,BUF,@,NWE,W 16-13,,,,
30,1979,1979-12-02,14,23.291,BUF,,DEN,L 16-19,,,,
31,1979,1979-12-09,15,23.298,BUF,@,MIN,L 3-10,,,,
32,1979,1979-12-16,16,23.305,BUF,@,PIT,L 0-28,,,,
33,1980,1980-09-07,1,24.206,BUF,,MIA,W 17-7,,,,
34,1980,1980-09-14,2,24.213,BUF,,NYJ,W 20-10,,,,
