ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1977,1977-09-18,1,22.332,DET,@,CHI,L 20-30,1,9,9.00,0,0,0,,0,0,0,,0,1,0,0.00,0,0,0
2,1977,1977-09-25,2,22.339,DET,,NOR,W 23-19,1,21,21.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
3,1977,1977-10-02,3,22.346,DET,,PHI,W 17-13,1,9,9.00,0,0,0,,0,1,24,24.00,0,0,0,,0,0,0
4,1977,1977-10-09,4,22.353,DET,@,MIN,L 7-14,3,30,10.00,1,0,0,,0,0,0,,0,0,0,,0,1,6
5,1977,1977-10-16,5,22.360,DET,,GNB,W 10-6,,,,,,,,,,,,,,,,,,
6,1977,1977-10-23,6,23.002,DET,@,SFO,L 7-28,,,,,,,,,,,,,,,,,,
7,1977,1977-10-30,7,23.009,DET,@,DAL,L 0-37,1,9,9.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
8,1977,1977-11-06,8,23.016,DET,,SDG,W 20-0,,,,,,,,,,,,,,,,,,
9,1977,1977-11-13,9,23.023,DET,@,ATL,L 6-17,,,,,,,,,,,,,,,,,,
10,1977,1977-11-20,10,23.030,DET,,TAM,W 16-7,,,,,,,,,,,,,,,,,,
11,1977,1977-11-24,11,23.034,DET,,CHI,L 14-31,1,12,12.00,0,1,-6,-6.00,0,0,0,,0,0,0,,0,0,0
12,1977,1977-12-04,12,23.044,DET,@,GNB,L 9-10,,,,,,,,,,,,,,,,,,
13,1977,1977-12-11,13,23.051,DET,@,BAL,W 13-10,,,,,,,,,,,,,,,,,,
14,1977,1977-12-17,14,23.057,DET,,MIN,L 21-30,,,,,,,,,,,,,,,,,,
15,1978,1978-09-03,1,23.317,DET,,GNB,L 7-13,1,9,9.00,0,1,10,10.00,0,2,38,19.00,0,2,15,7.50,0,0,0
16,1978,1978-09-09,2,23.323,DET,@,TAM,W 15-7,0,0,,0,0,0,,0,0,0,,0,1,11,11.00,0,0,0
17,1978,1978-09-17,3,23.331,DET,,CHI,L 0-19,3,33,11.00,0,0,0,,0,0,0,,0,1,7,7.00,0,0,0
18,1978,1978-09-24,4,23.338,DET,@,SEA,L 16-28,3,26,8.67,0,0,0,,0,0,0,,0,0,0,,0,0,0
19,1978,1978-10-01,5,23.345,DET,@,GNB,L 14-35,1,12,12.00,1,0,0,,0,2,30,15.00,0,0,0,,0,1,6
20,1978,1978-10-08,6,23.352,DET,,WAS,L 19-21,2,13,6.50,0,0,0,,0,0,0,,0,0,0,,0,0,0
21,1978,1978-10-15,7,23.359,DET,@,ATL,L 0-14,1,4,4.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
22,1978,1978-10-22,8,24.001,DET,,SDG,W 31-14,0,0,,0,0,0,,0,1,22,22.00,0,0,0,,0,0,0
23,1978,1978-10-29,9,24.008,DET,@,CHI,W 21-17,2,21,10.50,0,1,-8,-8.00,0,1,20,20.00,0,0,0,,0,0,0
24,1978,1978-11-05,10,24.015,DET,@,MIN,L 7-17,1,9,9.00,1,0,0,,0,0,0,,0,0,0,,0,1,6
25,1978,1978-11-12,11,24.022,DET,,TAM,W 34-23,1,19,19.00,0,0,0,,0,1,60,60.00,0,0,0,,0,0,0
26,1978,1978-11-19,12,24.029,DET,@,OAK,L 17-29,1,18,18.00,0,1,6,6.00,0,0,0,,0,1,7,7.00,0,0,0
27,1978,1978-11-23,13,24.033,DET,,DEN,W 17-14,2,44,22.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
28,1978,1978-12-03,14,24.043,DET,@,STL,L 14-21,1,10,10.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
29,1978,1978-12-09,15,24.049,DET,,MIN,W 45-14,6,77,12.83,0,0,0,,0,0,0,,0,0,0,,0,0,0
30,1978,1978-12-17,16,24.057,DET,,SFO,W 33-14,6,55,9.17,0,2,1,0.50,0,0,0,,0,2,19,9.50,0,0,0
31,1979,1979-09-01,1,24.315,DET,@,TAM,L 16-31,1,6,6.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
32,1979,1979-09-09,2,24.323,DET,,WAS,L 24-27,,,,,,,,,,,,,,,,,,
33,1979,1979-09-16,3,24.330,DET,@,NYJ,L 10-31,,,,,,,,,,,,,,,,,,
34,1979,1979-09-23,4,24.337,DET,,ATL,W 24-23,3,54,18.00,1,0,0,,0,0,0,,0,0,0,,0,1,6
35,1979,1979-09-30,5,24.344,DET,,MIN,L 10-13,2,12,6.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
36,1979,1979-10-07,6,24.351,DET,@,NWE,L 17-24,2,30,15.00,0,1,-8,-8.00,0,0,0,,0,0,0,,0,0,0
37,1979,1979-10-14,7,24.358,DET,@,GNB,L 16-24,,,,,,,,,,,,,,,,,,
38,1979,1979-10-21,8,25.000,DET,@,NOR,L 7-17,0,0,,0,0,0,,0,1,26,26.00,0,0,0,,0,0,0
39,1979,1979-10-28,9,25.007,DET,,BUF,L 17-20,,,,,,,,,,,,,,,,,,
40,1980,1980-11-09,10,26.019,PHI,@,NOR,W 34-21,,,,,,,,,,,,,,,,,,
41,1980,1980-11-16,11,26.026,PHI,@,WAS,W 24-0,0,0,,0,0,0,,0,1,16,16.00,0,0,0,,0,0,0
42,1980,1980-11-30,13,26.040,PHI,@,SDG,L 21-22,,,,,,,,,,,,,,,,,,
