ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs
1,1999,1999-09-26,3,25.119,BUF,,PHI,W 26-0,
2,1999,1999-10-04,4,25.127,BUF,@,MIA,W 23-18,
3,1999,1999-10-10,5,25.133,BUF,,PIT,W 24-21,
4,1999,1999-10-17,6,25.140,BUF,,OAK,L 14-20,
5,1999,1999-10-24,7,25.147,BUF,@,SEA,L 16-26,
6,1999,1999-11-07,9,25.161,BUF,@,WAS,W 34-17,
7,1999,1999-11-21,11,25.175,BUF,@,NYJ,L 7-17,
8,1999,1999-11-28,12,25.182,BUF,,NWE,W 17-7,
9,1999,1999-12-12,13,25.196,BUF,,NYG,L 17-19,*
10,1999,1999-12-19,14,25.203,BUF,@,ARI,W 31-21,*
11,1999,2000-01-02,16,25.217,BUF,,IND,W 31-6,
12,2000,2000-09-03,1,26.096,BUF,,TEN,W 16-13,
13,2000,2000-09-10,2,26.103,BUF,,GNB,W 27-18,
14,2000,2000-09-17,3,26.110,BUF,@,NYJ,L 14-27,
15,2000,2000-10-01,4,26.124,BUF,,IND,L 16-18,
16,2000,2000-10-08,5,26.131,BUF,@,MIA,L 13-22,
17,2000,2000-10-15,6,26.138,BUF,,SDG,W 27-24,
18,2000,2000-10-22,7,26.145,BUF,@,MIN,L 27-31,
19,2000,2000-10-29,8,26.152,BUF,,NYJ,W 23-20,*
20,2000,2000-11-05,9,26.159,BUF,@,NWE,W 16-13,*
21,2000,2000-11-12,10,26.166,BUF,,CHI,W 20-3,
22,2000,2000-11-19,11,26.173,BUF,@,KAN,W 21-17,*
23,2000,2000-11-26,12,26.180,BUF,@,TAM,L 17-31,*
24,2000,2000-12-03,13,26.187,BUF,,MIA,L 6-33,
25,2000,2000-12-11,14,26.195,BUF,@,IND,L 20-44,*
26,2000,2000-12-17,15,26.201,BUF,,NWE,L 10-13,*
27,2000,2000-12-23,16,26.207,BUF,@,SEA,W 42-23,
28,2001,2001-09-09,1,27.102,MIA,@,TEN,W 31-23,*
29,2002,2002-09-08,1,28.101,MIA,,DET,W 49-21,
30,2002,2002-09-15,2,28.108,MIA,@,IND,W 21-13,
31,2002,2002-09-22,3,28.115,MIA,,NYJ,W 30-3,
32,2002,2002-09-29,4,28.122,MIA,@,KAN,L 30-48,
33,2002,2002-10-06,5,28.129,MIA,,NWE,W 26-13,*
34,2002,2002-10-13,6,28.136,MIA,@,DEN,W 24-22,*
35,2002,2002-10-20,7,28.143,MIA,,BUF,L 10-23,*
36,2002,2002-11-04,8,28.158,MIA,@,GNB,L 10-24,*
37,2002,2002-11-10,9,28.164,MIA,@,NYJ,L 10-13,
38,2002,2002-11-17,10,28.171,MIA,,BAL,W 26-7,
39,2002,2002-11-24,11,28.178,MIA,,SDG,W 30-3,
40,2002,2002-12-01,12,28.185,MIA,@,BUF,L 21-38,
41,2002,2002-12-09,13,28.193,MIA,,CHI,W 27-9,
42,2002,2002-12-15,14,28.199,MIA,,OAK,W 23-17,
43,2002,2002-12-21,15,28.205,MIA,@,MIN,L 17-20,
44,2002,2002-12-29,16,28.213,MIA,@,NWE,L 24-27,
45,2003,2003-09-07,1,29.100,GNB,,MIN,L 25-30,
46,2003,2003-09-21,3,29.114,GNB,@,ARI,L 13-20,
