ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,sacks,def_int,def_int_yds,def_int_td
1,1976,1976-09-13,1,22.168,BUF,,MIA,L 21-30,,,,
2,1976,1976-09-19,2,22.174,BUF,,HOU,L 3-13,,,,
3,1976,1976-09-26,3,22.181,BUF,@,TAM,W 14-9,,,,
4,1976,1976-10-03,4,22.188,BUF,,KAN,W 50-17,,,,
5,1976,1976-10-10,5,22.195,BUF,@,NYJ,L 14-17,,,,
6,1976,1976-10-17,6,22.202,BUF,,BAL,L 13-31,,,,
7,1976,1976-10-24,7,22.209,BUF,,NWE,L 22-26,,,,
8,1976,1976-10-31,8,22.216,BUF,,NYJ,L 14-19,0.0,1,0,0
9,1976,1976-11-07,9,22.223,BUF,@,NWE,L 10-20,,,,
10,1976,1976-11-15,10,22.231,BUF,@,DAL,L 10-17,,,,
11,1976,1976-11-21,11,22.237,BUF,,SDG,L 13-34,0.0,1,21,0
12,1976,1976-11-25,12,22.241,BUF,@,DET,L 14-27,,,,
13,1976,1976-12-05,13,22.251,BUF,@,MIA,L 27-45,,,,
14,1976,1976-12-12,14,22.258,BUF,@,BAL,L 20-58,,,,
15,1977,1977-09-18,1,23.173,BUF,,MIA,L 0-13,,,,
16,1977,1977-09-25,2,23.180,BUF,@,DEN,L 6-26,,,,
17,1977,1977-10-02,3,23.187,BUF,@,BAL,L 14-17,,,,
18,1977,1977-10-09,4,23.194,BUF,,NYJ,L 19-24,,,,
19,1977,1977-10-16,5,23.201,BUF,,ATL,W 3-0,,,,
20,1977,1977-10-23,6,23.208,BUF,,CLE,L 16-27,0.0,1,15,0
21,1977,1977-10-30,7,23.215,BUF,@,SEA,L 17-56,,,,
22,1977,1977-11-06,8,23.222,BUF,@,NWE,W 24-14,0.0,2,31,0
23,1977,1977-11-13,9,23.229,BUF,,BAL,L 13-31,0.0,1,38,0
24,1977,1977-11-20,10,23.236,BUF,,NWE,L 7-20,0.0,1,3,0
25,1977,1977-11-28,11,23.244,BUF,@,OAK,L 13-34,0.0,1,43,0
26,1977,1977-12-04,12,23.250,BUF,,WAS,L 0-10,,,,
27,1977,1977-12-11,13,23.257,BUF,@,NYJ,W 14-10,0.0,1,21,0
28,1977,1977-12-17,14,23.263,BUF,@,MIA,L 14-31,,,,
29,1978,1978-09-03,1,24.158,BUF,,PIT,L 17-28,,,,
30,1978,1978-09-10,2,24.165,BUF,,NYJ,L 20-21,0.0,1,0,0
31,1978,1978-09-17,3,24.172,BUF,@,MIA,L 24-31,,,,
32,1978,1978-09-24,4,24.179,BUF,,BAL,W 24-17,,,,
33,1978,1978-10-01,5,24.186,BUF,,KAN,W 28-13,,,,
34,1978,1978-10-08,6,24.193,BUF,@,NYJ,L 14-45,,,,
35,1978,1978-10-15,7,24.200,BUF,@,HOU,L 10-17,,,,
