ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,all_td,scoring,def_int,def_int_yds,def_int_td
1,2000,2000-10-01,5,24.305,DAL,@,CAR,W 16-13,,,,,,
2,2000,2000-10-22,7,24.326,DAL,,ARI,W 48-7,,,,,,
3,2000,2000-10-29,8,24.333,DAL,,JAX,L 17-23,,,,,,
4,2000,2000-11-05,9,24.340,DAL,@,PHI,L 13-16,,,,,,
5,2000,2000-11-12,10,24.347,DAL,,CIN,W 23-6,,,,,,
6,2000,2000-11-19,11,24.354,DAL,@,BAL,L 0-27,,,,,,
7,2000,2000-11-23,12,24.358,DAL,,MIN,L 15-27,,,,,,
8,2000,2000-12-03,13,25.002,DAL,@,TAM,L 7-27,,,,,,
9,2000,2000-12-10,14,25.009,DAL,,WAS,W 32-13,,,,,,
10,2000,2000-12-17,15,25.016,DAL,,NYG,L 13-17,,,,,,
11,2000,2000-12-25,16,25.024,DAL,@,TEN,L 0-31,*,,,,,
12,2001,2001-09-09,1,25.282,DAL,,TAM,L 6-10,*,,,,,
13,2001,2001-09-23,2,25.296,DAL,,SDG,L 21-32,*,,,,,
14,2001,2001-09-30,3,25.303,DAL,@,PHI,L 18-40,*,,,,,
15,2001,2001-10-07,4,25.310,DAL,@,OAK,L 21-28,,,,,,
16,2001,2001-10-15,5,25.318,DAL,,WAS,W 9-7,*,,,,,
17,2001,2001-10-28,6,25.331,DAL,,ARI,W 17-3,*,,,,,
18,2001,2001-11-04,7,25.338,DAL,@,NYG,L 24-27,*,1,6,1,71,1
19,2001,2001-11-11,8,25.345,DAL,@,ATL,L 13-20,*,,,,,
20,2001,2001-11-18,9,25.352,DAL,,PHI,L 3-36,*,,,,,
21,2001,2001-11-22,10,25.356,DAL,,DEN,L 24-26,*,,,,,
22,2001,2001-12-02,11,26.001,DAL,@,WAS,W 20-14,*,,,,,
23,2001,2001-12-09,12,26.008,DAL,,NYG,W 20-13,*,,,,,
24,2001,2001-12-16,13,26.015,DAL,@,SEA,L 3-29,*,,,,,
25,2001,2001-12-23,14,26.022,DAL,@,ARI,L 10-17,*,,,,,
26,2001,2001-12-30,15,26.029,DAL,,SFO,W 27-21,*,,,,,
27,2001,2002-01-06,16,26.036,DAL,@,DET,L 10-15,*,,,,,
28,2002,2002-09-08,1,26.281,DAL,@,HOU,L 10-19,*,,,,,
29,2002,2002-09-15,2,26.288,DAL,,TEN,W 21-13,*,,,,,
30,2002,2002-09-22,3,26.295,DAL,@,PHI,L 13-44,*,,,,,
31,2002,2002-09-29,4,26.302,DAL,@,STL,W 13-10,*,,,,,
32,2002,2002-10-06,5,26.309,DAL,,NYG,L 17-21,*,,,,,
33,2002,2002-10-20,7,26.323,DAL,@,ARI,L 6-9,*,,,,,
34,2002,2002-10-27,8,26.330,DAL,,SEA,L 14-17,*,,,,,
35,2002,2002-11-03,9,26.337,DAL,@,DET,L 7-9,*,,,,,
36,2002,2002-11-17,10,26.351,DAL,@,IND,L 3-20,*,,,,,
37,2002,2002-11-24,11,26.358,DAL,,JAX,W 21-19,*,,,,,
38,2002,2002-11-28,12,26.362,DAL,,WAS,W 27-20,*,0,0,2,29,0
39,2002,2002-12-08,13,27.007,DAL,,SFO,L 27-31,*,,,,,
40,2002,2002-12-15,14,27.014,DAL,@,NYG,L 7-37,*,,,,,
41,2002,2002-12-21,15,27.020,DAL,,PHI,L 3-27,*,,,,,
42,2002,2002-12-29,16,27.028,DAL,@,WAS,L 14-20,*,,,,,
43,2003,2003-09-07,1,27.280,DAL,,ATL,L 13-27,*,,,,,
44,2003,2003-09-15,2,27.288,DAL,@,NYG,W 35-32,*,,,,,
45,2003,2003-09-28,3,27.301,DAL,@,NYJ,W 17-6,*,,,,,
46,2003,2003-10-05,4,27.308,DAL,,ARI,W 24-7,*,,,,,
47,2003,2003-10-12,5,27.315,DAL,,PHI,W 23-21,*,,,,,
48,2003,2003-10-19,6,27.322,DAL,@,DET,W 38-7,*,1,6,1,27,1
49,2003,2003-10-26,7,27.329,DAL,@,TAM,L 0-16,*,,,,,
50,2003,2003-11-02,8,27.336,DAL,,WAS,W 21-14,*,,,,,
51,2003,2003-11-09,9,27.343,DAL,,BUF,W 10-6,*,,,,,
52,2003,2003-11-16,10,27.350,DAL,@,NWE,L 0-12,*,,,,,
53,2003,2003-11-23,11,27.357,DAL,,CAR,W 24-20,*,,,,,
54,2003,2003-11-27,12,27.361,DAL,,MIA,L 21-40,*,,,,,
55,2003,2003-12-07,13,28.006,DAL,@,PHI,L 10-36,*,,,,,
56,2003,2003-12-14,14,28.013,DAL,@,WAS,W 27-0,*,,,,,
57,2003,2003-12-21,15,28.020,DAL,,NYG,W 19-3,*,,,,,
58,2003,2003-12-28,16,28.027,DAL,@,NOR,L 7-13,*,,,,,
59,2004,2004-09-12,1,28.286,TAM,@,WAS,L 10-16,,,,,,
60,2004,2004-09-19,2,28.293,TAM,,SEA,L 6-10,,,,,,
61,2004,2004-09-26,3,28.300,TAM,@,OAK,L 20-30,,,,,,
62,2004,2004-10-03,4,28.307,TAM,,DEN,L 13-16,,,,,,
63,2004,2004-10-10,5,28.314,TAM,@,NOR,W 20-17,,,,,,
64,2004,2004-10-18,6,28.322,TAM,@,STL,L 21-28,*,,,,,
65,2004,2004-10-24,7,28.328,TAM,,CHI,W 19-7,*,,,,,
66,2004,2004-11-07,8,28.342,TAM,,KAN,W 34-31,,,,,,
67,2004,2004-11-14,9,28.349,TAM,@,ATL,L 14-24,,,,,,
68,2004,2004-11-21,10,28.356,TAM,,SFO,W 35-3,,,,,,
69,2004,2004-12-05,12,29.004,TAM,,ATL,W 27-0,,,,,,
70,2004,2004-12-12,13,29.011,TAM,@,SDG,L 24-31,,,,,,
71,2004,2004-12-19,14,29.018,TAM,,NOR,L 17-21,,,,,,
72,2004,2004-12-26,15,29.025,TAM,,CAR,L 20-37,,,,,,
73,2004,2005-01-02,16,29.032,TAM,@,ARI,L 7-12,*,,,,,
