ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td
1,1983,1983-09-04,1,23.202,DEN,@,PIT,W 14-10,,,,
2,1983,1983-10-16,7,23.244,DEN,,CIN,W 24-17,,,,
3,1983,1983-10-23,8,23.251,DEN,,SDG,W 14-6,,,,
4,1983,1983-10-30,9,23.258,DEN,,KAN,W 27-24,,,,
5,1983,1983-11-13,11,23.272,DEN,@,RAI,L 20-22,,,,
6,1983,1983-11-20,12,23.279,DEN,,SEA,W 38-27,,,,
7,1983,1983-11-27,13,23.286,DEN,@,SDG,L 7-31,,,,
8,1983,1983-12-04,14,23.293,DEN,,CLE,W 27-6,,,,
9,1983,1983-12-11,15,23.300,DEN,,BAL,W 21-19,,,,
10,1983,1983-12-18,16,23.307,DEN,@,KAN,L 17-48,,,,
11,1984,1984-09-02,1,24.201,DEN,,CIN,W 20-17,,,,
12,1984,1984-09-09,2,24.208,DEN,@,CHI,L 0-27,,,,
13,1984,1984-09-16,3,24.215,DEN,@,CLE,W 24-14,,,,
14,1984,1984-09-23,4,24.222,DEN,,KAN,W 21-0,,,,
15,1984,1984-09-30,5,24.229,DEN,,RAI,W 16-13,,,,
16,1984,1984-10-07,6,24.236,DEN,@,DET,W 28-7,,,,
17,1984,1984-10-15,7,24.244,DEN,,GNB,W 17-14,,,,
18,1984,1984-10-21,8,24.250,DEN,@,BUF,W 37-7,,,,
19,1984,1984-10-28,9,24.257,DEN,@,RAI,W 22-19,,,,
20,1984,1984-11-04,10,24.264,DEN,,NWE,W 26-19,,,,
21,1984,1984-11-11,11,24.271,DEN,@,SDG,W 16-13,,,,
22,1984,1984-11-18,12,24.278,DEN,,MIN,W 42-21,,,,
23,1984,1984-11-25,13,24.285,DEN,,SEA,L 24-27,,,,
24,1984,1984-12-02,14,24.292,DEN,@,KAN,L 13-16,,,,
25,1984,1984-12-09,15,24.299,DEN,,SDG,W 16-13,,,,
26,1985,1985-09-15,2,25.213,DEN,,NOR,W 34-23,0,0,,0
