ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1961,1961-09-24,2,22.138,BAL,,DET,L 15-16,2,-5,-2.50,0,0,0,,0,1,23,23.00,0,0,0,,0,0,0
2,1961,1961-10-08,4,22.152,BAL,@,GNB,L 7-45,2,12,6.00,0,0,0,,0,1,0,0.00,0,0,0,,0,0,0
3,1961,1961-10-15,5,22.159,BAL,@,CHI,L 10-24,0,0,,0,0,0,,0,1,4,4.00,0,0,0,,0,0,0
4,1961,1961-11-05,8,22.180,BAL,,GNB,W 45-21,2,4,2.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
5,1961,1961-11-19,10,22.194,BAL,,STL,W 16-0,0,0,,0,0,0,,0,0,0,,0,1,2,2.00,0,0,0
6,1961,1961-11-26,11,22.201,BAL,@,WAS,W 27-6,2,1,0.50,0,0,0,,0,0,0,,0,0,0,,0,0,0
7,1961,1961-12-03,12,22.208,BAL,,SFO,W 20-17,2,5,2.50,0,0,0,,0,0,0,,0,0,0,,0,0,0
8,1961,1961-12-09,13,22.214,BAL,@,RAM,L 17-34,10,43,4.30,0,3,20,6.67,0,0,0,,0,0,0,,0,0,0
9,1961,1961-12-16,14,22.221,BAL,@,SFO,W 27-24,11,38,3.45,0,6,80,13.33,1,0,0,,0,0,0,,0,1,6
10,1962,1962-09-16,1,23.130,BAL,,RAM,W 30-27,12,36,3.00,0,3,16,5.33,0,0,0,,0,0,0,,0,0,0
11,1962,1962-09-23,2,23.137,BAL,@,MIN,W 34-7,21,71,3.38,0,2,35,17.50,1,0,0,,0,0,0,,0,1,6
12,1962,1962-09-30,3,23.144,BAL,,DET,L 20-29,1,3,3.00,0,1,-1,-1.00,0,0,0,,0,0,0,,0,0,0
13,1962,1962-10-07,4,23.151,BAL,,SFO,L 13-21,4,16,4.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
14,1962,1962-10-14,5,23.158,BAL,@,CLE,W 36-14,9,30,3.33,0,1,12,12.00,0,0,0,,0,0,0,,0,0,0
15,1962,1962-10-21,6,23.165,BAL,@,CHI,L 15-35,2,7,3.50,0,0,0,,0,0,0,,0,0,0,,0,0,0
16,1962,1962-10-28,7,23.172,BAL,,GNB,L 6-17,0,0,,0,1,0,0.00,0,1,14,14.00,0,0,0,,0,0,0
17,1962,1962-11-11,9,23.186,BAL,@,RAM,W 14-2,8,37,4.63,1,2,50,25.00,0,0,0,,0,0,0,,0,1,6
18,1962,1962-11-18,10,23.193,BAL,@,GNB,L 13-17,17,41,2.41,0,1,18,18.00,0,0,0,,0,0,0,,0,0,0
19,1962,1962-11-25,11,23.200,BAL,,CHI,L 0-57,6,12,2.00,0,1,-5,-5.00,0,0,0,,0,0,0,,0,0,0
20,1962,1962-12-02,12,23.207,BAL,@,DET,L 14-21,3,11,3.67,0,0,0,,0,0,0,,0,0,0,,0,0,0
21,1962,1962-12-08,13,23.213,BAL,,WAS,W 34-21,1,-1,-1.00,0,1,3,3.00,0,1,6,6.00,0,0,0,,0,0,0
22,1962,1962-12-16,14,23.221,BAL,,MIN,W 42-17,1,2,2.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
23,1963,1963-09-08,1,24.122,NYJ,@,BOS,L 14-38,8,100,12.50,0,0,0,,0,0,0,,0,0,0,,0,0,0
24,1963,1963-09-22,2,24.136,NYJ,,HOU,W 24-17,8,22,2.75,1,4,17,4.25,0,0,0,,0,0,0,,0,1,6
25,1963,1963-09-28,3,24.142,NYJ,,OAK,W 10-7,11,25,2.27,0,4,47,11.75,0,0,0,,0,0,0,,0,0,0
26,1963,1963-10-05,4,24.149,NYJ,,BOS,W 31-24,8,13,1.63,1,3,16,5.33,0,0,0,,0,0,0,,0,1,6
27,1963,1963-10-13,5,24.157,NYJ,@,SDG,L 20-24,10,26,2.60,1,4,34,8.50,0,0,0,,0,0,0,,0,1,6
28,1963,1963-10-20,6,24.164,NYJ,@,OAK,L 26-49,8,62,7.75,0,3,62,20.67,1,0,0,,0,0,0,,0,1,6
29,1963,1963-10-26,7,24.170,NYJ,,DEN,T 35-35,8,9,1.13,0,2,7,3.50,0,0,0,,0,0,0,,0,0,0
30,1963,1963-11-02,8,24.177,NYJ,,SDG,L 7-53,8,29,3.63,0,4,32,8.00,0,0,0,,0,0,0,,0,0,0
31,1963,1963-11-10,9,24.185,NYJ,@,HOU,L 27-31,11,33,3.00,0,2,13,6.50,0,0,0,,0,0,0,,0,0,0
32,1963,1963-11-17,10,24.192,NYJ,@,DEN,W 14-9,20,66,3.30,0,1,3,3.00,0,0,0,,0,0,0,,0,0,0
33,1963,1963-12-01,11,24.206,NYJ,,KAN,W 17-0,21,65,3.10,0,3,26,8.67,0,0,0,,0,0,0,,0,0,0
34,1963,1963-12-08,12,24.213,NYJ,@,BUF,L 14-45,7,14,2.00,1,2,9,4.50,0,0,0,,0,0,0,,0,1,6
35,1963,1963-12-14,13,24.219,NYJ,,BUF,L 10-19,8,24,3.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
36,1963,1963-12-22,14,24.227,NYJ,@,KAN,L 0-48,14,73,5.21,0,2,12,6.00,0,1,10,10.00,0,0,0,,0,0,0
37,1964,1964-09-12,1,25.126,NYJ,,DEN,W 30-6,3,8,2.67,0,0,0,,0,0,0,,0,0,0,,0,0,0
38,1964,1964-09-27,2,25.141,NYJ,@,BOS,L 10-26,0,0,,0,1,12,12.00,0,0,0,,0,0,0,,0,0,0
39,1964,1964-10-03,3,25.147,NYJ,,SDG,T 17-17,1,2,2.00,0,1,5,5.00,0,0,0,,0,0,0,,0,0,0
40,1964,1964-10-10,4,25.154,NYJ,,OAK,W 35-13,3,16,5.33,1,0,0,,0,0,0,,0,0,0,,0,1,6
41,1964,1964-10-17,5,25.161,NYJ,,HOU,W 24-21,4,0,0.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
42,1964,1964-10-24,6,25.168,NYJ,@,BUF,L 24-34,4,1,0.25,0,0,0,,0,0,0,,0,0,0,,0,0,0
43,1964,1964-10-31,7,25.175,NYJ,,BOS,W 35-14,4,26,6.50,0,0,0,,0,0,0,,0,0,0,,0,0,0
44,1964,1964-11-08,8,25.183,NYJ,,BUF,L 7-20,0,0,,0,1,2,2.00,0,0,0,,0,0,0,,0,0,0
45,1964,1964-11-22,10,25.197,NYJ,@,OAK,L 26-35,1,1,1.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
46,1964,1964-12-06,12,25.211,NYJ,@,SDG,L 3-38,3,12,4.00,0,0,0,,0,1,15,15.00,0,0,0,,0,0,0
47,1964,1964-12-13,13,25.218,NYJ,@,HOU,L 17-33,0,0,,0,0,0,,0,1,4,4.00,0,0,0,,0,0,0
48,1964,1964-12-20,14,25.225,NYJ,@,KAN,L 7-24,11,51,4.64,0,0,0,,0,0,0,,0,0,0,,0,0,0
49,1965,1965-09-12,1,26.126,NYJ,@,HOU,L 21-27,0,0,,0,0,0,,0,2,31,15.50,0,0,0,,0,0,0
50,1965,1965-09-26,3,26.140,NYJ,@,BUF,L 21-33,0,0,,0,0,0,,0,1,13,13.00,0,0,0,,0,0,0
51,1965,1965-10-16,5,26.160,NYJ,,OAK,T 24-24,8,25,3.13,0,0,0,,0,2,32,16.00,0,0,0,,0,0,0
52,1965,1965-10-23,6,26.167,NYJ,,SDG,L 9-34,0,0,,0,0,0,,0,1,22,22.00,0,0,0,,0,0,0
53,1965,1965-10-31,7,26.175,NYJ,,DEN,W 45-10,0,0,,0,1,-7,-7.00,0,0,0,,0,0,0,,0,0,0
54,1965,1965-11-07,8,26.182,NYJ,@,KAN,W 13-10,1,0,0.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
55,1965,1965-12-12,13,26.217,NYJ,@,OAK,L 14-24,4,8,2.00,0,1,12,12.00,0,0,0,,0,0,0,,0,0,0
56,1965,1965-12-19,14,26.224,NYJ,,BUF,W 14-12,11,26,2.36,0,4,20,5.00,0,0,0,,0,0,0,,0,0,0
57,1966,1966-09-09,1,27.123,NYJ,@,MIA,W 19-14,2,8,4.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
58,1966,1966-09-18,2,27.132,NYJ,,HOU,W 52-13,1,0,0.00,0,1,-7,-7.00,0,1,15,15.00,0,0,0,,0,0,0
59,1966,1966-10-02,4,27.146,NYJ,@,BOS,T 24-24,0,0,,0,0,0,,0,1,7,7.00,0,0,0,,0,0,0
60,1966,1966-10-16,6,27.160,NYJ,@,HOU,L 0-24,1,12,12.00,0,1,5,5.00,0,0,0,,0,0,0,,0,0,0
61,1966,1966-10-23,7,27.167,NYJ,,OAK,L 21-24,1,21,21.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
62,1966,1966-11-13,9,27.188,NYJ,@,BUF,L 3-14,0,0,,0,0,0,,0,2,24,12.00,0,0,0,,0,0,0
63,1966,1966-11-20,10,27.195,NYJ,,MIA,W 30-13,12,15,1.25,1,6,60,10.00,0,0,0,,0,0,0,,0,1,6
64,1966,1966-11-27,11,27.202,NYJ,,KAN,L 24-32,3,11,3.67,1,3,16,5.33,1,1,13,13.00,0,0,0,,0,2,12
65,1966,1966-12-11,13,27.216,NYJ,@,SDG,L 27-42,1,2,2.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
66,1966,1966-12-17,14,27.222,NYJ,,BOS,W 38-28,0,0,,0,0,0,,0,1,0,0.00,0,0,0,,0,0,0
67,1967,1967-09-24,2,28.138,NYJ,@,DEN,W 38-24,8,16,2.00,0,5,20,4.00,1,0,0,,0,0,0,,0,1,6
68,1967,1967-10-01,3,28.145,NYJ,,MIA,W 29-7,5,21,4.20,0,1,13,13.00,1,0,0,,0,0,0,,0,1,6
69,1967,1967-10-07,4,28.151,NYJ,,OAK,W 27-14,14,39,2.79,0,2,38,19.00,0,0,0,,0,0,0,,0,0,0
70,1967,1967-10-15,5,28.159,NYJ,,HOU,T 28-28,4,10,2.50,0,4,26,6.50,0,0,0,,0,0,0,,0,0,0
71,1967,1967-10-22,6,28.166,NYJ,@,MIA,W 33-14,4,2,0.50,0,2,13,6.50,0,0,0,,0,0,0,,0,0,0
72,1967,1967-11-12,9,28.187,NYJ,,BUF,W 20-10,8,13,1.63,0,0,0,,0,0,0,,0,0,0,,0,0,0
73,1967,1967-11-19,10,28.194,NYJ,@,BOS,W 29-24,10,9,0.90,0,3,30,10.00,0,0,0,,0,0,0,,0,0,0
74,1967,1967-12-03,11,28.208,NYJ,,DEN,L 24-33,2,8,4.00,0,3,26,8.67,1,0,0,,0,0,0,,0,1,6
75,1967,1967-12-10,12,28.215,NYJ,,KAN,L 7-21,1,1,1.00,1,1,11,11.00,0,1,3,3.00,0,0,0,,0,1,6
76,1967,1967-12-17,13,28.222,NYJ,@,OAK,L 29-38,1,3,3.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
77,1967,1967-12-24,14,28.229,NYJ,@,SDG,W 42-31,7,17,2.43,0,0,0,,0,0,0,,0,0,0,,0,0,0
78,1968,1968-09-22,2,29.136,NYJ,@,BOS,W 47-31,4,4,1.00,0,2,-6,-3.00,0,0,0,,0,0,0,,0,0,0
79,1968,1968-10-05,4,29.149,NYJ,,SDG,W 23-20,0,0,,0,3,44,14.67,0,0,0,,0,0,0,,0,0,0
80,1968,1968-11-24,11,29.199,NYJ,@,SDG,W 37-15,2,1,0.50,0,0,0,,0,0,0,,0,0,0,,0,0,0
81,1968,1968-12-01,12,29.206,NYJ,,MIA,W 35-17,1,5,5.00,0,0,0,,0,1,17,17.00,0,0,0,,0,0,0
82,1968,1968-12-08,13,29.213,NYJ,,CIN,W 27-14,5,5,1.00,0,1,2,2.00,0,0,0,,0,0,0,,0,0,0
