ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,2000,2000-09-17,3,24.188,CHI,,NYG,L 7-14,,,,,,,,,,,0.0%,
2,2000,2000-09-24,4,24.195,CHI,,DET,L 14-21,,1,3,3.00,0,0,0,0,,0,0.0%,
3,2000,2000-10-01,5,24.202,CHI,@,GNB,W 27-24,,,,,,,,,,,0.0%,
4,2000,2000-10-08,6,24.209,CHI,,NOR,L 10-31,,,,,,,,,,,0.0%,
5,2000,2000-10-15,7,24.216,CHI,,MIN,L 16-28,,,,,,,,,,,0.0%,
6,2000,2000-10-22,8,24.223,CHI,@,PHI,L 9-13,,,,,,,,,,,0.0%,
7,2000,2000-11-05,9,24.237,CHI,,IND,W 27-24,,5,23,4.60,0,1,0,0,,0,0.0%,0.00
8,2000,2000-11-12,10,24.244,CHI,@,BUF,L 3-20,,,,,,,,,,,0.0%,
9,2000,2000-11-19,11,24.251,CHI,,TAM,W 13-10,,3,11,3.67,0,0,0,0,,0,0.0%,
10,2000,2000-11-26,12,24.258,CHI,@,NYJ,L 10-17,,3,11,3.67,0,2,1,7,7.00,0,50.0%,3.50
11,2000,2000-12-03,13,24.265,CHI,,GNB,L 6-28,,,,,,,,,,,0.0%,
12,2000,2000-12-10,14,24.272,CHI,,NWE,W 24-17,,1,3,3.00,0,0,0,0,,0,0.0%,
13,2000,2000-12-24,16,24.286,CHI,@,DET,W 23-20,,2,30,15.00,0,0,0,0,,0,0.0%,
