ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs
1,1996,1996-09-02,1,24.252,CHI,,DAL,W 22-6,
2,1996,1996-09-15,3,24.265,CHI,,MIN,L 14-20,
3,1996,1996-09-22,4,24.272,CHI,@,DET,L 16-35,
4,1996,1996-09-29,5,24.279,CHI,,OAK,W 19-17,
5,1996,1996-10-06,6,24.286,CHI,,GNB,L 6-37,
6,1996,1996-10-13,7,24.293,CHI,@,NOR,L 24-27,
7,1996,1996-10-28,8,24.308,CHI,@,MIN,W 15-13,
8,1996,1996-11-03,9,24.314,CHI,,TAM,W 13-10,
9,1996,1996-11-10,10,24.321,CHI,@,DEN,L 12-17,
10,1996,1996-11-17,11,24.328,CHI,@,KAN,L 10-14,
11,1996,1996-11-24,12,24.335,CHI,,DET,W 31-14,
12,1996,1996-12-01,13,24.342,CHI,@,GNB,L 17-28,
13,1996,1996-12-08,14,24.349,CHI,,STL,W 35-9,
14,1996,1996-12-14,15,24.355,CHI,,SDG,W 27-14,
15,1996,1996-12-22,16,24.363,CHI,@,TAM,L 19-34,
16,1997,1997-09-01,1,25.250,CHI,@,GNB,L 24-38,
17,1997,1997-09-07,2,25.256,CHI,,MIN,L 24-27,
18,1997,1997-09-14,3,25.263,CHI,,DET,L 7-32,
19,1997,1997-09-21,4,25.270,CHI,@,NWE,L 3-31,
20,1997,1997-09-28,5,25.277,CHI,@,DAL,L 3-27,
21,1997,1997-10-05,6,25.284,CHI,,NOR,L 17-20,
22,1997,1997-10-12,7,25.291,CHI,,GNB,L 23-24,
23,1997,1997-10-27,8,25.306,CHI,@,MIA,W 36-33,
24,1997,1997-11-02,9,25.312,CHI,,WAS,L 8-31,
25,1997,1997-11-09,10,25.319,CHI,@,MIN,L 22-29,
26,1997,1997-11-16,11,25.326,CHI,,NYJ,L 15-23,
27,1997,1997-11-23,12,25.333,CHI,,TAM,W 13-7,
28,1997,1997-11-27,13,25.337,CHI,@,DET,L 20-55,
29,1997,1997-12-07,14,25.347,CHI,,BUF,W 20-3,
30,1997,1997-12-14,15,25.354,CHI,@,STL,W 13-10,
31,1997,1997-12-21,16,25.361,CHI,@,TAM,L 15-31,
32,1998,1998-09-06,1,26.255,CHI,,JAX,L 23-24,
33,1998,1998-09-13,2,26.262,CHI,@,PIT,L 12-17,
34,1998,1998-09-20,3,26.269,CHI,@,TAM,L 15-27,
35,1998,1998-09-27,4,26.276,CHI,,MIN,L 28-31,
36,1998,1998-10-04,5,26.283,CHI,,DET,W 31-27,
37,1998,1998-10-11,6,26.290,CHI,@,ARI,L 7-20,
38,1998,1998-10-18,7,26.297,CHI,,DAL,W 13-12,
39,1998,1998-10-25,8,26.304,CHI,@,TEN,W 23-20,
40,1998,1998-11-08,9,26.318,CHI,,STL,L 12-20,
41,1998,1998-11-15,10,26.325,CHI,@,DET,L 3-26,
42,1998,1998-11-22,11,26.332,CHI,@,ATL,L 13-20,
43,1998,1998-11-29,12,26.339,CHI,,TAM,L 17-31,
44,1998,1998-12-06,13,26.346,CHI,@,MIN,L 22-48,
45,1998,1998-12-13,14,26.353,CHI,@,GNB,L 20-26,
46,1998,1998-12-27,16,27.002,CHI,,GNB,L 13-16,
47,1999,1999-09-12,1,27.261,CLE,,PIT,L 0-43,
48,1999,1999-09-19,2,27.268,CLE,@,TEN,L 9-26,
49,1999,1999-09-26,3,27.275,CLE,@,BAL,L 10-17,
50,1999,1999-10-03,4,27.282,CLE,,NWE,L 7-19,
51,1999,1999-10-10,5,27.289,CLE,,CIN,L 17-18,
52,1999,1999-10-17,6,27.296,CLE,@,JAX,L 7-24,
53,1999,1999-10-24,7,27.303,CLE,@,STL,L 3-34,
54,1999,1999-10-31,8,27.310,CLE,@,NOR,W 21-16,
55,1999,1999-11-07,9,27.317,CLE,,BAL,L 9-41,
56,1999,1999-11-14,10,27.324,CLE,@,PIT,W 16-15,
57,1999,1999-11-21,11,27.331,CLE,,CAR,L 17-31,
58,1999,1999-11-28,12,27.338,CLE,,TEN,L 21-33,
59,1999,1999-12-05,13,27.345,CLE,@,SDG,L 10-23,*
60,1999,1999-12-12,14,27.352,CLE,@,CIN,L 28-44,
61,1999,1999-12-19,15,27.359,CLE,,JAX,L 14-24,
62,1999,1999-12-26,16,28.001,CLE,,IND,L 28-29,
