ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2014,2014-09-07,1,22.286,JAX,@,PHI,L 17-34,*,10,6,62,10.33,0,60.0%,6.20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
2,2014,2014-09-14,2,22.293,JAX,@,WAS,L 10-41,*,4,2,11,5.50,0,50.0%,2.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,1,0
3,2014,2014-10-12,6,22.321,JAX,@,TEN,L 14-16,,2,2,26,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
4,2014,2014-10-19,7,22.328,JAX,,CLE,W 24-6,,3,1,20,20.00,0,33.3%,6.67,2,5,2.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
5,2014,2014-10-26,8,22.335,JAX,,MIA,L 13-27,*,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
6,2014,2014-11-02,9,22.342,JAX,@,CIN,L 23-33,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2014,2014-11-09,10,22.349,JAX,,DAL,L 17-31,,3,1,13,13.00,0,33.3%,4.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,1,0
8,2014,2014-11-23,11,22.363,JAX,@,IND,L 3-23,,5,3,52,17.33,0,60.0%,10.40,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
9,2014,2014-11-30,12,23.005,JAX,,NYG,W 25-24,*,8,6,75,12.50,1,75.0%,9.38,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0
10,2014,2014-12-07,13,23.012,JAX,,HOU,L 13-27,*,8,5,67,13.40,0,62.5%,8.38,1,4,4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
11,2014,2014-12-14,14,23.019,JAX,@,BAL,L 12-20,*,10,4,14,3.50,0,40.0%,1.40,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
12,2014,2014-12-18,15,23.023,JAX,,TEN,W 21-13,*,6,4,65,16.25,0,66.7%,10.83,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
13,2014,2014-12-28,16,23.033,JAX,@,HOU,L 17-23,*,8,2,8,4.00,0,25.0%,1.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
14,2015,2015-09-20,2,23.299,JAX,,MIA,W 23-20,,4,2,27,13.50,0,50.0%,6.75,1,12,12.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
15,2015,2015-09-27,3,23.306,JAX,@,NWE,L 17-51,,2,1,13,13.00,0,50.0%,6.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
16,2015,2015-11-15,9,23.355,JAX,@,BAL,W 22-20,,5,1,8,8.00,0,20.0%,1.60,1,3,3.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
