ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2007,2007-09-09,1,21.140,BUF,,DEN,L 14-15,*,19,90,4.74,1,3,2,9,4.50,0,66.7%,3.00,0,0,,0,0,0,,0,,,,,1,6,0.0,,
2,2007,2007-09-16,2,21.147,BUF,@,PIT,L 3-26,*,18,64,3.56,0,1,1,21,21.00,0,100.0%,21.00,0,0,,0,0,0,,0,,,,,0,0,0.0,,
3,2007,2007-09-23,3,21.154,BUF,@,NWE,L 7-38,*,20,74,3.70,1,2,2,6,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,,,,,1,6,0.0,,
4,2007,2007-09-30,4,21.161,BUF,,NYJ,W 17-14,*,23,79,3.43,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,,1,6,0.0,,
5,2007,2007-10-08,5,21.169,BUF,,DAL,L 24-25,*,20,66,3.30,0,5,2,32,16.00,0,40.0%,6.40,0,0,,0,0,0,,0,,,,,0,0,0.0,,
6,2007,2007-10-21,6,21.182,BUF,,BAL,W 19-14,*,27,84,3.11,1,3,3,14,4.67,0,100.0%,4.67,0,0,,0,0,0,,0,,,,,1,6,0.0,,
7,2007,2007-10-28,7,21.189,BUF,@,NYJ,W 13-3,*,21,80,3.81,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,,,,,0,0,0.0,,
8,2007,2007-11-04,8,21.196,BUF,,CIN,W 33-21,*,29,153,5.28,1,1,1,7,7.00,0,100.0%,7.00,1,1,100.00,8,1,0,139.6,0,0,8.00,28.00,,1,6,0.0,,
9,2007,2007-11-11,9,21.203,BUF,@,MIA,W 13-10,*,19,61,3.21,1,4,3,24,8.00,0,75.0%,6.00,0,0,,0,0,0,,0,,,,,1,6,0.0,,
10,2007,2007-12-09,13,21.231,BUF,,MIA,W 38-17,*,23,107,4.65,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,,,,0,0,0.0,,
11,2007,2007-12-16,14,21.238,BUF,@,CLE,L 0-8,*,21,82,3.90,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,,,,0,0,0.0,,
12,2007,2007-12-23,15,21.245,BUF,,NYG,L 21-38,*,18,70,3.89,1,3,2,42,21.00,0,66.7%,14.00,0,0,,0,0,0,,0,,,,,1,6,0.0,,
13,2007,2007-12-30,16,21.252,BUF,@,PHI,L 9-17,*,22,105,4.77,0,1,1,22,22.00,0,100.0%,22.00,0,0,,0,0,0,,0,,,,,0,0,0.0,,
14,2008,2008-09-07,1,22.138,BUF,,SEA,W 34-10,*,18,76,4.22,1,5,3,18,6.00,0,60.0%,3.60,0,0,,0,0,0,,,,,,,1,6,0.0,0,0
15,2008,2008-09-14,2,22.145,BUF,@,JAX,W 20-16,*,19,59,3.11,1,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,,,,,,1,6,0.0,0,0
16,2008,2008-09-21,3,22.152,BUF,,OAK,W 24-23,*,23,83,3.61,2,6,4,31,7.75,0,66.7%,5.17,0,0,,0,0,0,,,,,,,2,12,0.0,0,0
