ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,2017,2017-10-15,5,24.188,ATL,,MIA,L 17-20,,2,1,40,40.00,1,50.0%,20.00,0,0,,0,1,6
2,2017,2017-10-29,7,24.202,ATL,@,NYJ,W 25-20,,0,0,0,,0,0.0%,,0,0,,0,0,0
3,2017,2017-11-12,9,24.216,ATL,,DAL,W 27-7,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0
4,2017,2017-11-20,10,24.224,ATL,@,SEA,W 34-31,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
5,2017,2017-12-03,12,24.237,ATL,,MIN,L 9-14,,2,1,20,20.00,0,50.0%,10.00,0,0,,0,0,0
6,2017,2017-12-07,13,24.241,ATL,,NOR,W 20-17,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
7,2017,2017-12-18,14,24.252,ATL,@,TAM,W 24-21,,0,0,0,,0,0.0%,,0,0,,0,0,0
8,2017,2017-12-24,15,24.258,ATL,@,NOR,L 13-23,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
9,2018,2018-09-06,1,25.149,ATL,@,PHI,L 12-18,,0,0,0,,0,0.0%,,0,0,,0,0,0
10,2018,2018-09-16,2,25.159,ATL,,CAR,W 31-24,,1,1,30,30.00,0,100.0%,30.00,0,0,,0,0,0
11,2018,2018-09-23,3,25.166,ATL,,NOR,L 37-43,,1,1,7,7.00,0,100.0%,7.00,3,74,24.67,0,0,0
