ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,tackles_solo,tackles_assists
1,2012,2012-09-09,1,23.065,MIN,,JAX,W 26-23,*,0.0,0,0
2,2012,2012-09-16,2,23.072,MIN,@,IND,L 20-23,*,,,
3,2012,2012-09-23,3,23.079,MIN,,SFO,W 24-13,*,,,
4,2012,2012-09-30,4,23.086,MIN,@,DET,W 20-13,*,,,
5,2012,2012-10-07,5,23.093,MIN,,TEN,W 30-7,*,,,
6,2012,2012-10-14,6,23.100,MIN,@,WAS,L 26-38,*,0.0,0,0
7,2012,2012-10-21,7,23.107,MIN,,ARI,W 21-14,*,,,
8,2012,2012-10-25,8,23.111,MIN,,TAM,L 17-36,*,,,
9,2012,2012-11-04,9,23.121,MIN,@,SEA,L 20-30,*,,,
10,2012,2012-11-11,10,23.128,MIN,,DET,W 34-24,*,,,
11,2012,2012-11-25,11,23.142,MIN,@,CHI,L 10-28,*,,,
12,2012,2012-12-02,12,23.149,MIN,@,GNB,L 14-23,*,,,
13,2012,2012-12-09,13,23.156,MIN,,CHI,W 21-14,*,,,
14,2012,2012-12-16,14,23.163,MIN,@,STL,W 36-22,*,,,
15,2012,2012-12-23,15,23.170,MIN,@,HOU,W 23-6,*,,,
16,2012,2012-12-30,16,23.177,MIN,,GNB,W 37-34,*,,,
17,2013,2013-09-08,1,24.064,MIN,@,DET,L 24-34,*,,,
18,2013,2013-09-15,2,24.071,MIN,@,CHI,L 30-31,*,,,
19,2013,2013-09-22,3,24.078,MIN,,CLE,L 27-31,*,,,
20,2013,2013-09-29,4,24.085,MIN,,PIT,W 34-27,*,,,
21,2013,2013-10-13,5,24.099,MIN,,CAR,L 10-35,*,,,
22,2013,2013-10-21,6,24.107,MIN,@,NYG,L 7-23,*,,,
23,2013,2013-10-27,7,24.113,MIN,,GNB,L 31-44,*,,,
24,2013,2013-11-03,8,24.120,MIN,@,DAL,L 23-27,*,,,
25,2013,2013-11-07,9,24.124,MIN,,WAS,W 34-27,*,,,
26,2013,2013-11-17,10,24.134,MIN,@,SEA,L 20-41,*,,,
27,2013,2013-11-24,11,24.141,MIN,@,GNB,T 26-26,*,,,
28,2013,2013-12-01,12,24.148,MIN,,CHI,W 23-20,*,,,
29,2013,2013-12-08,13,24.155,MIN,@,BAL,L 26-29,*,,,
30,2013,2013-12-15,14,24.162,MIN,,PHI,W 48-30,*,,,
31,2013,2013-12-22,15,24.169,MIN,@,CIN,L 14-42,*,,,
32,2013,2013-12-29,16,24.176,MIN,,DET,W 14-13,*,,,
33,2014,2014-09-07,1,25.063,MIN,@,STL,W 34-6,*,,,
34,2014,2014-09-14,2,25.070,MIN,,NWE,L 7-30,*,0.0,1,0
35,2014,2014-09-21,3,25.077,MIN,@,NOR,L 9-20,*,,,
36,2014,2014-09-28,4,25.084,MIN,,ATL,W 41-28,*,,,
37,2014,2014-10-02,5,25.088,MIN,@,GNB,L 10-42,*,,,
38,2014,2014-10-12,6,25.098,MIN,,DET,L 3-17,*,,,
39,2014,2014-10-19,7,25.105,MIN,@,BUF,L 16-17,*,,,
40,2014,2014-10-26,8,25.112,MIN,@,TAM,W 19-13,*,,,
41,2014,2014-11-02,9,25.119,MIN,,WAS,W 29-26,*,,,
42,2014,2014-11-16,10,25.133,MIN,@,CHI,L 13-21,*,,,
43,2014,2014-11-23,11,25.140,MIN,,GNB,L 21-24,*,,,
