ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2008,2008-09-07,1,23.113,ATL,,DET,W 34-21,*,9,13,69.23,161,1,0,137.0,1,5,12.38,13.92,5,-2,-0.40,0,,0,0,0.0,0,0
2,2008,2008-09-14,2,23.120,ATL,@,TAM,L 9-24,*,13,33,39.39,158,0,2,29.6,4,29,4.79,2.06,6,10,1.67,0,,0,0,0.0,0,0
3,2008,2008-09-21,3,23.127,ATL,,KAN,W 38-14,*,12,18,66.67,192,1,0,120.6,0,0,10.67,11.78,1,15,15.00,0,,0,0,0.0,0,0
4,2008,2008-09-28,4,23.134,ATL,@,CAR,L 9-24,*,21,41,51.22,158,0,0,60.8,2,8,3.85,3.85,2,11,5.50,0,,0,0,0.0,0,0
5,2008,2008-10-05,5,23.141,ATL,@,GNB,W 27-24,*,16,26,61.54,194,2,1,94.1,0,0,7.46,7.27,4,16,4.00,0,,0,0,0.0,0,0
6,2008,2008-10-12,6,23.148,ATL,,CHI,W 22-20,*,22,30,73.33,301,1,0,116.1,0,0,10.03,10.70,1,1,1.00,0,,0,0,0.0,0,0
7,2008,2008-10-26,7,23.162,ATL,@,PHI,L 14-27,*,23,44,52.27,277,2,2,68.1,2,19,6.30,5.16,1,4,4.00,0,,0,0,0.0,0,0
8,2008,2008-11-02,8,23.169,ATL,@,OAK,W 24-0,*,17,22,77.27,220,2,0,138.4,3,19,10.00,11.82,4,1,0.25,0,,0,0,0.0,0,0
9,2008,2008-11-09,9,23.176,ATL,,NOR,W 34-20,*,16,23,69.57,248,2,0,134.0,0,0,10.78,12.52,2,-2,-1.00,0,,0,0,0.0,0,0
10,2008,2008-11-16,10,23.183,ATL,,DEN,L 20-24,*,20,33,60.61,250,0,1,71.5,0,0,7.58,6.21,5,18,3.60,0,,0,0,0.0,0,0
11,2008,2008-11-23,11,23.190,ATL,,CAR,W 45-28,*,17,27,62.96,259,0,0,94.5,1,0,9.59,9.59,3,2,0.67,0,,0,0,0.0,0,0
