ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,sacks,def_int,def_int_yds,def_int_td
1,1995,1995-10-08,6,23.176,TAM,,CIN,W 19-16,,,,
2,1995,1995-10-15,7,23.183,TAM,,MIN,W 20-17,,,,
3,1995,1995-10-22,8,23.190,TAM,,ATL,L 21-24,,,,
4,1995,1995-10-29,9,23.197,TAM,@,HOU,L 7-19,,,,
5,1995,1995-11-12,10,23.211,TAM,@,DET,L 24-27,,,,
6,1995,1995-11-19,11,23.218,TAM,,JAX,W 17-16,,,,
7,1995,1995-11-26,12,23.225,TAM,@,GNB,L 13-35,,,,
8,1995,1995-12-03,13,23.232,TAM,@,MIN,L 17-31,,,,
9,1995,1995-12-10,14,23.239,TAM,,GNB,W 13-10,0.0,1,0,0
10,1995,1995-12-17,15,23.246,TAM,@,CHI,L 10-31,,,,
11,1995,1995-12-23,16,23.252,TAM,,DET,L 10-37,,,,
12,1996,1996-09-01,1,24.139,TAM,,GNB,L 3-34,,,,
13,1996,1996-09-08,2,24.146,TAM,@,DET,L 6-21,,,,
14,1996,1996-09-15,3,24.153,TAM,@,DEN,L 23-27,,,,
15,1996,1996-09-22,4,24.160,TAM,,SEA,L 13-17,,,,
16,1996,1996-09-29,5,24.167,TAM,,DET,L 0-27,,,,
17,1996,1996-10-13,6,24.181,TAM,,MIN,W 24-13,0.0,1,24,0
18,1996,1996-10-20,7,24.188,TAM,@,ARI,L 9-13,,,,
19,1996,1996-10-27,8,24.195,TAM,@,GNB,L 7-13,,,,
20,1996,1996-11-03,9,24.202,TAM,@,CHI,L 10-13,,,,
21,1996,1996-11-10,10,24.209,TAM,,OAK,W 20-17,,,,
22,1996,1996-11-17,11,24.216,TAM,@,SDG,W 25-17,,,,
23,1996,1996-11-24,12,24.223,TAM,,NOR,W 13-7,0.0,1,0,0
24,1996,1996-12-01,13,24.230,TAM,@,CAR,L 0-24,,,,
25,1996,1996-12-08,14,24.237,TAM,,WAS,W 24-10,,,,
26,1996,1996-12-15,15,24.244,TAM,@,MIN,L 10-21,,,,
27,1996,1996-12-22,16,24.251,TAM,,CHI,W 34-19,,,,
28,1997,1997-08-31,1,25.138,TAM,,SFO,W 13-6,,,,
29,1997,1997-09-07,2,25.145,TAM,@,DET,W 24-17,,,,
30,1997,1997-09-14,3,25.152,TAM,@,MIN,W 28-14,,,,
31,1997,1997-09-21,4,25.159,TAM,,MIA,W 31-21,,,,
32,1997,1997-09-28,5,25.166,TAM,,ARI,W 19-18,,,,
33,1997,1997-10-05,6,25.173,TAM,@,GNB,L 16-21,,,,
34,1997,1997-10-12,7,25.180,TAM,,DET,L 9-27,,,,
35,1997,1997-10-26,8,25.194,TAM,,MIN,L 6-10,,,,
36,1997,1997-11-02,9,25.201,TAM,@,IND,W 31-28,,,,
37,1997,1997-11-09,10,25.208,TAM,@,ATL,W 31-10,,,,
38,1997,1997-11-16,11,25.215,TAM,,NWE,W 27-7,,,,
39,1997,1997-11-23,12,25.222,TAM,@,CHI,L 7-13,,,,
40,1997,1997-11-30,13,25.229,TAM,@,NYG,W 20-8,,,,
41,1997,1997-12-07,14,25.236,TAM,,GNB,L 6-17,,,,
42,1997,1997-12-14,15,25.243,TAM,@,NYJ,L 0-31,,,,
43,1997,1997-12-21,16,25.250,TAM,,CHI,W 31-15,0.0,1,19,0
44,1998,1998-09-06,1,26.144,KAN,,OAK,W 28-8,,,,
45,1998,1998-09-13,2,26.151,KAN,@,JAX,L 16-21,,,,
46,1998,1998-09-20,3,26.158,KAN,,SDG,W 23-7,1.0,0,0,0
47,1998,1998-09-27,4,26.165,KAN,@,PHI,W 24-21,,,,
48,1998,1998-10-04,5,26.172,KAN,,SEA,W 17-6,,,,
49,1998,1998-10-11,6,26.179,KAN,@,NWE,L 10-40,,,,
50,1998,1998-10-26,7,26.194,KAN,,PIT,L 13-20,,,,
