ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1993,1993-09-05,1,23.260,SEA,@,SDG,L 12-18,,0,0,,0,,0,0,,0,0.0%,,3,54,18.00,0,0,0,,0,0,0
2,1993,1993-09-12,2,23.267,SEA,,RAI,L 13-17,,0,0,,0,,0,0,,0,0.0%,,1,22,22.00,0,0,0,,0,0,0
3,1993,1993-09-19,3,23.274,SEA,@,NWE,W 17-14,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,,,,,0,
4,1993,1993-09-26,4,23.281,SEA,@,CIN,W 19-10,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,,,,,0,
5,1993,1993-10-03,5,23.288,SEA,,SDG,W 31-14,,1,6,6.00,0,,0,0,,0,0.0%,,1,5,5.00,0,0,0,,0,0,0
6,1993,1993-10-17,6,23.302,SEA,@,DET,L 10-30,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,,,,,0,
7,1993,1993-10-24,7,23.309,SEA,,NWE,W 10-9,,0,0,,0,,0,0,,0,0.0%,,1,17,17.00,0,0,0,,0,0,0
8,1993,1993-10-31,8,23.316,SEA,@,DEN,L 17-28,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,,,,,0,
9,1993,1993-11-07,9,23.323,SEA,@,HOU,L 14-24,,0,0,,0,,0,0,,0,0.0%,,5,83,16.60,0,0,0,,0,0,0
10,1993,1993-11-14,10,23.330,SEA,,CLE,W 22-5,,0,0,,0,1,0,0,,0,0.0%,0.00,1,23,23.00,0,0,0,,0,0,0
11,1993,1993-11-28,11,23.344,SEA,,DEN,L 9-17,,0,0,,0,,0,0,,0,0.0%,,2,37,18.50,0,0,0,,0,0,0
12,1993,1993-12-05,12,23.351,SEA,,KAN,L 16-31,,0,0,,0,,0,0,,0,0.0%,,6,164,27.33,0,0,0,,0,0,0
13,1993,1993-12-12,13,23.358,SEA,@,RAI,L 23-27,,0,0,,0,,0,0,,0,0.0%,,1,32,32.00,0,0,0,,0,0,0
14,1993,1993-12-19,14,24.000,SEA,,PHO,L 27-30,,0,0,,0,,0,0,,0,0.0%,,4,69,17.25,0,0,0,,0,0,0
15,1993,1993-12-26,15,24.007,SEA,,PIT,W 16-6,,0,0,,0,1,0,0,,0,0.0%,0.00,1,14,14.00,0,0,0,,0,0,0
16,1993,1994-01-02,16,24.014,SEA,@,KAN,L 24-34,,1,6,6.00,0,1,1,6,6.00,0,100.0%,6.00,4,83,20.75,0,0,0,,0,0,0
17,1994,1994-09-04,1,24.259,SEA,@,WAS,W 28-7,,0,0,,0,0,0,0,,0,0.0%,,1,23,23.00,0,0,0,,0,0,0
18,1994,1994-09-11,2,24.266,SEA,@,RAI,W 38-9,,1,-11,-11.00,0,2,1,40,40.00,1,50.0%,20.00,1,16,16.00,0,0,0,,0,1,6
19,1994,1994-09-18,3,24.273,SEA,,SDG,L 10-24,,0,0,,0,2,1,12,12.00,0,50.0%,6.00,4,63,15.75,0,0,0,,0,0,0
20,1994,1994-09-25,4,24.280,SEA,,PIT,W 30-13,,0,0,,0,1,0,0,,0,0.0%,0.00,1,14,14.00,0,0,0,,0,0,0
21,1994,1994-10-02,5,24.287,SEA,@,IND,L 15-17,,0,0,,0,5,1,11,11.00,0,20.0%,2.20,1,27,27.00,0,0,0,,0,0,0
22,1994,1994-10-09,6,24.294,SEA,,DEN,L 9-16,,0,0,,0,2,1,39,39.00,0,50.0%,19.50,2,33,16.50,0,0,0,,0,0,0
23,1994,1994-10-23,7,24.308,SEA,@,KAN,L 23-38,,0,0,,0,0,0,0,,0,0.0%,,5,136,27.20,0,0,0,,0,0,0
24,1994,1994-10-30,8,24.315,SEA,@,SDG,L 15-35,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,,,,,0,
25,1994,1994-11-13,10,24.329,SEA,@,DEN,L 10-17,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,,,,,0,
26,1994,1994-11-20,11,24.336,SEA,,TAM,W 22-21,,0,0,,0,0,0,0,,0,0.0%,,3,56,18.67,0,0,0,,0,0,0
27,1994,1994-11-27,12,24.343,SEA,,KAN,W 10-9,,0,0,,0,2,0,0,,0,0.0%,0.00,3,66,22.00,0,0,0,,0,0,0
28,1994,1994-12-04,13,24.350,SEA,,IND,L 19-31,,0,0,,0,2,0,0,,0,0.0%,0.00,2,50,25.00,0,0,0,,0,0,0
29,1994,1994-12-11,14,24.357,SEA,@,HOU,W 16-14,,1,7,7.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
30,1994,1994-12-18,15,24.364,SEA,,RAI,L 16-17,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,,,,0,
31,1994,1994-12-24,16,25.005,SEA,@,CLE,L 9-35,,0,0,,0,1,1,10,10.00,0,100.0%,10.00,3,24,8.00,0,0,0,,0,0,0
32,1995,1995-09-03,1,25.258,CLE,@,NWE,L 14-17,,,,,,,,,,,0.0%,,0,0,,0,,,,,,
33,1995,1995-09-10,2,25.265,CLE,,TAM,W 22-6,,,,,,,,,,,0.0%,,0,0,,0,,,,,,
34,1995,1995-09-17,3,25.272,CLE,@,HOU,W 14-7,,0,0,,0,0,0,0,,0,0.0%,,1,24,24.00,0,0,0,,0,0,0
35,1995,1995-09-24,4,25.279,CLE,,KAN,W 35-17,,0,0,,0,0,0,0,,0,0.0%,,2,32,16.00,0,0,0,,0,0,0
36,1995,1995-10-02,5,25.287,CLE,,BUF,L 19-22,,0,0,,0,0,0,0,,0,0.0%,,2,57,28.50,0,0,0,,0,0,0
37,1995,1995-10-08,6,25.293,CLE,@,DET,L 20-38,,,,,,1,,,,,0.0%,,0,0,,0,,,,,,
38,1995,1995-10-22,7,25.307,CLE,,JAX,L 15-23,,0,0,,0,0,0,0,,0,0.0%,,3,44,14.67,0,0,0,,0,0,0
39,1995,1995-10-29,8,25.314,CLE,@,CIN,W 29-26,,,,,,,,,,,0.0%,,0,0,,0,,,,,,
40,1995,1995-11-05,9,25.321,CLE,,HOU,L 10-37,,0,0,,0,0,0,0,,0,0.0%,,1,19,19.00,0,0,0,,0,0,0
41,1995,1995-11-13,10,25.329,CLE,@,PIT,L 3-20,,,,,,0,,,,,0.0%,,0,0,,0,,,,,,
42,1995,1995-12-09,14,25.355,CLE,@,MIN,L 11-27,,,,,,,,,,,0.0%,,0,0,,0,,,,,,
43,1995,1995-12-17,15,25.363,CLE,,CIN,W 26-10,,,,,,,,,,,0.0%,,0,0,,0,,,,,,
44,1995,1995-12-24,16,26.005,CLE,@,JAX,L 21-24,,,,,,,,,,,0.0%,,0,0,,0,,,,,,
45,1996,1996-09-01,1,26.257,CAR,,ATL,W 29-6,,0,0,,0,0,0,0,,0,0.0%,,1,35,35.00,0,0,0,,0,0,0
46,1996,1996-09-08,2,26.264,CAR,@,NOR,W 22-20,,0,0,,0,0,0,0,,0,0.0%,,4,111,27.75,0,0,0,,0,0,0
47,1996,1996-09-22,3,26.278,CAR,,SFO,W 23-7,,0,0,,0,0,0,0,,0,0.0%,,1,41,41.00,0,0,0,,0,0,0
48,1996,1996-09-29,4,26.285,CAR,@,JAX,L 14-24,,0,0,,0,0,0,0,,0,0.0%,,4,93,23.25,0,0,0,,0,0,0
49,1996,1996-10-06,5,26.292,CAR,@,MIN,L 12-14,,0,0,,0,0,0,0,,0,0.0%,,2,44,22.00,0,0,0,,0,0,0
50,1996,1996-10-13,6,26.299,CAR,,STL,W 45-13,,0,0,,0,0,0,0,,0,0.0%,,1,93,93.00,1,0,0,,0,1,6
51,1996,1996-10-20,7,26.306,CAR,,NOR,W 19-7,,0,0,,0,0,0,0,,0,0.0%,,1,27,27.00,0,0,0,,0,0,0
52,1996,1996-10-27,8,26.313,CAR,@,PHI,L 9-20,,0,0,,0,0,0,0,,0,0.0%,,4,138,34.50,0,0,0,,0,0,0
