ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1996,1996-09-01,1,22.255,TAM,,GNB,L 3-34,,5,15,3.00,0,5,4,42,10.50,0,80.0%,8.40,0,0,,0,0,0,,,,,,0,0,,0,0,0
2,1996,1996-09-08,2,22.262,TAM,@,DET,L 6-21,,6,19,3.17,0,4,2,23,11.50,0,50.0%,5.75,0,0,,0,0,0,,,,,,0,0,,0,0,0
3,1996,1996-09-15,3,22.269,TAM,@,DEN,L 23-27,,2,3,1.50,0,4,2,20,10.00,0,50.0%,5.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
4,1996,1996-09-22,4,22.276,TAM,,SEA,L 13-17,,1,-1,-1.00,0,5,4,25,6.25,0,80.0%,5.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
5,1996,1996-09-29,5,22.283,TAM,,DET,L 0-27,,8,31,3.88,0,4,4,30,7.50,0,100.0%,7.50,0,0,,0,0,0,,,,,,0,0,,0,0,0
6,1996,1996-10-13,6,22.297,TAM,,MIN,W 24-13,,8,16,2.00,0,4,3,33,11.00,1,75.0%,8.25,0,0,,0,0,0,,,,,,0,0,,0,1,6
7,1996,1996-10-20,7,22.304,TAM,@,ARI,L 9-13,,9,27,3.00,1,5,4,30,7.50,0,80.0%,6.00,0,0,,0,0,0,,,,,,0,0,,0,1,6
8,1996,1996-10-27,8,22.311,TAM,@,GNB,L 7-13,,4,8,2.00,0,8,4,34,8.50,0,50.0%,4.25,0,0,,0,0,0,,,,,,0,0,,0,0,0
9,1996,1996-11-03,9,22.318,TAM,@,CHI,L 10-13,,1,-2,-2.00,0,4,2,9,4.50,0,50.0%,2.25,0,0,,0,0,0,,,,,,0,0,,0,0,0
10,1996,1996-11-10,10,22.325,TAM,,OAK,W 20-17,,10,54,5.40,0,8,8,67,8.38,1,100.0%,8.38,0,0,,0,0,0,,,,,,0,0,,0,1,6
11,1996,1996-11-17,11,22.332,TAM,@,SDG,W 25-17,,9,39,4.33,1,7,6,53,8.83,0,85.7%,7.57,0,0,,0,0,0,,,,,,0,0,,0,1,6
12,1996,1996-11-24,12,22.339,TAM,,NOR,W 13-7,,5,8,1.60,0,7,7,91,13.00,1,100.0%,13.00,0,0,,0,0,0,,,,,,1,14,14.00,0,1,6
13,1996,1996-12-01,13,22.346,TAM,@,CAR,L 0-24,,2,1,0.50,0,6,5,52,10.40,0,83.3%,8.67,0,0,,0,0,0,,,,,,0,0,,0,0,0
14,1996,1996-12-08,14,22.353,TAM,,WAS,W 24-10,,8,67,8.38,1,3,3,24,8.00,0,100.0%,8.00,0,0,,0,0,0,,,,,,0,0,,0,1,6
15,1996,1996-12-15,15,22.360,TAM,@,MIN,L 10-21,,7,50,7.14,0,5,5,10,2.00,0,100.0%,2.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
16,1996,1996-12-22,16,23.001,TAM,,CHI,W 34-19,,11,42,3.82,0,2,2,14,7.00,0,100.0%,7.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
17,1997,1997-08-31,1,23.253,TAM,,SFO,W 13-6,,14,69,4.93,0,3,3,50,16.67,0,100.0%,16.67,0,0,,0,0,0,,,,,,0,0,,0,0,0
