ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1981,1981-09-06,1,24.085,BAL,@,NWE,W 29-28,0,0,,0,4,177,44.25,0
2,1981,1981-09-13,2,24.092,BAL,,BUF,L 3-35,0,0,,0,6,260,43.33,0
3,1981,1981-09-20,3,24.099,BAL,@,DEN,L 10-28,0,0,,0,6,300,50.00,0
4,1981,1981-09-27,4,24.106,BAL,,MIA,L 28-31,0,0,,0,2,80,40.00,0
5,1981,1981-10-04,5,24.113,BAL,@,BUF,L 17-23,0,0,,0,5,156,31.20,0
6,1981,1981-10-11,6,24.120,BAL,,CIN,L 19-41,0,0,,0,2,86,43.00,0
7,1981,1981-10-18,7,24.127,BAL,,SDG,L 14-43,0,0,,0,6,223,37.17,0
8,1981,1981-10-25,8,24.134,BAL,@,CLE,L 28-42,0,0,,0,7,312,44.57,0
9,1981,1981-11-01,9,24.141,BAL,@,MIA,L 10-27,0,0,,0,4,137,34.25,0
10,1981,1981-11-08,10,24.148,BAL,,NYJ,L 14-41,1,1,1.00,0,5,196,39.20,0
11,1981,1981-11-15,11,24.155,BAL,@,PHI,L 13-38,0,0,,0,4,159,39.75,0
12,1981,1981-11-22,12,24.162,BAL,,STL,L 24-35,1,3,3.00,0,5,169,33.80,0
13,1981,1981-11-29,13,24.169,BAL,@,NYJ,L 0-25,0,0,,0,8,282,35.25,0
14,1981,1981-12-06,14,24.176,BAL,,DAL,L 13-37,0,0,,0,7,278,39.71,0
15,1981,1981-12-13,15,24.183,BAL,@,WAS,L 14-38,0,0,,0,3,104,34.67,0
16,1981,1981-12-20,16,24.190,BAL,,NWE,W 23-21,0,0,,0,4,152,38.00,0
