ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2008,2008-09-07,1,22.151,IND,,CHI,L 13-29,,1,7,7.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
2,2008,2008-09-14,2,22.158,IND,@,MIN,W 18-15,,,,,,,,,,,0.0%,,,,,,
3,2008,2008-09-21,3,22.165,IND,,JAX,L 21-23,,,,,,,,,,,0.0%,,,,,,
4,2008,2008-10-05,4,22.179,IND,@,HOU,W 31-27,,,,,,,,,,,0.0%,,,,,,
5,2008,2008-10-12,5,22.186,IND,,BAL,W 31-3,,1,2,2.00,0,1,1,18,18.00,0,100.0%,18.00,0,0,0.0,0,0
6,2009,2009-10-04,4,23.178,IND,,SEA,W 34-17,,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
7,2009,2009-11-01,7,23.206,IND,,SFO,W 18-14,,,,,,,,,,,0.0%,,,,,,
8,2009,2009-11-08,8,23.213,IND,,HOU,W 20-17,,,,,,,,,,,0.0%,,,,,,
9,2009,2009-11-15,9,23.220,IND,,NWE,W 35-34,,,,,,,,,,,0.0%,,,,,,
10,2009,2009-12-06,12,23.241,IND,,TEN,W 27-17,,4,11,2.75,0,2,2,27,13.50,0,100.0%,13.50,0,0,0.0,0,0
11,2009,2009-12-13,13,23.248,IND,,DEN,W 28-16,,9,28,3.11,0,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0
12,2009,2009-12-17,14,23.252,IND,@,JAX,W 35-31,,3,3,1.00,0,1,1,11,11.00,0,100.0%,11.00,0,0,0.0,0,0
13,2009,2009-12-27,15,23.262,IND,,NYJ,L 15-29,,,,,,,,,,,0.0%,,,,,,
14,2009,2010-01-03,16,23.269,IND,@,BUF,L 7-30,,10,28,2.80,1,4,2,16,8.00,0,50.0%,4.00,1,6,0.0,0,0
15,2010,2010-09-19,2,24.163,IND,,NYG,W 38-14,,2,4,2.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
16,2010,2010-09-26,3,24.170,IND,@,DEN,W 27-13,,,,,,,,,,,0.0%,,,,,,
17,2010,2010-10-03,4,24.177,IND,@,JAX,L 28-31,,2,-4,-2.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
18,2010,2010-10-10,5,24.184,IND,,KAN,W 19-9,,11,50,4.55,1,1,1,5,5.00,0,100.0%,5.00,1,6,0.0,1,0
19,2010,2010-10-17,6,24.191,IND,@,WAS,W 27-24,,11,43,3.91,0,0,0,0,,0,0.0%,,0,0,0.0,0,0
20,2010,2010-11-01,7,24.206,IND,,HOU,W 30-17,*,12,84,7.00,0,3,3,19,6.33,0,100.0%,6.33,0,0,0.0,0,0
21,2010,2010-12-05,12,24.240,IND,,DAL,L 35-38,,5,8,1.60,0,2,2,1,0.50,0,100.0%,0.50,0,0,0.0,0,0
