ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1982,1982-09-12,1,24.074,BUF,,KAN,W 14-9,1,5,5.00,0,0,0,,0,0,0,,,,,,0,0,,0,1,1,1.00,0,0,0
2,1982,1982-09-16,2,24.078,BUF,,MIN,W 23-22,2,21,10.50,0,0,0,,0,0,0,,,,,,5,105,21.00,0,2,5,2.50,0,0,0
3,1982,1982-11-21,3,24.144,BUF,,MIA,L 7-9,1,7,7.00,0,0,0,,0,0,0,,,,,,2,98,49.00,0,0,0,,0,0,0
4,1982,1982-11-28,4,24.151,BUF,,BAL,W 20-0,1,7,7.00,0,0,0,,0,0,0,,,,,,0,0,,0,1,5,5.00,0,0,0
5,1982,1982-12-05,5,24.158,BUF,@,GNB,L 21-33,3,51,17.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
6,1982,1982-12-12,6,24.165,BUF,,PIT,W 13-0,1,5,5.00,0,0,0,,0,0,0,,,,,,1,23,23.00,0,6,37,6.17,0,0,0
7,1982,1982-12-19,7,24.172,BUF,@,TAM,L 23-24,0,0,,0,0,0,,0,0,0,,,,,,4,138,34.50,0,0,0,,0,0,0
8,1982,1982-12-27,8,24.180,BUF,@,MIA,L 10-27,0,0,,0,0,0,,0,0,0,,,,,,3,75,25.00,0,0,0,,0,0,0
9,1982,1983-01-02,9,24.186,BUF,@,NWE,L 19-30,0,0,,0,0,0,,0,0,0,,,,,,3,48,16.00,0,1,13,13.00,0,0,0
10,1983,1983-10-03,5,25.095,BUF,,NYJ,L 10-34,0,0,,0,,,,,,,,,,,,0,0,,0,,,,,,
11,1983,1983-10-09,6,25.101,BUF,@,MIA,W 38-35,1,35,35.00,0,0,0,,0,0,0,,,,,,1,33,33.00,0,0,0,,0,0,0
12,1983,1983-10-16,7,25.108,BUF,@,BAL,W 30-7,0,0,,0,,,,,,,,,,,,0,0,,0,,,,,,
13,1983,1983-10-23,8,25.115,BUF,,NWE,L 0-31,0,0,,0,0,0,,0,0,0,,,,,,2,44,22.00,0,0,0,,0,0,0
14,1983,1983-10-30,9,25.122,BUF,,NOR,W 27-21,5,59,11.80,2,0,0,,0,0,0,,,,,,2,54,27.00,0,0,0,,0,2,12
15,1983,1983-11-06,10,25.129,BUF,@,NWE,L 7-21,5,52,10.40,0,0,0,,0,0,0,,,,,,3,76,25.33,0,0,0,,0,0,0
16,1983,1983-11-13,11,25.136,BUF,@,NYJ,W 24-17,3,34,11.33,1,0,0,,0,0,0,,,,,,1,29,29.00,0,0,0,,0,1,6
17,1984,1984-11-18,12,26.141,BUF,,DAL,W 14-3,0,0,,0,0,0,,0,0,0,,0,,,,,,,,,,,,,
18,1984,1984-11-25,13,26.148,BUF,@,WAS,L 14-41,3,33,11.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
19,1984,1984-12-02,14,26.155,BUF,,IND,W 21-15,1,5,5.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
20,1984,1984-12-16,16,26.169,BUF,@,CIN,L 21-52,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,0,0
